bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	efc_shell04	efc_shell05	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fber_shell04	fber_shell05	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	snr_cc_shell3_best	snr_cc_shell3_worst	snr_cc_shell4_best	snr_cc_shell4_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-001_ses-001_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3537	0.2213	0.2563	0.0039	2.6441	1.2284	0.9472	0.6651	0.6696	0.0	0.0	6.25	39.787	50.1736	39.69	18.49	19.039	279	99.64285714285714	0.8089	47.4433	19.273	7.2633	3.69	3.61	3.61	2.4	1.69	2.07	1.25	1.57	0.91	50.04	319.13	306.3	283.43	234.033	17.7912	41.451	18.0	958241.0	3.0	137.0	102.4888	8.4016	170.4993	402.4584	310.0	362767.0	106.0	1053.0	316.8761	6.9604	81.5431	222.3445	219.0	102600.0	89.0	364.0	88.7314
sub-001_ses-003_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3479	0.1641	0.1516	0.0066	2.6052	1.2354	0.9768	0.6822	0.6815	0.0	0.0	7.1419	34.3061	36.8622	28.4444	16.0	19.0561	279	99.64285714285714	0.8163	40.0303	19.3218	7.2633	4.42	4.28	4.28	2.88	2.02	2.48	1.51	1.86	1.1	50.72	328.69	305.51	290.25	213.4707	20.7564	46.7145	20.0	962788.0	3.0	156.0	111.2166	8.3725	177.9123	406.6639	315.0	358220.0	111.0	1051.0	318.0573	6.6877	83.0257	222.7102	218.0	97222.0	99.0	364.0	85.2263
sub-001_ses-004_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3477	0.1622	0.1524	0.0087	2.6243	1.1842	0.9275	0.6703	0.667	0.0	0.0	8.9778	40.7633	50.1736	32.8017	17.64	18.5892	279	99.64285714285714	0.4643	37.0651	19.1033	7.5935	4.7	4.73	4.73	3.06	2.17	2.57	1.78	1.8	1.2	49.98	314.91	321.3	270.02	202.2615	19.2738	42.41	18.0	959420.0	2.0	146.0	105.2508	9.1068	169.0167	394.6066	301.0	361588.0	104.0	1055.0	321.4043	11.5321	77.0953	214.253	208.0	105872.0	93.0	355.0	86.2775
sub-001_ses-005_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3351	0.2373	0.2751	0.0086	2.2426	1.076	0.8197	0.5707	0.596	0.0	0.0	22.25	133.898	186.7778	113.7778	53.7778	5.3866	279	99.64285714285714	0.6141	32.6172	15.8212	1.6508	5.06	5.07	5.07	3.23	1.99	2.74	1.83	1.99	1.2	34.5	184.17	183.89	194.69	603.1931	8.8956	28.7191	9.0	1499489.0	2.0	108.0	108.2369	8.7234	170.4993	406.2941	315.0	355003.0	112.0	1065.0	319.7974	11.5027	77.0953	228.4422	223.0	102449.0	106.0	370.0	87.8076
sub-001_ses-006_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3303	0.2491	0.2752	0.0044	2.1838	1.0704	0.8328	0.5793	0.6044	0.0	0.0	25.7901	117.4082	164.6944	106.7778	51.3611	4.2453	279	99.64285714285714	0.6474	42.9955	15.6885	1.6508	3.97	3.98	3.98	2.51	1.61	2.23	1.43	1.55	0.98	34.39	198.23	199.07	190.0	599.8584	8.8956	29.0489	9.0	1498926.0	2.0	111.0	103.2536	9.2486	176.4297	403.6646	312.0	355566.0	104.0	1070.0	327.7996	9.2308	87.4735	222.6692	219.0	104227.0	92.0	369.0	91.2356
sub-001_ses-007_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3404	0.1667	0.1928	0.0018	2.5917	1.1903	0.9384	0.6634	0.6614	0.0	0.0	9.5689	46.6944	47.8403	37.21	21.7778	19.2977	279	99.64285714285714	0.8461	48.9259	18.7527	6.9332	3.62	3.65	3.65	2.41	1.69	1.98	1.28	1.21	0.87	49.97	329.53	319.33	280.37	209.3339	17.7912	40.8837	17.0	959166.0	3.0	137.0	103.7874	9.4026	171.9819	395.2352	301.0	361842.0	100.0	1062.0	327.906	5.4775	84.5083	214.8794	211.0	104126.0	85.0	360.0	88.6718
sub-001_ses-008_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3405	0.1598	0.1671	0.01	2.5708	1.2001	0.9555	0.6805	0.6752	0.0	0.0	9.7656	34.3061	40.3846	25.0	14.5785	15.8291	279	99.64285714285714	0.4349	41.5129	18.8782	7.5935	4.45	4.43	4.43	2.85	2.06	2.35	1.6	1.48	1.14	49.19	323.63	314.2	252.62	190.7062	19.2738	45.6081	19.0	961284.0	3.0	159.0	106.7432	11.0198	176.4297	402.3721	300.0	359724.0	101.0	1101.0	347.102	3.5869	84.5083	210.3334	206.0	105182.0	81.0	356.0	86.8592
sub-001_ses-009_acq-highres_dir-AP_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1712	0.0902	0.1044	0.0064	2.3052	1.0711	0.8444	0.6	0.6158	0.0	0.0	28.0625	107.6406	115.5625	78.449	34.3061	7.9572	279	99.64285714285714	0.5152	46.702	15.6706	1.6508	3.88	3.81	3.81	2.38	1.69	1.95	1.16	0.89	0.81	33.0	204.97	211.44	177.43	191.9451	8.8956	27.9289	9.0	1498597.0	2.0	105.0	78.1301	10.826	177.9123	418.1461	316.0	355895.0	109.0	1113.0	347.735	8.1635	87.4735	230.1058	228.0	104938.0	94.0	376.0	92.8453
sub-001_ses-010_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3411	0.1621	0.1519	0.0024	2.6751	1.209	0.9492	0.6716	0.6608	0.0	0.0	8.2178	40.7633	51.3611	33.8512	22.8272	18.4857	279	99.64285714285714	0.4712	44.4781	19.0153	7.5935	4.15	4.2	4.2	2.73	1.86	2.3	1.49	1.38	1.07	49.14	325.31	316.96	256.14	167.5001	19.2738	42.8659	18.0	960355.0	2.0	150.0	102.1265	9.9267	173.4645	405.659	309.0	360653.0	108.0	1083.0	332.8756	7.6663	80.0605	222.1297	217.0	103749.0	101.0	362.0	84.8654
sub-001_ses-011_acq-highres_dir-AP_run-2_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3079	0.0794	0.0849	0.0044	2.3518	1.0734	0.8379	0.6037	0.6184	0.0	0.0	17.5802	110.25	121.0	68.0625	36.0	10.3831	278	99.28571428571429	0.5995	44.4781	15.7643	1.6508	3.96	3.93	3.93	2.5	1.63	2.06	1.14	1.37	0.85	32.61	191.76	196.54	177.43	184.2761	8.8956	28.9632	9.0	1499186.0	2.0	108.0	81.0233	9.9298	170.4993	415.3284	316.0	355306.0	112.0	1096.0	334.7338	10.7108	81.5431	234.8118	232.0	104576.0	105.0	376.0	90.4537
