trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0146563	0.01127
0.0039	-0.03	0.0114	-0.0005515240436302081	1.7453292519943294e-06	-0.0001361356816555577	1.04853749	80.83535767	1.03436336	0.079770252726888	0.0139494	0.00359
0.0062	-0.0214	-0.0057	-0.0007749261878854823	4.18879020478639e-05	-0.00019198621771937622	1.03471518	79.76974487	1.02170272	0.04396976265574812	0.0151236	0.00259
0.0049	0.0006	0.0181	-0.0006981317007977319	-5.061454830783555e-05	-0.00039968039870670147	1.01915026	78.5697937	1.01404129	0.06594955592153876	0.0139214	0.00199
0.0044	-0.0168	0.026	-0.0005916666164260777	-4.71238898038469e-05	-0.0005445427266222308	0.99562663	76.75627899	1.00218355	0.03854090353955861	0.0137101	0.00179
0.0029	0.028	0.0788	-0.0007679448708775049	-0.0002740166925631097	-0.0007504915783575615	1.03668129	79.92132568	1.02140511	0.12955599544730104	0.0121299	0.00135
0.0056	-0.0114	0.0718	-0.0012618730491919003	-0.0001361356816555577	-0.0007714355293814937	1.01555037	78.29226685	1.0060492	0.08173765701229399	0.0119735	0.00112
0.0056	0.0331	0.0924	-0.0010768681484805013	-6.45771823237902e-05	-0.0007627088831215222	0.9999153	77.08690643	0.99647047	0.07836450231515689	0.0105062	0.00108
0.0056	0.0026	0.0877	-0.001158898623324235	-3.4906585039886588e-06	-0.0007225663103256524	0.97379202	75.07297516	0.98121407	0.04436297857297024	0.0107061	0.00101
0.0041	-0.0153	0.0812	-0.0013020156219877698	3.839724354387525e-05	-0.000645771823237902	0.97717953	75.33412933	0.98106764	0.03898996938995746	0.0110103	0.00121
0.0015	-0.03	0.0784	-0.0013421581947836393	3.665191429188092e-05	-0.0007120943348136865	0.9710778	74.86372375	0.98114058	0.02551052068118241	0.0112914	0.001
0.0201	-0.0727	0.0551	-0.0013927727430914749	0.00010297442586766544	-0.0006073745796940267	1.00452173	77.44203186	0.99825443	0.095682840750164	0.0125914	0.00134
0.0335	0.0277	0.0877	-0.0007871434926494425	-0.00041713369122664475	-0.00045902159327450867	1.03238666	79.59024048	1.02191027	0.21010451769779304	0.0115799	0.00137
0.0304	0.0322	0.0821	-0.0007888888219014368	-0.0003647738136668148	-0.0005218534463463045	1.00946605	77.82320404	1.00496609	0.019046852994181004	0.011399	0.00121
0.0312	0.0334	0.0827	-0.0008709192967451704	-0.0001832595714594046	-0.000460766922526503	0.97997403	75.54956818	0.99046014	0.01883156204354725	0.0113698	0.00116
0.0136	0.018	0.0794	-0.00028274333882308137	0.000291469985083053	-0.0009093165402890458	1.04591954	80.63352966	1.02455201	0.11187275661135448	0.0121421	0.00117
-0.0047	0.037	0.0561	5.759586531581287e-05	0.0008080874436733745	-0.001291543646475804	1.05613422	81.42102051	1.02931717	0.12255918844579868	0.0123267	0.00136
-0.0059	0.0628	0.0782	-0.0004049163864626844	0.0007696902001294993	-0.0011501719770642632	1.02894127	79.32461548	1.01359438	0.08121405823669568	0.0114777	0.00126
-0.0083	0.011	0.0152	-0.00013264502315156904	0.000577703982410123	-0.0014137166941154068	1.06918812	82.42738342	1.03204954	0.15359011490408178	0.0144965	0.00196
-0.0118	0.0932	0.0093	0.0001064650843716541	0.00017802358370342162	-0.0010611601852125523	1.05334234	81.20578003	1.02744253	0.14116735075663897	0.0136967	0.0015
-0.0105	0.0257	-0.0343	-0.00039269908169872416	0.00023911010752322313	-0.0012130038301360591	1.020015	78.63645935	1.0126944	0.14800471674068433	0.0151378	0.00189
-0.0123	0.0837	0.0457	0.0001239183768915974	0.00030194196059501896	-0.0010681415022205296	1.06738806	82.28861237	1.04206263	0.17601558197888234	0.0123259	0.00129
-0.0185	0.0342	0.0529	-0.0003089232776029963	0.0009442231253289323	-0.001281071670963838	1.03770196	80.00001526	1.0226096	0.12730264939859076	0.0121908	0.00124
-0.0207	0.0399	0.0563	-0.00032637657012293966	0.0009564404300928925	-0.0012793263417118436	0.99559426	76.75378418	0.99844631	0.012870796326794892	0.0123791	0.00136
-0.0234	0.0138	0.0173	-0.0007295476273336296	0.0008779006137531476	-0.0015393804002589986	1.02887952	79.31986237	1.01601248	0.10488824660487948	0.0143065	0.00176
-0.0235	0.0598	-0.0056	-0.0006771877497737998	0.0008482300164692441	-0.001635373509118687	1.07175374	82.62518311	1.03281924	0.07790117918517107	0.0156461	0.00253
-0.0254	0.1296	0.0758	-0.00045902159327450867	0.0007330382858376184	-0.0016126842288427606	1.13452721	87.46459961	1.06568104	0.17090235837034215	0.0115163	0.00131
-0.0309	0.0463	0.0365	-0.0006527531402458793	0.0005881759579220891	-0.0019250981649497454	1.02266967	78.84111786	1.01588948	0.16065039054969424	0.012632	0.00127
-0.0128	0.1151	0.0917	0.0003298672286269283	7.330382858376184e-05	-0.0015254177662430443	1.08213806	83.4257431	1.04026594	0.23695864484589177	0.0120548	0.00151
-0.0213	0.0673	0.0659	8.901179185171081e-05	-2.96705972839036e-05	-0.0016004669240788003	1.0565927	81.45635986	1.02442985	0.10304395102393193	0.0116045	0.00135
-0.0177	0.1014	0.0831	0.0004468042885105483	-0.00011693705988362007	-0.0014451326206513049	1.07215667	82.65624237	1.03516886	0.08491966313430246	0.0117288	0.00135
-0.0017	0.15	0.1296	-0.0002530727415391778	0.0002705260340591211	-0.0010402162341886204	1.11374688	85.86257935	1.06554837	0.1857128255227576	0.0110162	0.00151
-0.0187	0.0716	0.1118	-0.000609119908946021	0.000635299847725936	-0.0012740903539558604	1.1173842	86.14299011	1.07377836	0.1609347550420449	0.012128	0.0022
-0.0088	0.0086	0.1061	-0.0008848819307611251	0.0005672320068981572	-0.001387536755335492	1.09910977	84.73415375	1.05537046	0.10146381320112571	0.0107763	0.00135
-0.011	0.0885	0.1492	-0.00029321531433504735	0.00046425758103049166	-0.001420698011123384	1.02998209	79.40486145	1.00647333	0.16159011490408173	0.0102444	0.00106
-0.0099	0.0323	0.1322	-0.0005218534463463045	0.0005131268000863328	-0.001450368608407288	1.00891304	77.78057098	0.99856509	0.08965889741755009	0.010393	0.00098
-0.0097	0.0357	0.0903	-0.0005427973973702365	0.0005462880558742252	-0.0013002702927357754	1.07468295	82.85100555	1.02254919	0.05571017612416685	0.0114722	0.00123
