trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00962639	0.00447
0.0034	0.0348	-0.0831	-0.0003298672286269283	-2.4434609527920616e-05	-0.00020420352248333657	1.08338094	41.91613388	1.04559315	0.14922526803190928	0.0117901	0.00866
0.0003	-0.1448	-0.01	-8.726646259971648e-05	-7.155849933176751e-05	-0.00020420352248333657	1.12263119	43.43473434	1.06371695	0.270286232791553	0.00906956	0.0035
-0.0046	-0.1378	0.0582	-0.00026878070480712676	-0.0002617993877991494	-4.886921905584123e-05	1.03755414	40.14309311	1.02384811	0.1064544717051144	0.00783205	0.0016
-0.0051	0.0142	-0.0044	-0.0004258603374866164	-0.0001239183768915974	-0.00028797932657906436	1.05257368	40.72419739	1.03445592	0.24180353755551323	0.00950485	0.003
-0.0072	-0.0884	-0.0006	-0.00021118483949131387	-0.00026354471705114377	-0.00043458698374658803	1.06113899	41.05559158	1.02828208	0.13354547476611864	0.0087741	0.00312
-0.0101	-0.1832	0.029	0.0003193952531149623	-0.00020943951023931956	8.552113334772214e-05	1.07940733	41.76239395	1.0362629	0.18253967082562048	0.007505	0.00238
-0.0036	-0.0222	0.0126	-0.00043458698374658803	-0.0002251474735072685	-0.0003769911184307752	1.09139609	42.22624207	1.03956872	0.24551012259539984	0.00900304	0.00249
0.0073	-0.0407	-0.0203	-0.0003822271061867582	-0.000322885911618951	-0.0005707226654021458	1.05730009	40.90706253	1.01959446	0.07949149313214414	0.00942218	0.00356
0.0066	-0.1986	0.0502	0.00020943951023931956	-0.0004485496177625427	-0.0002513274122871834	1.14866424	44.44195175	1.06886292	0.2809362787842316	0.00762665	0.00168
0.0101	-0.1148	0.0705	4.0142572795869576e-05	-0.0006562437987498679	0.0001291543646475804	1.01662898	39.33349609	1.00193421	0.14547364476827696	0.00736421	0.00167
0.0055	0.0257	0.0303	-1.3962634015954635e-05	-0.0007138396640656808	-0.0004625122517784973	1.06780732	41.313591	1.02848373	0.22046838442768568	0.00808907	0.00202
