trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00932992	0.00394
0.0082	0.0951	0.0697	0.0005340707511102648	-0.0001186823891356144	0.00011344640137963142	1.10863912	41.51430893	1.07234326	0.21130997708127552	0.00919515	0.00326
0.0122	-0.0026	0.1088	0.0002705260340591211	-0.00020420352248333657	0.00015184364492350666	1.06253636	39.78793716	1.04898296	0.16017315469713703	0.00849956	0.00189
0.0136	-0.0004	0.0552	-0.00014311699866353502	-0.0001675516081914556	0.0001186823891356144	1.05542612	39.52168655	1.04344268	0.08137281014012145	0.00903171	0.00232
0.0175	0.0939	0.0921	9.773843811168246e-05	-0.000296705972839036	0.0001605702911834783	1.07642579	40.30804443	1.04956103	0.1556948851735331	0.00870693	0.00235
0.013	-0.0033	0.1194	-0.0004206243497306334	-0.00023911010752322313	0.0002199114857512855	1.0357275	38.78404999	1.0322015	0.1607649923862968	0.00815195	0.00174
0.0058	-0.0333	0.0682	-0.0007993607974134029	-0.00016406094968746698	7.504915783575618e-05	1.06707931	39.95805359	1.04139375	0.11833239667170276	0.00886858	0.00203
0.0072	0.0574	0.0912	-0.00037524578917878077	-0.00032637657012293966	5.759586531581287e-05	1.05064332	39.34259033	1.04021326	0.14529419605950192	0.00840861	0.00212
0.0114	-0.0012	0.1057	-0.000460766922526503	-0.0002478367537831948	0.00013439035240356338	1.01443493	37.98672104	1.02570515	0.08934277183876087	0.00801092	0.00147
0.0109	-0.0562	0.0649	-0.0008307767239493009	-0.00022165681500327985	3.141592653589793e-05	1.02770448	38.48361588	1.03078516	0.12125820830351892	0.00844336	0.00148
0.0139	0.043	0.0927	-0.0005270894341022875	-0.00039793506945470715	1.9198621771937625e-05	1.04334211	39.06918716	1.03681357	0.15460914245312005	0.00834477	0.00186
0.0086	-0.0167	0.1088	-0.0006928957130417488	-0.00026878070480712676	5.585053606381854e-05	1.03878415	38.89850998	1.02464592	0.09768062789394612	0.00802284	0.00152
0.0017	-0.0537	0.0628	-0.0011327186845443199	-0.0002495820830351891	-0.0001308996938995747	1.06558371	39.90205002	1.03918681	0.12218859116189508	0.00860912	0.00181
0.0035	0.0425	0.103	-0.0009075712110370514	-0.00039793506945470715	-0.0001239183768915974	1.09985447	41.18535995	1.05772532	0.1572240888467382	0.00836617	0.00154
0.0002	0.0121	0.1423	-0.0005113814708343385	-0.00038571776469074686	-0.00019198621771937622	1.05394256	39.46613312	1.03647004	0.0968237442897226	0.0078882	0.00131
-0.0085	-0.0777	0.1124	-0.0007347836150896127	-0.0003682644721708035	-0.00024609142453120044	1.06053877	39.71313477	1.03656226	0.14314803217935207	0.00797468	0.00113
-0.0005	0.0041	0.122	-0.0006667157742618339	-0.0004572762640225143	-5.061454830783555e-05	1.03218865	38.65153122	1.0262662	0.11702782544514274	0.00816113	0.00148
-0.0039	-0.019	0.1652	-0.0007033676885537148	-0.00037350045992678646	-2.268928027592628e-05	1.03706706	38.83420944	1.03585819	0.07711764932097591	0.00768548	0.00101
0.0005	-0.0838	0.1288	-0.0010140362954087054	-0.00023212879051524583	-4.0142572795869576e-05	1.05562472	39.52912521	1.03368762	0.12907467843932374	0.00786269	0.00128
0.0089	0.0126	0.1461	-0.0007958701389094143	-0.0003647738136668148	4.18879020478639e-05	1.05411851	39.4727211	1.03874422	0.1437420827247297	0.00806028	0.00156
0.0095	-0.0161	0.1934	-0.0007225663103256524	-0.00037524578917878077	0.00014311699866353502	1.02533019	38.39471054	1.02222436	0.0858502450355699	0.00745863	0.00098
0.0139	-0.0861	0.1559	-0.0010629055144645468	-0.00027750735106709843	0.0001291543646475804	1.06889939	40.02621078	1.03202346	0.13450201381332655	0.00803667	0.00115
0.0122	0.0137	0.1775	-0.0007400196028455958	-0.00040666171571467877	0.00011170107212763708	1.08818853	40.74851608	1.04773652	0.1465746784393237	0.00811023	0.00129
0.0065	-0.0359	0.2263	-0.0008726646259971648	-0.0002373647782712288	0.00017802358370342162	1.05916595	39.66172791	1.04031243	0.1225132236085402	0.00758916	0.00101
0.0006	-0.0889	0.1932	-0.0011606439525762293	-0.00011344640137963142	0.00013439035240356338	1.02731502	38.46903229	1.01943582	0.114776546738526	0.00738138	0.00089
0.0036	0.0031	0.2345	-0.0007661995416255106	-0.00023212879051524583	9.42477796076938e-05	1.04878199	39.27288818	1.03068646	0.16396346864411007	0.00752294	0.00095
-0.006	-0.1107	0.2454	-0.00102799892942466	-8.203047484373349e-05	1.7453292519943296e-05	1.01949048	38.17603302	1.01156415	0.15873460952792068	0.00706416	0.00059
-0.003	-0.0841	0.2196	-0.0008848819307611251	-0.0001937315469713706	5.235987755982989e-05	1.01532328	38.01998901	1.00920541	0.06988623279155297	0.00742692	0.00072
-0.0026	-0.0259	0.2547	-0.0007592182246175333	-0.00020943951023931956	-1.0471975511965975e-05	1.03112209	38.61159134	1.01788345	0.1039101761241668	0.00721419	0.00093
-0.0138	-0.1271	0.2242	-0.0010890854532444615	-0.000153588974175501	-0.000148352986419518	1.0293628	38.54571533	1.01605443	0.16907993877991487	0.00694484	0.00061
-0.014	-0.0684	0.2149	-0.0011309733552923255	-0.0002565634000431664	-0.0001361356816555577	1.01921701	38.16579437	1.00872246	0.07605398163397446	0.00729042	0.00071
-0.0168	-0.0155	0.2479	-0.0010332349171806431	-0.0002303834612632515	-0.00017104226669544429	1.03872168	38.89616776	1.01535603	0.0966412480965742	0.00720912	0.00082
-0.0167	-0.1174	0.2321	-0.0017051866791984597	-0.00020420352248333657	-0.0001308996938995747	1.04049146	38.96244049	1.01850886	0.15471371367968006	0.00678635	0.00062
-0.0124	-0.0828	0.2182	-0.001450368608407288	-0.00016231562043547262	-4.71238898038469e-05	0.99167871	37.13459015	0.99376574	0.07182408884673819	0.00695395	0.00065
-0.0191	-0.0968	0.1877	-0.002097885760897184	-0.0001361356816555577	-0.00020943951023931956	1.01718509	38.08970642	1.01679259	0.09300063558526418	0.00705761	0.00064
-0.0201	0.0227	0.2166	-0.0016231562043547262	-0.0001256637061435917	-0.0003473205211468716	1.03583086	38.78791809	1.02862477	0.1805541271480988	0.0072403	0.00086
-0.0129	-0.0887	0.2168	-0.0018448130193580064	-7.504915783575618e-05	-0.00028623399732707005	1.05080473	39.34863281	1.03029664	0.13546789435654588	0.00699586	0.00069
-0.0164	-0.0853	0.1866	-0.0018657569703819383	0.00016231562043547262	-0.0003682644721708035	1.04613233	39.17367172	1.03164564	0.05411696020694472	0.00735706	0.00071
-0.0137	0.0411	0.2217	-0.0014974924982111347	0.00012217304763960306	-0.0004625122517784973	1.07444179	40.23374939	1.04672421	0.1893327412287184	0.00713295	0.00083
-0.0102	-0.0936	0.2239	-0.0018133970928221085	8.37758040957278e-05	-0.0004328416544945937	1.04554963	39.15184784	1.03102489	0.1595986217719376	0.00703365	0.00064
-0.0052	-0.1074	0.1507	-0.002309070600388498	3.141592653589793e-05	-0.00041189770347066176	1.1206131	41.96269226	1.06276034	0.12044886680750756	0.00816315	0.00106
-0.0053	0.0079	0.1868	-0.0019687313962496035	-8.726646259971648e-06	-0.00046425758103049166	1.12573183	42.15436554	1.06364179	0.17314208272472967	0.00754768	0.00084
-0.0038	-0.0064	0.2185	-0.0019146261894377795	0.0001012290966156711	-0.000450294947014537	1.05587935	39.53865814	1.03515708	0.05640117918517108	0.00709242	0.00071
-0.0093	-0.1037	0.1792	-0.0024312436480281013	1.3962634015954635e-05	-0.000450294947014537	1.12920725	42.28450775	1.06214421	0.17229419605950191	0.00768799	0.00085
-0.0111	-0.0116	0.2016	-0.0022026055160168437	-7.330382858376184e-05	-0.0004677482395344803	1.11671603	41.81676102	1.05625193	0.13296789435654588	0.00763142	0.00079
-0.0036	-0.004	0.2422	-0.001673770752662562	-6.9813170079773176e-06	-0.00034033920413889426	1.0879904	40.7410965	1.05127705	0.0918283155162826	0.00714475	0.00077
-0.0036	-0.1326	0.1936	-0.002579596634447619	-1.3962634015954635e-05	-0.00037524578917878077	1.16684723	43.69398117	1.07551002	0.22458568919164604	0.00747359	0.00073
-0.0001	-0.0323	0.2261	-0.002258456052080662	-0.0001308996938995747	-0.00037524578917878077	1.11675894	41.818367	1.06177305	0.15820388211252887	0.00748962	0.00073
0.0001	-0.0119	0.2918	-0.0016283921921107093	-0.0002722713633111154	-0.00029845130209103034	1.08380365	40.58431625	1.04563715	0.1287115008234622	0.00676501	0.00047
-0.0043	-0.0974	0.304	-0.001635373509118687	-0.00030368728984701333	-0.0002548180707911721	1.02868187	38.5202179	1.023783	0.10620152374218668	0.00746578	0.00108
-0.03	-0.1946	0.2997	-0.0016318828506146981	-0.0003351032163829112	-0.0005113814708343385	1.05206811	39.39594269	1.03823023	0.14177349925415264	0.00740635	0.0008
-0.0303	-0.2095	0.302	-0.0024452062820440558	-0.0004886921905584122	-0.0007470009198535729	0.99795443	37.36959076	1.01121979	0.0776265927312046	0.00656766	0.00033
-0.0303	-0.2209	0.2972	-0.002530727415391778	-0.0005846852994181004	-0.0006963863715457374	0.95815098	35.87910461	0.97459008	0.027806439525762273	0.00637537	0.00041
-0.0281	-0.2144	0.3014	-0.0028571039855147177	-0.0005445427266222308	-0.0006579891280018621	0.94955206	35.55710602	0.97365555	0.033145819323134235	0.00608075	0.0005
-0.0303	-0.2078	0.3026	-0.002898991887562581	-0.0005654866776461627	-0.000736528944341607	0.96033645	35.96094131	0.97527692	0.01706858347057697	0.00624537	0.00039
-0.0369	-0.2024	0.315	-0.0030630528372500485	-0.0005654866776461627	-0.0008569566627292158	0.96712637	36.21519852	0.97559871	0.038624433403753856	0.00615108	0.00039
-0.0377	-0.1763	0.3279	-0.00334579617607313	-0.0005689773361501514	-0.0008674286382411819	0.9525069	35.66775513	0.97020654	0.0546352986419518	0.00590074	0.00026
-0.0419	-0.1707	0.3253	-0.003558726344816438	-0.0005550147021341969	-0.000890117918517108	0.94389635	35.34532166	0.96512465	0.024879104151759503	0.00573158	0.00027
-0.0535	-0.1069	0.2733	-0.004338888520457902	-0.000582939970166106	-0.0011082840750163993	1.03141618	38.62260437	1.01787315	0.17871268000863325	0.00614685	0.00044
-0.066	-0.2023	0.3607	-0.0048520153205442364	-0.0011117747335203881	-0.0013334315485236678	1.07873559	40.39453888	1.05826123	0.2586554518473943	0.00529909	0.00033
-0.0615	-0.2869	0.3201	-0.004646066468808905	-0.0010838494654884787	-0.0014782938764391971	1.05620754	39.5509491	1.02470113	0.1486368223841385	0.0059377	0.00033
-0.0677	-0.1887	0.2521	-0.005017821599483697	-0.0012164944886400475	-0.0016982053621904826	1.03958929	38.92865753	1.0226438	0.20861558197888233	0.00732839	0.00111
-0.0806	-0.0644	0.3116	-0.004797910113732411	-0.0012356931104119853	-0.0019233528356977512	1.1145252	41.73472214	1.07919716	0.21991287905152457	0.00778568	0.00209
-0.0927	-0.0419	0.324	-0.004283037984394084	-0.0010716321607245184	-0.001843067690106012	1.0796864	40.43014145	1.05984036	0.08496091123087665	0.00785613	0.0016
-0.0849	-0.1943	0.3548	-0.00503876555050763	-0.0009965830028887623	-0.0016772614111665507	1.07428002	40.22769547	1.05411528	0.2408291501444381	0.00647408	0.00093
-0.0686	-0.267	0.3235	-0.005504768460790115	-0.0009546951008408983	-0.0016283921921107093	1.05110908	39.36003113	1.01271574	0.1481380015693096	0.00657481	0.00071
-0.0725	-0.151	0.3564	-0.005087634769563471	-0.0010943214410004448	-0.0018238690683340744	1.05878615	39.64750671	1.01359899	0.19041184538047776	0.00580853	0.00046
-0.0763	-0.2053	0.3824	-0.005206317158699085	-0.0011013027580084218	-0.001811651763570114	1.03709638	38.83530807	1.0102783	0.09099405054537764	0.0058313	0.00043
-0.0849	-0.3302	0.3371	-0.0064228116473391324	-0.0009372418083209549	-0.0018081611050661253	1.11225307	41.64963913	1.0519508	0.24800230484157512	0.00652117	0.00047
-0.0839	-0.2212	0.3408	-0.006092944418712205	-0.0010611601852125523	-0.0019058995431778078	1.10973942	41.55551529	1.042475	0.14127620218151035	0.00580984	0.00043
-0.0808	-0.1526	0.3954	-0.005516985765554075	-0.0011641346110802177	-0.0019774580425095754	1.07836652	40.38071823	1.0205661	0.16382457891787808	0.00489056	0.00031
-0.0807	-0.2945	0.3658	-0.006387905062299246	-0.0010192722831646884	-0.0019495327744776662	1.06941092	40.04536438	1.02111913	0.2237853446346304	0.00522542	0.00037
-0.0829	-0.2194	0.3345	-0.006227334771115768	-0.0011082840750163993	-0.002012364627549462	1.06349719	39.82391739	1.01442794	0.1242206968053492	0.00619608	0.00071
-0.0818	-0.1238	0.4299	-0.005904448859496816	-0.001239183768915974	-0.0020472712125893483	1.16240573	43.52766418	1.06180966	0.21653460952792056	0.00496429	0.00034
-0.0781	-0.2681	0.385	-0.006682865705886288	-0.0010629055144645468	-0.0018797196043978928	1.11333025	41.68997574	1.03451349	0.2490123354516177	0.00495422	0.00026
-0.0743	-0.2216	0.3381	-0.006644468462342412	-0.0011606439525762293	-0.0019268434942017398	1.05940855	39.67081451	1.00750261	0.10636297857297028	0.00571126	0.0005
-0.0769	-0.1216	0.4129	-0.0059027035302448225	-0.0013386675362796509	-0.0020525072003453313	1.1168263	41.82088852	1.03614044	0.22967261109723008	0.00482571	0.00025
