trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0096395	0.00449
-0.0059	0.0011	-0.0011	-0.0001239183768915974	-3.316125578789226e-05	5.4105206811824215e-05	1.10884237	38.24166107	1.09650868	0.01865924197456569	0.00917757	0.00275
0.0026	-0.0473	0.0176	-0.0005619960191421741	1.2217304763960308e-05	6.45771823237902e-05	1.05680788	36.44710159	1.0590137	0.10029640891571975	0.00910157	0.00202
-0.0089	0.0367	-0.0115	-4.537856055185256e-05	-5.061454830783555e-05	1.7453292519943294e-06	1.07616639	37.11473465	1.06852998	0.15671405823669565	0.00928372	0.00282
-0.0026	-0.0232	0.0184	-0.00010995574287564276	-6.981317007977319e-05	-7.155849933176751e-05	1.06678963	36.79135132	1.06533918	0.10395398163397448	0.00890619	0.00208
-0.0009	-0.0295	0.0174	-7.67944870877505e-05	4.0142572795869576e-05	-0.00022689280275926284	1.0466305	36.09610367	1.05463904	0.02392256510455152	0.00916672	0.00205
-0.0138	-0.0028	0.0097	8.726646259971648e-06	2.6179938779914945e-05	-0.0002897246558310587	1.06868792	36.85681915	1.06476744	0.055415781021773615	0.00928348	0.00254
-0.0161	-0.012	0.0223	-0.00013439035240356338	0.00015184364492350666	-0.0005131268000863328	1.05760646	36.47463989	1.05736179	0.04870914245312004	0.00895977	0.00212
-0.0156	-0.0513	0.0398	-0.0007923794804054256	-4.363323129985824e-05	-0.0005532693728822024	1.0604713	36.57344437	1.06481234	0.10198042885105484	0.00882232	0.00165
-0.018	-0.0146	0.0176	-0.0006789330790257941	4.886921905584123e-05	-0.0004886921905584122	1.05306876	36.31814575	1.06040124	0.07482630170295607	0.00912994	0.00235
-0.0221	0.0291	-0.0091	-0.0003106686068549907	5.759586531581287e-05	-0.00041189770347066176	1.07066381	36.92496109	1.06724846	0.09718928027592627	0.00921929	0.00271
-0.024	-0.0494	0.0272	-0.0005515240436302081	3.4906585039886588e-06	-0.0005567600313861911	1.07860565	37.19886017	1.07458398	0.13869114857512854	0.00903696	0.00179
-0.019	-0.0081	0.0248	-0.0002652900463031381	8.726646259971648e-05	-0.000466002910282486	1.08206427	37.31814194	1.06859097	0.07173834612632515	0.00901234	0.00173
-0.0121	-0.0303	0.0403	-0.00020420352248333657	9.42477796076938e-05	-0.00046425758103049166	1.07296526	37.0043335	1.06189532	0.04809065850398866	0.00895715	0.00173
-0.0092	-0.0599	0.044	-0.0005951572749300663	8.552113334772214e-05	-0.000466002910282486	1.0422864	35.94628525	1.0513846	0.05627128639793478	0.00871545	0.00152
-0.0057	0.016	0.0303	0.000148352986419518	4.886921905584123e-05	-0.0004625122517784973	1.06089091	36.58791733	1.06458631	0.13228264170727266	0.00884759	0.00227
-0.0032	-0.0306	0.0356	2.268928027592628e-05	1.3962634015954635e-05	-0.0005375614096142535	1.06116807	36.59747314	1.05821015	0.06618097245096173	0.00890899	0.00205
-0.0057	-0.0424	0.0233	-0.00017453292519943296	-1.7453292519943294e-06	-0.0005637413483941684	1.09077013	37.61838913	1.0751138	0.03855550537616114	0.00914305	0.0018
-0.0134	0.0048	-0.0009	0.00017104226669544429	-3.316125578789226e-05	-0.0005009094953223725	1.09820545	37.87481689	1.08429672	0.10109114857512856	0.00911385	0.00207
-0.0121	-0.0649	0.0363	-0.00028623399732707005	-5.93411945678072e-05	-0.0005916666164260777	1.05776668	36.48016739	1.05699305	0.1369106661953067	0.00873494	0.00151
-0.01	-0.0233	0.023	-0.0001186823891356144	-8.028514559173915e-05	-0.0006213372137099814	1.05480599	36.37805939	1.0508284	0.06790830782496457	0.00894725	0.00192
-0.0048	-0.0178	0.0282	-8.028514559173915e-05	-0.00014660765716752367	-0.0005916666164260777	1.05344391	36.33108521	1.06023327	0.022619517620178168	0.00875312	0.00182
0.0022	-0.0598	0.0269	-0.0008255407361933179	-0.0001884955592153876	-0.0006073745796940267	1.07588685	37.10509491	1.07357154	0.09044257279586956	0.00870591	0.00164
0.0018	0.016	0.0116	-0.0005532693728822024	-1.9198621771937625e-05	-0.000609119908946021	1.05078769	36.23947525	1.0613529	0.11366568150032796	0.0090726	0.00219
-0.0032	0.019	0.018	-0.0005602506898901797	7.330382858376184e-05	-0.0006475171524898963	1.09093666	37.62413025	1.0910505	0.0212940505453776	0.00975192	0.00301
0.0046	-0.076	0.0403	-0.000640535835481919	-0.0001884955592153876	-0.0007400196028455958	1.10884297	38.24168015	1.11123238	0.1468293491873294	0.00884944	0.00165
0.0132	-0.0218	0.0395	-0.00033335788713091696	-0.0002513274122871834	-0.0007731808586334879	1.07412994	37.04450226	1.07549525	0.08375855286053449	0.00884032	0.00178
0.0121	-0.0163	0.0489	-0.00023561944901923448	-0.00029845130209103034	-0.0007766715171374765	1.02559233	35.37054062	1.03791046	0.0234176493209759	0.00888747	0.00174
0.0103	-0.0667	0.0444	-0.0007435102613495844	-0.00028797932657906436	-0.000804596785169386	1.02813137	35.45810699	1.03889055	0.08401440279371125	0.00890166	0.00147
0.0186	-0.0052	0.0394	-0.00012042771838760874	-0.00033684854563490564	-0.0008115781021773631	1.05185223	36.27619171	1.05338238	0.10874665395128973	0.00888181	0.00181
0.0188	-0.064	0.062	-0.00039793506945470715	-0.0004206243497306334	-0.000900589894029074	1.05168951	36.27058029	1.05198838	0.10411474735072684	0.00856686	0.00142
