trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.030247	0.024
0.0052	-0.0511	0.0033	-7.67944870877505e-05	1.0471975511965975e-05	4.363323129985824e-05	1.16255319	54.49623108	1.1552405	0.06614498469497873	0.0297787	0.02163
-0.0081	-0.109	0.047	-0.00010821041362364843	-3.316125578789226e-05	-2.268928027592628e-05	1.18642831	55.61540985	1.17712884	0.12196858347057704	0.0275006	0.01818
-0.0063	-0.0206	0.0336	-0.0006318091892219474	-0.00013788101090755203	-0.00017453292519943296	1.18128848	55.37447357	1.16806133	0.14260810878207328	0.0283827	0.01992
-0.0119	-0.0553	0.034	-0.0006911503837897545	-0.0001605702911834783	-0.00029496064358704166	1.18422413	55.51208496	1.15744217	0.05082290966156711	0.0289828	0.01852
-0.0124	-0.1171	0.075	-0.0005427973973702365	-0.00011693705988362007	-0.00016406094968746698	1.1854378	55.56897736	1.16069359	0.11944429558094752	0.0273418	0.01514
-0.0153	-0.0322	0.0673	-0.0008499753457212384	-0.00018500490071139895	-0.0003438298626428829	1.13196504	53.0623703	1.13177759	0.12325073510670984	0.0283893	0.01723
-0.0147	-0.0127	0.0569	-0.0013456488532876281	-0.00015009831567151235	-0.0003665191429188092	1.12857461	52.90344238	1.12869151	0.058163468644110136	0.0292434	0.01862
-0.0187	-0.0994	0.0822	-0.000879645943005142	-9.075712110370512e-05	-0.00027925268031909274	1.1439389	53.62366104	1.14268651	0.14663052837250048	0.0281963	0.0158
-0.0119	-0.022	0.0753	-0.0010122909661567112	-0.00020769418098732522	-0.0003438298626428829	1.16435564	54.58072281	1.14430973	0.10680796326794895	0.027467	0.01633
-0.0127	-0.0165	0.0607	-0.0013962634015954637	-0.0001832595714594046	-0.00032812189937493397	1.15258837	54.02911758	1.13907171	0.04210575041173111	0.0277794	0.01731
-0.0151	-0.1092	0.1056	-0.0013281955607676848	-0.00013788101090755203	-0.0002373647782712288	1.14925313	53.87277603	1.14044702	0.15021017612416684	0.0259883	0.01276
-0.0127	-0.0526	0.1188	-0.0019512781037296606	-0.00028099800957108706	-0.0002548180707911721	1.1187712	52.44389343	1.11951724	0.11138264170727272	0.0260277	0.01388
-0.0059	-0.0376	0.1141	-0.0026110125609835172	-0.00017976891295541595	-0.00026878070480712676	1.13401544	53.15848923	1.12334114	0.06524630939427413	0.0271048	0.01512
-0.0072	-0.1142	0.139	-0.002190388211252884	-0.00018151424220741024	-0.000158824961931484	1.14759493	53.79504395	1.13695481	0.1294162710929135	0.0254552	0.0126
-0.0012	-0.0589	0.1434	-0.0026075219024795284	-0.0002251474735072685	-0.00016406094968746698	1.13512266	53.210392	1.12499145	0.08900014551412427	0.0250666	0.01358
0.0014	-0.0082	0.1106	-0.0031730085801256907	-0.00020943951023931956	-0.00023561944901923448	1.13980675	53.42996216	1.13620064	0.11873765701229393	0.0264437	0.01759
-0.0019	-0.1117	0.1136	-0.002134537675189065	-0.00010297442586766544	-0.00022165681500327985	1.21103346	56.76881027	1.19709477	0.16774493116621172	0.0259713	0.01483
-0.0002	-0.0478	0.1195	-0.002040289895581371	-0.0001239183768915974	-0.0002251474735072685	1.2053479	56.50229263	1.18697509	0.0774341194567807	0.0261093	0.01564
-0.0006	-0.0162	0.1097	-0.0026267205242514655	-0.000153588974175501	-0.0002897246558310587	1.13158786	53.04469299	1.13116909	0.07583392041388942	0.0264838	0.01619
