trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0132832	0.01245
-0.0116	0.0521	-0.2032	0.00015533430342749534	0.0008447393579652555	0.0008988445647770796	1.32056355	61.42366409	1.30724738	0.36184591130849153	0.018566	0.02095
0.0581	0.0416	-0.2224	-0.0003385938748868999	-0.0005183627878423159	0.0002722713633111154	1.41893613	65.99929047	1.40245575	0.22358017627939647	0.0197157	0.0232
0.0138	-0.0028	-0.1644	0.0007033676885537148	0.00021642082724729686	0.0015358897417550098	1.47412241	68.566185	1.43957512	0.2987181778487061	0.0159232	0.01393
0.0148	0.013	-0.2036	0.0014573499254152652	0.00024609142453120044	0.0010000736613927507	1.11249638	51.74578857	1.09473666	0.12197344572538565	0.0162472	0.01227
-0.0401	-0.0055	-0.1956	0.0016807520696705393	7.67944870877505e-05	0.0008447393579652555	1.10072005	51.19803619	1.08466853	0.10880166925631096	0.0156939	0.01009
0.0088	-0.0413	-0.1086	0.002169444260228951	-0.0004014257279586958	0.000582939970166106	1.08504736	50.46905136	1.08029718	0.2331355896702004	0.0134741	0.00406
0.0299	-0.0294	-0.1219	0.001996656664281513	-0.0002443460952792061	-1.0471975511965975e-05	1.06161094	49.3789444	1.05681413	0.09246395871525	0.013878	0.00372
-0.0523	-0.0383	-0.1661	0.002324778563656447	-0.00014660765716752367	0.00013788101090755203	1.051862	48.92549133	1.04514859	0.16401066619530674	0.0140025	0.00483
-0.0528	-0.0463	-0.2006	0.0025342180738957666	0.00016406094968746698	0.0002897246558310587	1.06352007	49.46774673	1.05294972	0.07659758810089086	0.0156811	0.00739
0.036	-0.0399	-0.233	0.002078687139125246	-0.0001972222054753592	-5.4105206811824215e-05	1.06830847	49.69046783	1.05800608	0.18563219762881147	0.0161605	0.01079
0.0378	-0.0383	-0.2311	0.0019198621771937623	-0.0005480333851262194	-0.00019547687622336493	1.06855381	49.70188141	1.05521225	0.037850390549694246	0.0160663	0.01015
-0.0398	-0.0644	-0.1677	0.0022863813201125715	-0.00034557519189487725	-5.4105206811824215e-05	1.06041956	49.32352829	1.05376832	0.20261745027808464	0.0139597	0.00515
0.0279	-0.061	-0.1519	0.002171189589480946	-0.0005166174585903216	-6.108652381980153e-05	1.0335573	48.07407761	1.0295326	0.10156076571675236	0.0146123	0.00434
0.0391	-0.05	-0.162	0.0021607176139689798	-0.0005218534463463045	-0.00012042771838760874	1.0441159	48.56519699	1.03721344	0.036052457891787806	0.0139697	0.00429
-0.0077	-0.0608	-0.1565	0.0028187067419708422	-0.00022340214425527416	0.0002373647782712288	1.05539584	49.08986282	1.04525867	0.12881164633758654	0.0142662	0.00365
