trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00546354	0.01473
-0.002	-0.0321	0.0123	0.00019198621771937622	-1.2217304763960308e-05	-2.268928027592628e-05	1.20407557	43.02749252	1.11213603	0.05774464013796313	0.0054273	0.00376
0.0039	-0.001	0.0088	-0.0004136430327226561	6.9813170079773176e-06	6.9813170079773176e-06	1.17453277	41.9717865	1.057659	0.07322492347489366	0.00429142	0.00096
0.0015	0.0163	0.0065	-0.0005567600313861911	0.00022165681500327985	0.00012217304763960306	1.02507246	36.6308403	1.01913885	0.04564921136452316	0.00439519	0.00107
-0.0028	0.0116	-0.0008	-0.0005602506898901797	0.0003438298626428829	0.00017802358370342162	1.08200991	38.66549301	1.03666475	0.02537571211037051	0.00434583	0.00112
0.0049	-0.0697	0.0077	0.0	0.0003874630939427412	0.0003316125578789226	1.28507245	45.92190933	1.07230793	0.13537364476827696	0.00435472	0.00144
0.011	-0.0115	0.0088	-0.00010995574287564276	7.67944870877505e-05	0.0002007128639793479	1.02353549	36.57591629	1.02011102	0.0929762021815104	0.00415939	0.00148
0.0136	0.0166	-0.0288	-0.0003159045946109737	6.108652381980153e-05	0.00026354471705114377	1.15058661	41.11607361	1.04792895	0.08252443340375379	0.00376904	0.00096
0.0108	0.0149	-0.0287	-0.0001291543646475804	1.3962634015954635e-05	0.0002024581932313422	1.09959459	39.29388046	1.05327867	0.019348032179352086	0.00444394	0.00121
0.0145	-0.0322	-0.0143	-2.268928027592628e-05	0.00015533430342749534	0.00042935099599060504	1.09543622	39.14527893	1.05165611	0.0889364778271229	0.00388992	0.0009
0.0133	0.098	-0.0433	-0.0003595378259108319	9.250245035569947e-05	0.00020943951023931956	1.05655777	37.75596237	1.0425195	0.19137959422289935	0.0038684	0.00114
0.0127	-0.0661	0.0029	0.0001256637061435917	0.00018675022996339323	0.00035430183815484887	1.24387634	44.44977188	1.10066252	0.24711558197888236	0.00458395	0.00178
0.0028	0.0029	0.0086	-0.0002844886680750757	0.0003874630939427412	0.000296705972839036	1.15116751	41.13683319	1.05906152	0.1180230551756914	0.00489837	0.00125
-0.0018	0.0392	-0.0308	-0.0004485496177625427	0.00047822021504644627	0.00032637657012293966	1.09938145	39.28626251	1.04787836	0.09452443340375381	0.00415647	0.00105
0.0019	-0.0502	-0.0044	0.0001256637061435917	0.000598647933434055	0.0005340707511102648	1.12976706	40.37208939	1.04982664	0.16461676116405338	0.00423187	0.00125
0.0023	0.0364	-0.0051	-0.0004468042885105483	0.0003892084231947355	0.0003769911184307752	1.15237379	41.17993546	1.03227799	0.13464935687864749	0.00371993	0.00073
-0.0004	0.0012	-0.0024	-0.0004485496177625427	0.00031415926535897925	0.00027925268031909274	1.02641141	36.67868805	1.01387806	0.04932664625997166	0.00353438	0.00082
0.0037	-0.0458	0.011	-8.726646259971648e-06	0.0004537856055185257	0.00043458698374658803	1.17795563	42.09410095	1.04909099	0.10123918075448064	0.00462162	0.00163
0.011	0.0259	0.0045	-0.0004677482395344803	0.0003787364476827695	0.00041015237421866745	1.25854349	44.97389984	1.05682687	0.11342526803190928	0.00420582	0.0012
0.0155	-0.0286	0.0148	3.4906585039886588e-06	0.0002495820830351891	0.0004729842272904633	1.27690578	45.63007355	1.07264574	0.10246125578789227	0.00470442	0.00202
0.0205	0.0739	-0.0123	-0.0006318091892219474	0.00017627825445142725	0.00037350045992678646	1.23387194	44.09226227	1.0866858	0.1750043721836687	0.00442731	0.00159
0.0176	-0.0427	0.0162	-6.108652381980153e-05	0.00016231562043547262	0.0003961897402027128	1.24875534	44.6241188	1.09857246	0.17836872898470135	0.00546068	0.00304
0.0088	-0.0497	0.0268	0.00015533430342749534	0.0005811946409141118	0.0005951572749300663	1.06215727	37.95606232	1.03496735	0.06811336912266447	0.00567323	0.00265
-0.0009	-0.0023	0.0129	-0.00012042771838760874	0.0006056292504420323	0.0005166174585903216	1.03674006	37.04777908	1.02231791	0.08993682238413844	0.00479561	0.00177
-0.0037	0.0275	-0.0133	-0.0005218534463463045	0.000598647933434055	0.00038048177693476387	1.18083358	42.19694519	1.06353278	0.08602713633111156	0.00383985	0.00113
-0.0034	-0.0408	-0.0014	-2.792526803190927e-05	0.0005009094953223725	0.0003577924966588376	1.10431111	39.46242142	1.0473136	0.11121779483510016	0.00411797	0.00107
0.0017	-0.029	0.0061	-0.00011519173063162575	0.0004729842272904633	0.0004258603374866164	1.07829225	38.53264236	1.03250734	0.03356297857297023	0.00420064	0.00139
0.004	-0.0092	0.0087	-0.0005375614096142535	0.0005480333851262194	0.0005096361415823442	1.12321591	40.13798523	1.03082512	0.05375973204570558	0.00404024	0.001
0.0083	0.0133	0.0294	-0.0011414453308042916	0.0004049163864626844	0.0005061454830783556	1.02429807	36.60316849	1.01392922	0.08502457891787808	0.00389421	0.00107
0.0083	-0.0601	0.0278	-0.0006527531402458793	0.0005078908123303499	0.0005410520681182421	1.14922166	41.06729507	1.04326422	0.1063286600732982	0.00493354	0.00177
0.0143	-0.0161	0.0269	-0.001090830782496456	0.0006475171524898963	0.000614355896702004	1.12677729	40.26525116	1.03443023	0.08345039054969423	0.00407118	0.00073
0.0167	-0.0058	0.0247	-0.0011239920382843482	0.0005375614096142535	0.0005235987755982988	1.01159453	36.14920807	1.00370033	0.02659370598836201	0.00343525	0.00076
0.0191	-0.0192	0.0233	-0.000926769832808989	0.000609119908946021	0.000445058959258554	1.03079402	36.83530045	1.00788014	0.034566026057343574	0.00425029	0.00085
0.0226	-0.0411	0.0388	-0.0008918632477691023	0.0004415683007545654	0.0004328416544945937	1.17732799	42.07167435	1.03660811	0.05163377489976512	0.0038408	0.00123
0.0281	-0.0212	0.0255	-0.000926769832808989	0.00062482787221397	0.0006213372137099814	1.10803044	39.5953331	1.01891071	0.059033085785733935	0.00378478	0.00081
0.0275	0.0325	0.0155	-0.0015428710587629874	0.00039968039870670147	0.00048520153205442357	1.01355505	36.21926498	1.00769475	0.11316921905584122	0.00329232	0.00066
0.0168	-0.0616	0.0366	-0.000874409955249159	0.0007923794804054256	0.000614355896702004	1.13187277	40.4473381	1.04495198	0.18541572749300664	0.00396085	0.00104
0.0169	-0.0071	0.0282	-0.0012514010736799342	0.0008377580409572782	0.0006632251157578452	1.11884856	39.98191833	1.03182856	0.08656194490192344	0.00344288	0.00066
0.0164	-0.0154	-0.0036	-0.0009773843811168245	0.000926769832808989	0.000783652834145454	1.02231336	36.53224182	1.01356039	0.06477281014012146	0.00339913	0.0008
0.0167	0.019	0.0024	-0.0011746065865921838	0.000609119908946021	0.0005759586531581287	1.00678146	35.97721481	0.99899025	0.07682831551628262	0.00343221	0.0008
0.0214	-0.0055	0.0081	-0.0010210176124166828	0.0005794493116621174	0.000661479786505851	1.02247059	36.53786087	1.0093524	0.048339035240356334	0.00347	0.00093
0.0173	0.001	0.0027	-0.000932005820564972	0.0005462880558742252	0.0006859143960337716	1.00849497	36.03844452	1.00297586	0.023330382858376183	0.00328302	0.00061
0.0125	0.0177	0.007	-0.0011100294042683937	0.000661479786505851	0.0006335545184739417	1.00820017	36.02791214	1.00717404	0.04307875959474387	0.0032081	0.00068
0.0065	-0.0072	-0.0018	-0.0008779006137531476	0.0009494591130849152	0.0007068583470577034	1.02088618	36.48124313	1.00334563	0.0693705972839036	0.00358862	0.00079
0.005	0.0364	-0.0131	-0.0012531464029319286	0.0007906341511534313	0.0005689773361501514	1.03137398	36.85602188	1.01402457	0.08999758810089085	0.00338215	0.0008
0.0083	0.0034	0.0016	-0.0012583823906879114	0.0006859143960337716	0.00047822021504644627	1.01051557	36.11065292	1.00192954	0.06103564319896738	0.00369781	0.00079
0.0044	-0.0008	0.0057	-0.0012897983172238095	0.0005567600313861911	0.0003874630939427412	1.04588556	37.37459183	1.01066353	0.02476637061435918	0.00395924	0.0009
0.0092	-0.0283	0.0127	-0.0012479104151759456	0.0006649704450098395	0.0005113814708343385	1.04062045	37.18644333	1.01517529	0.05300083462815549	0.00351447	0.0008
0.0044	-0.0024	0.0035	-0.001462585913171248	0.0006684611035138282	0.0004572762640225143	1.01108515	36.13100433	1.00621122	0.05351356816555576	0.00348777	0.00089
0.0017	0.0134	0.0125	-0.0017767451785302276	0.0006108652381980154	0.00040666171571467877	1.01205015	36.1654892	0.99861679	0.04861848394913141	0.00310391	0.00054
0.0019	0.0056	0.0003	-0.0014940018397071458	0.000752236907609556	0.00042236967898262774	1.00328624	35.85231018	0.99560511	0.042191148575128574	0.00324136	0.00077
0.0008	0.037	0.0158	-0.0019198621771937623	0.0006562437987498679	0.000450294947014537	1.00441349	35.89259338	1.00310833	0.07548893571891067	0.00346822	0.00074
0.0107	0.0243	0.0005	-0.0019198621771937623	0.0007853981633974483	0.0005288347633542819	0.99921101	35.70668411	0.99565503	0.048284709049366256	0.00376964	0.00076
0.0042	0.0496	-0.0126	-0.0020804324683772408	0.0010995574287564276	0.0006126105674500097	1.03149664	36.86040878	1.01417481	0.0728252680319093	0.00407034	0.00068
