trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0160599	0.01011
-0.0092	-0.0698	-0.0851	0.0005585053606381855	-0.00027925268031909274	-0.00026354471705114377	1.22907674	59.35530853	1.15742127	0.2191651379004211	0.013436	0.00341
-0.0227	-0.0551	-0.0368	0.000645771823237902	-0.0007033676885537148	-0.0005305800926062762	1.09016407	52.6468544	1.07078508	0.11542084231947354	0.0129372	0.00303
-0.0247	-0.0653	-0.0491	0.0004380776422505767	-0.0008499753457212384	-0.0006422811647339132	1.0281136	49.65028	1.03398897	0.04780014551412429	0.0119112	0.00224
-0.0169	-0.0811	-0.102	0.000710349005561692	-0.0007731808586334879	-0.0007539822368615504	1.07205617	51.77237701	1.06084352	0.09953834612632516	0.0115932	0.00197
-0.0149	-0.0525	-0.0673	0.0006073745796940267	-0.0009023352232810684	-0.0006981317007977319	1.11435628	53.81515884	1.07886099	0.0796989663289532	0.0127996	0.00285
-0.0157	-0.073	-0.1022	0.0006824237375297829	-0.0008237954069413235	-0.0006440264939859076	1.14903283	55.48978043	1.10292622	0.06658470904936627	0.0127071	0.00274
-0.0222	-0.0614	-0.1196	0.0009564404300928925	-0.0008325220532012951	-0.0007190756518216638	1.09333014	52.79975128	1.06800385	0.05338962483294186	0.0128975	0.00293
-0.0255	-0.0389	-0.0752	0.0004991641660703782	-0.0009442231253289323	-0.0007696902001294993	1.06820321	51.58631134	1.05024165	0.10117959422289936	0.0128857	0.00265
-0.0295	-0.0847	-0.1572	0.0008866272600131194	-0.0009826203688728075	-0.0009861110273767962	1.09019387	52.64829636	1.07504128	0.16391405823669564	0.011682	0.00196
-0.0277	-0.0708	-0.1615	0.0010314895879286487	-0.0009512044423369096	-0.0010262536001726657	1.07570791	51.94873047	1.05957138	0.03082104136236483	0.0113171	0.00192
-0.0279	-0.0482	-0.119	0.0005235987755982988	-0.0009564404300928925	-0.0008639379797371932	1.07747126	52.03388977	1.0575303	0.09907212102609027	0.0114786	0.00185
-0.0251	-0.1026	-0.1422	0.0011519173063162574	-0.0010122909661567112	-0.0009529497715889039	1.086465	52.46821594	1.05853817	0.1190590429316744	0.0117604	0.00176
-0.0213	-0.0661	-0.1297	0.0009372418083209549	-0.0008813912722571365	-0.0008325220532012951	1.06359327	51.36368561	1.04424399	0.07610014551412425	0.0119012	0.00202
-0.0099	-0.0338	-0.1079	0.0003769911184307752	-0.0008464846872172499	-0.000619591884457987	1.06302321	51.33615494	1.04417247	0.10590437218366874	0.0116829	0.00174
-0.0117	-0.0742	-0.1466	0.0008517206749732328	-0.0007819075048934597	-0.0006318091892219474	1.06653988	51.50598526	1.04584338	0.10847620218151043	0.0115132	0.00191
-0.0117	-0.0413	-0.141	0.0008028514559173916	-0.0007696902001294993	-0.0005532693728822024	1.0395844	50.20423126	1.0320576	0.045481317007977355	0.0117407	0.0024
-0.0088	-0.026	-0.1298	0.00034906585039886593	-0.0008325220532012951	-0.0005672320068981572	1.05745876	51.0674324	1.0367865	0.0559290046303138	0.0117915	0.00247
-0.0102	-0.072	-0.1395	0.0009791297103688187	-0.0008150687606813518	-0.0005567600313861911	1.06341255	51.35495377	1.04096174	0.0899994564000931	0.0120879	0.00211
-0.0143	-0.0379	-0.1347	0.0008587019919812101	-0.0007731808586334879	-0.0005061454830783556	1.02647138	49.57097244	1.02239121	0.05364650843716542	0.0123525	0.00273
-0.012	-0.0174	-0.1272	0.000291469985083053	-0.0008133234314293575	-0.00048171087355043494	1.03407776	49.9383049	1.02569173	0.06189045946109735	0.0119492	0.00241
-0.0138	-0.0589	-0.1486	0.0005480333851262194	-0.0008098327729253688	-0.0005427973973702365	1.05347395	50.87499619	1.04223662	0.08075702911834784	0.0114254	0.00195
-0.0102	-0.0528	-0.1614	0.0008499753457212384	-0.000752236907609556	-0.0005288347633542819	1.04432487	50.43316269	1.03701081	0.0411750229963393	0.0116847	0.00238
-0.0136	-0.012	-0.1521	0.00022165681500327985	-0.0008080874436733745	-0.00046425758103049166	1.07758021	52.03915024	1.05592913	0.09093731245527832	0.0117947	0.00291
-0.0155	-0.0452	-0.168	0.00030194196059501896	-0.0008203047484373349	-0.00043458698374658803	1.06881726	51.61596298	1.05182052	0.05710865238198015	0.01117	0.00214
-0.0128	-0.0359	-0.1669	0.00014660765716752367	-0.0007504915783575615	-0.0004572762640225143	1.05162108	50.78551483	1.03705733	0.02549183768915976	0.0120915	0.00253
-0.0058	0.0122	-0.1386	-0.0006544984694978735	-0.0007888888219014368	-0.0003054326190990077	1.07357073	51.84552002	1.05567211	0.13296735075663896	0.0120328	0.0031
