trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0465234	0.03155
0.0016	0.0056	0.0102	0.00010821041362364843	-8.726646259971648e-06	1.3962634015954635e-05	1.1341604	101.8751297	1.12310976	0.023944984694978737	0.0458853	0.02723
0.0017	-0.0348	0.0553	-0.0004310963252425994	6.9813170079773176e-06	0.00014486232791552936	1.13527906	101.97561646	1.12620768	0.11989571980168857	0.0446571	0.0234
0.004	0.0191	0.0539	-0.000317649923862968	-8.37758040957278e-05	0.0001012290966156711	1.11812162	100.43445587	1.11357316	0.06999183768915973	0.0442016	0.02236
0.0067	-0.0067	0.09	-0.0006579891280018621	-0.00014311699866353502	9.599310885968811e-05	1.12386155	100.95004272	1.11530836	0.0848458193231342	0.0429128	0.02039
0.012	-0.0201	0.0952	-0.0006754424205218055	-0.00014137166941154068	0.0002007128639793479	1.12024415	100.62511444	1.11050686	0.03009591884457988	0.0428916	0.02018
0.0126	-0.0012	0.1194	-0.0010367255756846318	-0.0001291543646475804	0.00019198621771937622	1.12589324	101.13253784	1.11687486	0.06281135530933792	0.041751	0.01753
0.0124	-0.0467	0.1819	-0.0015323990832510211	-0.00021118483949131387	0.0003089232776029963	1.12629092	101.1682663	1.11718928	0.14293205211468712	0.0383178	0.01287
0.0208	0.0314	0.1894	-0.002118829711921116	-0.0001064650843716541	0.00038048177693476387	1.15479505	103.72863007	1.14014326	0.13213544415607612	0.038772	0.01308
0.0219	0.0073	0.2257	-0.0026878070480712674	-0.0002129301687433082	0.0003630284844148205	1.15132701	103.41710663	1.13425652	0.09614478565208745	0.0365176	0.00974
0.0229	-0.0007	0.2267	-0.0024748768793279594	-0.0002670353755551324	0.00039793506945470715	1.10638511	99.38024139	1.09804964	0.025097098029750943	0.0361763	0.00958
0.0212	0.0106	0.2577	-0.002642428487519415	-0.0002303834612632515	0.0003769911184307752	1.10210466	98.99575043	1.09467713	0.0552573736753634	0.0343294	0.00655
0.0248	0.0071	0.2527	-0.002707005669843205	-0.0002129301687433082	0.00038571776469074686	1.11954963	100.56272888	1.10450576	0.01663785605518524	0.0349261	0.00756
0.0266	0.0066	0.2964	-0.003008947630438224	2.6179938779914945e-05	0.0002617993877991494	1.15871727	104.08093262	1.13413485	0.07924852225049199	0.0320736	0.00472
0.0234	-0.032	0.3355	-0.003558726344816438	-0.000153588974175501	0.0003647738136668148	1.10853469	99.57331848	1.09951642	0.1225261026600648	0.0294706	0.00273
0.027	0.018	0.3422	-0.003309144261781249	-0.0002548180707911721	0.0003351032163829112	1.04956174	94.27612305	1.05620196	0.07932408884673818	0.028462	0.00264
0.0284	-0.0006	0.3641	-0.0035622170033204267	-0.0002513274122871834	0.00038571776469074686	1.06643605	95.79184723	1.06025216	0.05725889741755008	0.0273599	0.00218
0.0291	-0.0132	0.3608	-0.0033772121026090277	-0.0002199114857512855	0.00038397243543875244	1.06981158	96.095047	1.0616791	0.027508307824964537	0.0274191	0.00221
0.0294	-0.021	0.3714	-0.003691371367968007	-0.00017627825445142725	0.0004188790204786391	1.07045996	96.15328217	1.06366663	0.0383349540849362	0.0271838	0.00196
0.0319	-0.0127	0.3722	-0.0037943457938356727	-0.0001937315469713706	0.0004363323129985824	1.06807649	95.93919373	1.06188111	0.01849405054537759	0.0268825	0.00214
0.0295	-0.0077	0.3832	-0.0038152897448596045	-0.00020769418098732522	0.0004415683007545654	1.07319331	96.39881134	1.06710784	0.020407128639793475	0.0263548	0.0018
0.0288	-0.0272	0.3881	-0.0038467056713955023	-0.0002373647782712288	0.0004380776422505767	1.07278085	96.361763	1.06313963	0.028328859116189518	0.0265719	0.00184
0.0299	0.0051	0.3892	-0.0035534903570604553	-0.00023387411976724014	0.00041538836197465044	1.07557857	96.61306	1.06315159	0.05046976265574809	0.0265351	0.00193
0.0288	-0.0433	0.4357	-0.004440117617073575	-0.0003595378259108319	0.0004468042885105483	1.07779741	96.8123703	1.06292564	0.14818534463463043	0.0242928	0.0014
0.0316	0.0119	0.3778	-0.0036320301734002	-0.0002373647782712288	0.00040666171571467877	1.08836412	97.76151276	1.07502704	0.16442015320544232	0.0271646	0.00198
0.0349	-0.0316	0.4022	-0.0039706240482871	-0.00019024088846738194	0.000460766922526503	1.10339546	99.11169434	1.08695937	0.09319114857512853	0.0251133	0.00151
0.0377	-0.0212	0.4163	-0.003829252378875559	-0.0002600540585471551	0.0005113814708343385	1.0741812	96.48754883	1.06360181	0.04038996938995748	0.0241849	0.00135
0.0396	0.001	0.3788	-0.003506366467256608	-0.0003001966313430247	0.0004433136300065597	1.07052827	96.15942383	1.06123822	0.08315481626212995	0.0265543	0.00223
0.0369	-0.0591	0.4264	-0.0041329396687225725	-0.00028099800957108706	0.0004904375198104066	1.08060968	97.06497955	1.06993191	0.14504478565208742	0.0240157	0.00124
0.0393	-0.0342	0.4189	-0.003974114706791089	-0.0002897246558310587	0.00048345620280242926	1.05418658	94.69154358	1.04749084	0.043526646259971616	0.0244126	0.00141
0.0417	-0.0036	0.4173	-0.003673918075448063	-0.00023561944901923448	0.0004939281783143952	1.06633127	95.78242493	1.0534758	0.0528386906833408	0.0245155	0.00133
0.0427	-0.0607	0.4425	-0.004190535534038385	-0.00020769418098732522	0.0005026548245743669	1.05381012	94.65772247	1.04692223	0.11096346864411012	0.0226625	0.00108
0.0522	-0.0104	0.4333	-0.0034452799434368064	-0.00020420352248333657	0.0004520402762665313	1.05185592	94.48219299	1.04656752	0.10896803987067012	0.0231357	0.00111
0.0504	-0.035	0.46	-0.003867649622419434	-0.0002530727415391778	0.000439822971502571	1.05827856	95.05909729	1.0469073	0.07727281014012145	0.0219538	0.00089
0.0499	-0.0266	0.4795	-0.004312708581677988	-0.000153588974175501	0.0004310963252425994	1.05274773	94.56230164	1.04347985	0.0560634686441101	0.0211941	0.00079
0.05	0.0206	0.5048	-0.004150392961242515	0.00011170107212763708	0.000148352986419518	1.10312283	99.08720398	1.08244075	0.10811745027808464	0.0219855	0.00152
0.0412	-0.0471	0.5596	-0.005194099853935124	-6.981317007977319e-05	0.000296705972839036	1.09423888	98.28920746	1.08070112	0.1999787060659768	0.0179552	0.00057
0.0414	-0.0148	0.5702	-0.004710643651132695	-9.773843811168246e-05	0.0002565634000431664	1.03114831	92.62214661	1.02772599	0.07067620218151043	0.0177684	0.00064
0.0536	-0.006	0.5578	-0.0044628068973495	8.552113334772214e-05	0.0003665191429188092	1.03374648	92.85552979	1.02400836	0.06045260340591221	0.0183461	0.00069
0.052	-0.0755	0.5841	-0.004595451920501069	0.00014137166941154068	0.000439822971502571	1.05582404	94.83863068	1.03664768	0.11048996938995743	0.0180728	0.00065
0.0598	-0.0492	0.5699	-0.004071853144902771	0.00012217304763960306	0.0004974188368183839	1.06801581	95.93374634	1.04225867	0.07831966313430241	0.0197293	0.00079
0.0609	-0.065	0.6043	-0.004499458811641381	0.00015184364492350666	0.000486946861306418	1.04915011	94.23914337	1.02801718	0.074687411976724	0.0197183	0.00068
0.063	-0.0588	0.5953	-0.004621631859280984	0.00017453292519943296	0.0004939281783143952	1.02521968	92.08961487	1.01212625	0.02489218224617522	0.01921	0.00086
0.0659	-0.0211	0.5815	-0.004475024202113462	0.00020420352248333657	0.00046425758103049166	1.04365742	93.74576569	1.03161414	0.06469744258676652	0.0188172	0.00076
0.0638	-0.0553	0.5898	-0.004960225734167885	0.0001972222054753592	0.0005148721293383271	1.05551004	94.81041718	1.03862702	0.07173986986851179	0.0169105	0.00057
0.0625	-0.015	0.5691	-0.0044645522266014955	0.0001832595714594046	0.0004956735075663896	1.02787745	92.32833862	1.01737963	0.08874173816771401	0.017611	0.00046
0.0647	-0.0659	0.6142	-0.005181882549171164	0.00013962634015954637	0.0005724679946541401	1.04399371	93.77597809	1.02502693	0.14008790204786378	0.0165386	0.00047
0.065	-0.0353	0.612	-0.0049462631001519295	0.0001308996938995747	0.0005393067388662478	1.03187919	92.68779755	1.01508053	0.0469753675533549	0.0169438	0.0004
0.0645	-0.0224	0.6168	-0.004848524662040247	5.585053606381854e-05	0.0005201081170943102	1.03003109	92.52179718	1.0169223	0.027799310885968837	0.017134	0.00061
0.0639	-0.059	0.6362	-0.0052499503899989435	6.806784082777885e-05	0.0005340707511102648	1.02370203	91.95328522	1.01046371	0.07798028333693052	0.0162221	0.00035
0.0633	-0.0299	0.6265	-0.005014330940979708	6.981317007977319e-05	0.0004921828490624009	1.01141167	90.84931183	1.00119859	0.05336263401595472	0.0162111	0.00056
0.0606	-0.0743	0.6441	-0.0058468529941810045	3.839724354387525e-05	0.0005270894341022875	1.02229834	91.82720184	1.00632787	0.10964222823885408	0.0153859	0.00038
0.0592	-0.0162	0.6327	-0.005230751768227006	5.235987755982989e-05	0.0004625122517784973	1.01835012	91.47255707	1.00363019	0.10563205211468712	0.0159518	0.00048
0.0584	-0.0448	0.6349	-0.005318018230826722	5.4105206811824215e-05	0.00045553093477052	1.01906574	91.53684235	1.00458673	0.03639965544298437	0.0155813	0.00046
0.0579	-0.0616	0.6541	-0.005927138139772744	5.93411945678072e-05	0.000486946861306418	1.01674104	91.32802582	1.0022737	0.06878859116189512	0.015159	0.00041
0.0595	-0.0023	0.6446	-0.005220279792715039	0.000148352986419518	0.00045902159327450867	1.02178466	91.78105927	1.00582189	0.11158977034706632	0.01579	0.00042
0.0642	-0.042	0.6815	-0.006014404602372459	9.773843811168246e-05	0.0005445427266222308	1.0127883	90.97297668	1.0002191	0.12781302456564894	0.0147597	0.00046
0.0646	-0.0197	0.6672	-0.005759586531581288	0.00020594885173533088	0.0005410520681182421	1.00374484	90.16064453	0.9947788	0.055325957145940394	0.0148327	0.00044
0.0689	-0.023	0.6765	-0.006108652381980153	0.00031415926535897925	0.0005969026041820607	1.01621699	91.28095245	1.00301958	0.042556340004316566	0.0148314	0.00046
0.0718	-0.0425	0.6676	-0.005970771371072602	0.0003316125578789226	0.0005881759579220891	1.01889145	91.52118683	1.00528636	0.039503047484373326	0.015012	0.00049
0.073	-0.0268	0.6836	-0.0060580378336723174	0.0003054326190990077	0.0006335545184739417	1.02109361	91.71898651	1.00542267	0.040841248096574155	0.0154056	0.0004
0.077	-0.0531	0.6842	-0.006613052535806515	0.0003473205211468716	0.0006894050545377602	1.01392663	91.0752182	1.0025651	0.06353765701229405	0.0150903	0.00049
0.0831	0.0169	0.676	-0.005970771371072602	0.00040666171571467877	0.0006946410422937432	1.01502609	91.17398071	1.00497455	0.11964291735288513	0.0155864	0.00051
0.09	-0.0351	0.7018	-0.006309365245959501	0.0005410520681182421	0.0008464846872172499	1.01090908	90.80417633	1.00142527	0.11594139361069838	0.0147281	0.00044
0.0947	-0.0437	0.7155	-0.005916666164260778	0.0005131268000863328	0.0009459684545809266	1.00215411	90.01776123	0.99117053	0.05300540585471552	0.0152849	0.00037
