trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0148289	0.00688
0.0106	0.0233	0.012	0.00028274333882308137	3.141592653589793e-05	4.71238898038469e-05	1.20707762	79.45310211	1.15287638	0.06396415775814131	0.0155117	0.0071
0.0126	-0.0184	0.0276	-5.93411945678072e-05	-4.363323129985824e-05	6.632251157578452e-05	1.05553854	69.47838593	1.05964156	0.08111661564992911	0.015572	0.00643
0.0081	-0.0426	0.0132	-3.839724354387525e-05	-1.5707963267948964e-05	6.806784082777885e-05	1.0772295	70.90614319	1.07150224	0.04563072741539178	0.015115	0.00581
-0.0129	-0.0161	0.0044	6.806784082777885e-05	-0.00022689280275926284	-0.00019024088846738194	1.11184144	73.18439484	1.11327012	0.08509793265790644	0.0144339	0.0051
-0.0204	-0.0713	-0.0054	6.632251157578452e-05	-0.00034557519189487725	-0.0001972222054753592	1.20227838	79.1371994	1.15598894	0.07887045176977929	0.0134549	0.00304
-0.0154	-0.0532	0.0203	-0.00023911010752322313	-0.00020594885173533088	-0.000158824961931484	1.23948967	81.58654785	1.19506	0.07297281014012146	0.0156096	0.0059
-0.002	-0.0441	0.0191	-0.00015009831567151235	-0.00019896753472735358	-8.726646259971648e-05	1.04641676	68.87796783	1.05102097	0.03207758040957277	0.0155073	0.00603
-0.0005	-0.0476	-0.0093	-0.0002600540585471551	-6.45771823237902e-05	-0.0001239183768915974	1.3179003	86.74774933	1.20740039	0.047449900478554345	0.0130309	0.00114
-0.0046	-0.0628	-0.0258	-0.0006387905062299246	-4.71238898038469e-05	-0.00014660765716752367	1.0685612	70.33557892	1.06025437	0.05674395102393194	0.0121382	0.00103
-0.006	-0.0583	-0.0025	-0.0007173303225696694	-0.00014311699866353502	-0.00012217304763960306	1.08100772	71.15483856	1.05444343	0.039148376736367674	0.0127618	0.00127
-0.0031	-0.0499	-0.0161	-0.0004468042885105483	-0.00017627825445142725	-0.000158824961931484	1.06528819	70.12014008	1.05317911	0.04191696020694472	0.0126976	0.0013
-0.0014	-0.0878	0.001	-0.0008028514559173916	-0.00016406094968746698	-4.71238898038469e-05	1.05930042	69.72600555	1.04847404	0.08069827721492204	0.0132893	0.00132
0.005	-0.0822	-0.0003	-0.0003874630939427412	-0.00015184364492350666	-0.00011519173063162575	1.04306161	68.65712738	1.04119051	0.03808367537831949	0.0130177	0.00131
0.0021	-0.1197	0.0144	-0.0007278022980816354	-0.00018500490071139895	-3.141592653589793e-05	1.07570267	70.8056488	1.03789623	0.07796381320112573	0.0128236	0.00187
0.0029	-0.1168	0.007	-0.0005305800926062762	-0.00020769418098732522	-6.981317007977319e-05	1.05589116	69.50160217	1.03830994	0.024015436464758035	0.0124587	0.00154
0.0229	-0.144	-0.002	-0.0006161012259539982	-1.0471975511965975e-05	0.000158824961931484	1.07553911	70.79488373	1.04462926	0.08176907354171693	0.0123115	0.00113
