trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0296904	0.00381
-0.0039	-0.0138	0.0514	-0.0004520402762665313	-2.094395102393195e-05	-5.061454830783555e-05	1.07471251	98.54484558	1.02695584	0.09527993877991492	0.0262864	0.00161
-0.0102	-0.1473	0.1845	-0.0002897246558310587	-0.00017104226669544429	-0.00021467549799530252	1.13984466	104.51708221	1.0554765	0.29672374428972254	0.0170552	0.00072
-0.0061	-0.0656	0.1935	-2.96705972839036e-05	-0.00015009831567151235	-0.00017104226669544429	0.9714753	89.07859802	0.97287383	0.11103156204354726	0.017383	0.00074
-0.0006	0.0866	0.0825	-0.00013439035240356338	-0.00012217304763960306	-8.028514559173915e-05	1.08729851	99.69890594	1.02668151	0.27987010721276373	0.0249556	0.00106
-0.0027	0.0191	0.0851	-0.0004485496177625427	-0.000153588974175501	-0.0001675516081914556	1.0521065	96.47200775	1.01429675	0.09384208272472969	0.0242654	0.00109
-0.0125	-0.1299	0.1746	-0.00015009831567151235	-0.00013439035240356338	-0.0002495820830351891	1.09483743	100.3901825	1.02928248	0.2682840199353351	0.0172678	0.0007
-0.01	-0.006	0.0954	0.00034557519189487725	-7.330382858376184e-05	-0.000158824961931484	1.04607356	95.91882324	1.0110372	0.2379758576244948	0.0220386	0.0008
-0.006	0.0051	0.0616	-0.00012740903539558605	5.235987755982988e-06	-0.00010821041362364843	1.04435611	95.76133728	1.00040926	0.07900692959690217	0.0249554	0.00099
-0.0124	-0.1484	0.1705	4.71238898038469e-05	-5.061454830783555e-05	-0.00015009831567151235	1.12085736	102.77605438	1.03039533	0.28241356816555574	0.0167699	0.0006
-0.0125	-0.0297	0.1171	3.665191429188092e-05	-2.96705972839036e-05	-0.00014660765716752367	1.05396008	96.64196777	0.99726522	0.17394532925199432	0.0203626	0.00048
-0.0104	0.0009	0.0616	-0.00018151424220741024	1.9198621771937625e-05	-0.00014486232791552936	1.10528541	101.34819794	1.01525515	0.10163903524035632	0.0243515	0.00101
-0.0152	-0.131	0.1471	-6.9813170079773176e-06	-5.235987755982989e-05	-0.00017104226669544429	1.06343317	97.51059723	1.00117267	0.23581356816555576	0.0171607	0.00067
-0.02	0.0098	0.1016	-2.96705972839036e-05	-5.061454830783555e-05	-0.00019896753472735358	1.01321936	92.90628052	0.98686197	0.19371799387799152	0.0216929	0.00069
-0.0181	0.0265	0.0528	-0.00027750735106709843	-3.839724354387525e-05	-0.00021642082724729686	1.05476213	96.71550751	1.00101379	0.08127536755335492	0.0256044	0.00103
-0.0244	-0.1108	0.1307	-2.6179938779914945e-05	-4.363323129985824e-05	-0.0001884955592153876	1.08030546	99.05768585	1.01180426	0.2357244334037538	0.0182241	0.00078
-0.027	-0.0129	0.1096	-7.330382858376184e-05	-5.585053606381854e-05	-0.0002024581932313422	1.00249553	91.922966	0.97606899	0.12526519142918813	0.0206738	0.00068
-0.0202	0.0503	0.0371	-0.00042935099599060504	-3.4906585039886588e-06	-0.00023212879051524583	1.10139525	100.99149323	1.01350335	0.16440388211252885	0.0270774	0.00115
-0.0259	-0.1117	0.1285	-0.0002303834612632515	-1.9198621771937625e-05	-0.00020769418098732522	1.11292863	102.04904175	1.03282923	0.2710555053761612	0.0185367	0.00065
-0.0259	-0.0449	0.1289	-0.0001937315469713706	-3.839724354387525e-05	-0.00020420352248333657	1.00788379	92.41704559	0.97799811	0.07016705972839034	0.0192557	0.00067
-0.0195	-0.0042	0.0849	-0.00039968039870670147	-6.108652381980153e-05	-0.00024085543677521747	1.05253196	96.51101685	0.993151	0.10436450231515688	0.0232462	0.00078
-0.0273	-0.1203	0.1629	-8.901179185171081e-05	-4.18879020478639e-05	-0.0002513274122871834	1.0479871	96.09427643	0.99342285	0.21891696020694473	0.0170337	0.0005
-0.0254	0.0206	0.1002	-0.00019024088846738194	-2.792526803190927e-05	-0.0002705260340591211	1.00957644	92.57225037	0.98727373	0.21221951762017816	0.0216081	0.00068
-0.0237	-0.0056	0.0836	-0.00042411500823462205	-1.7453292519943296e-05	-0.00031415926535897925	1.0539782	96.64363098	1.00015661	0.058898966328953216	0.0230273	0.00079
-0.0306	-0.1134	0.1635	-0.00011170107212763708	-7.330382858376184e-05	-0.0003159045946109737	1.10018778	100.88078308	1.02208335	0.21310049007113993	0.0170695	0.00066
-0.0275	0.0303	0.0684	-0.0003001966313430247	-9.075712110370512e-05	-0.00041015237421866745	1.10195458	101.04278564	1.02281671	0.25690983156715125	0.0243517	0.00105
-0.032	-0.0356	0.0836	-0.000466002910282486	-0.0001832595714594046	-0.0005358160803622592	1.08859694	99.81797028	1.01436554	0.1047986217719376	0.0233774	0.00089
-0.0395	-0.1158	0.1561	-0.000148352986419518	-0.00018675022996339323	-0.0005183627878423159	1.08736467	99.70497894	0.99852225	0.177129693744345	0.0172896	0.00055
-0.0347	0.038	0.0559	-7.155849933176751e-05	-0.00019024088846738194	-0.0005410520681182421	1.04738581	96.03914642	1.00754604	0.2639487212933832	0.023728	0.00092
-0.0365	-0.0567	0.0954	-0.0001605702911834783	-0.0002303834612632515	-0.0005375614096142535	1.06388235	97.5517807	1.01134033	0.14263225115757844	0.0209302	0.00076
-0.0419	-0.0437	0.1005	-2.4434609527920616e-05	-0.0001884955592153876	-0.0005113814708343385	1.09092689	100.03160858	1.01401451	0.03371017612416684	0.0199648	0.00067
-0.0367	0.0522	0.0207	-0.00040317105721069014	-0.000158824961931484	-0.0005619960191421741	1.1114701	101.91529846	1.01957174	0.20385107966372543	0.0277416	0.00124
-0.0477	-0.036	0.0387	-0.0001972222054753592	-8.552113334772214e-05	-0.0005061454830783556	0.97094512	89.02998352	0.9694395	0.13395516081914555	0.024619	0.00097
