trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00700617	0.01864
0.005	0.025	-0.0843	0.0006300638599699529	-2.268928027592628e-05	-6.806784082777885e-05	1.21156549	32.13088608	1.09705642	0.15034104905368292	0.00416797	0.00198
0.0033	-0.0371	-0.0333	0.00039793506945470715	-1.9198621771937625e-05	8.726646259971648e-06	1.06585908	28.26673317	1.01642248	0.13042069680534923	0.00442189	0.00087
0.0021	0.0004	-0.103	0.000619591884457987	3.839724354387525e-05	-4.537856055185256e-05	1.06366408	28.20852089	1.01382251	0.12506789435654583	0.00408989	0.00051
0.0008	-0.0575	-0.0108	2.4434609527920616e-05	-8.726646259971648e-06	-1.7453292519943296e-05	1.05353892	27.94000053	1.00763138	0.18491032163829113	0.00444716	0.00072
0.0123	-0.0331	-0.0574	9.075712110370512e-05	-0.0002303834612632515	-0.000148352986419518	1.07168329	28.42119026	1.01140253	0.10344395102393196	0.00448048	0.00071
-0.0089	0.0108	-0.1505	0.0003769911184307752	6.108652381980153e-05	-2.792526803190927e-05	1.10252213	29.23904228	1.02740813	0.19310658503988656	0.0037635	0.00041
-0.02	0.0052	-0.17	0.0004485496177625427	0.0001937315469713706	1.9198621771937625e-05	1.02620637	27.21513557	0.98579951	0.04876637061435919	0.0034306	0.00035
-0.0131	-0.0616	-0.0021	-0.0004904375198104066	6.45771823237902e-05	9.075712110370512e-05	1.09716213	29.09689331	1.04026489	0.29858500007761485	0.00636673	0.00101
-0.0054	0.0088	-0.0782	0.00030194196059501896	2.4434609527920616e-05	-4.0142572795869576e-05	1.09578311	29.06032181	1.01955849	0.20237108735504347	0.003721	0.00041
-0.0173	-0.0118	-0.0722	1.5707963267948964e-05	0.00020420352248333657	9.250245035569947e-05	1.18636739	31.46262741	1.05549794	0.06843239667170276	0.00385588	0.00072
-0.0111	-0.0273	-0.0602	3.316125578789226e-05	0.0001361356816555577	6.108652381980153e-05	1.19755602	31.75935173	1.06329418	0.039546852994181016	0.00416869	0.00071
-0.0218	0.0254	-0.1995	0.0005846852994181004	0.000296705972839036	4.0142572795869576e-05	1.15448737	30.61716652	1.04500069	0.23935191429188088	0.00300658	0.00048
-0.0193	-0.0719	-0.0318	-0.00022340214425527416	0.00017278759594743863	0.000148352986419518	1.11165679	29.48129272	1.04373898	0.319510811709431	0.00365889	0.00054
-0.0228	-0.0171	-0.1521	0.0006702064327658224	0.000322885911618951	6.632251157578452e-05	1.14269924	30.30454445	1.02450034	0.23488686837681716	0.00384337	0.00085
-0.0277	-0.0512	-0.1324	0.00032812189937493397	0.0003438298626428829	6.632251157578452e-05	1.23398447	32.72544098	1.05932375	0.07685142422074105	0.00327104	0.00057
-0.0142	-0.0776	-0.0434	9.948376736367679e-05	0.00020943951023931956	0.00010995574287564276	1.1349293	30.09848404	1.03859719	0.1492330857857339	0.00308931	0.00048
-0.018	-0.032	-0.082	0.00048171087355043494	0.0002617993877991494	0.00011170107212763708	1.06356084	28.20578194	1.00266537	0.10981661564992912	0.00288928	0.00038
-0.0197	-0.0762	-0.0234	-0.0001675516081914556	0.0002652900463031381	0.00017802358370342162	1.03731704	27.50979424	0.99517157	0.14045378259108318	0.00322086	0.00057
-0.0214	-0.0051	-0.1306	0.0005969026041820607	0.0003630284844148205	0.0002007128639793479	1.00557315	26.66794205	0.99666179	0.22424409653805627	0.00280678	0.00029
-0.0234	-0.0453	-0.1046	0.00012217304763960306	0.00034906585039886593	0.00015184364492350666	1.13786638	30.17637444	1.02797527	0.09507807048071268	0.00349873	0.00075
-0.0184	-0.0489	-0.07	0.00015184364492350666	0.00027576202181510406	0.00010297442586766544	1.13695216	30.15213013	1.02621546	0.05079218224617532	0.00332391	0.00043
-0.0254	-0.0232	-0.1712	0.0006544984694978735	0.0003892084231947355	6.45771823237902e-05	1.00694954	26.70444107	0.98009791	0.16662492347489366	0.00260037	0.00023
-0.0278	-0.0757	-0.1133	0.0002548180707911721	0.00040317105721069014	9.075712110370512e-05	1.03894043	27.552845	0.99328395	0.13479114857512856	0.00308627	0.00054
-0.0165	-0.0764	-0.074	8.901179185171081e-05	0.0002530727415391778	7.330382858376184e-05	1.06253076	28.17846298	1.00115516	0.06796789435654584	0.00293148	0.00035
-0.0072	-0.0529	-0.1027	0.0005462880558742252	0.00018151424220741024	-2.094395102393195e-05	1.00389361	26.62339783	0.97556157	0.09265412714809879	0.002644	0.00028
-0.0037	-0.1071	-0.0585	-0.00011519173063162575	0.00011344640137963142	1.3962634015954635e-05	1.03207779	27.3708477	0.98323754	0.1401227106186758	0.00321013	0.00054
0.0033	-0.0268	-0.1394	0.0009808750396208131	8.901179185171081e-05	-9.599310885968811e-05	1.06675911	28.29059982	1.00015404	0.22972285613280008	0.00314063	0.00041
-0.009	-0.1011	-0.047	0.00011170107212763708	0.0001239183768915974	5.585053606381854e-05	1.0663482	28.27970314	1.01973414	0.23179620987282845	0.00361317	0.00057
-0.0124	-0.0454	-0.1291	0.0010105456369047167	0.0002670353755551324	-6.9813170079773176e-06	1.1282866	29.9223175	1.02251029	0.19643967082562047	0.00460899	0.00148
-0.0323	-0.0568	-0.1534	0.0009232791743050004	0.00047123889803846896	4.886921905584123e-05	1.21401167	32.19575882	1.05805577	0.07296602605734358	0.00411755	0.00177
-0.023	-0.1068	-0.0536	0.0004049163864626844	0.0003351032163829112	0.000153588974175501	1.12536204	29.84475708	1.04240622	0.19706091123087668	0.00443226	0.00264
-0.0316	-0.0334	-0.17	0.001048942880448592	0.0004328416544945937	8.726646259971648e-05	1.06793213	28.32170868	1.01393468	0.23880437218366876	0.00394934	0.00227
-0.0339	-0.0969	-0.111	0.0004729842272904633	0.00038397243543875244	9.773843811168246e-05	1.09548807	29.05249596	1.02354573	0.1565649923862968	0.00393248	0.00134
-0.0311	-0.0501	-0.166	0.0008133234314293575	0.00040666171571467877	0.0001186823891356144	1.13403618	30.07479668	1.04420983	0.12379862177193764	0.00333941	0.00047
-0.0206	-0.0464	-0.1796	0.0008185594191853405	0.000296705972839036	0.00011344640137963142	1.1240468	29.8098793	1.03177672	0.033821385919380435	0.0028531	0.00035
-0.0074	-0.0945	-0.0795	0.00010471975511965978	8.901179185171081e-05	3.490658503988659e-05	1.08376038	28.74147606	1.02742199	0.21140368306963755	0.0029062	0.0005
0.0025	-0.016	-0.155	0.0010559241974565693	-6.9813170079773176e-06	-9.42477796076938e-05	1.03491843	27.44618225	0.99039799	0.22271759579220887	0.00285113	0.00046
-0.0006	-0.0865	-0.0778	8.203047484373349e-05	-6.9813170079773176e-06	1.9198621771937625e-05	1.09909809	29.14823341	1.0161346	0.20516700619962333	0.00321341	0.00051
0.0067	-0.0241	-0.1454	0.001022762941668677	0.0	-0.0001291543646475804	1.04805577	27.79458427	1.00711715	0.19210333851262196	0.00311095	0.00044
-0.0058	-0.0798	-0.0775	0.0004310963252425994	6.981317007977319e-05	2.96705972839036e-05	1.15639091	30.66764832	1.04376324	0.17711523742186674	0.00458843	0.00158
-0.0169	-0.0456	-0.1644	0.0010506882097005862	0.00024085543677521747	-6.9813170079773176e-06	1.15836811	30.72008324	1.04829257	0.17356430327226555	0.00394803	0.00094
-0.0312	-0.0796	-0.1867	0.000905825881785057	0.0004363323129985824	4.18879020478639e-05	1.2037797	31.92440605	1.07260999	0.09006042115973678	0.00474614	0.00149
-0.0249	-0.0908	-0.1513	0.0007766715171374765	0.00032463124087094524	-3.4906585039886588e-06	1.2315464	32.66078186	1.07267812	0.06721169986635353	0.00434166	0.00068
-0.0335	-0.0793	-0.1969	0.0008936085770210966	0.0004363323129985824	-0.0	1.13089132	29.99139595	1.03872076	0.0773064395257623	0.00355721	0.00056
