trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00729924	0.01028
0.0027	-0.0186	0.0059	5.93411945678072e-05	1.7453292519943296e-05	-4.537856055185256e-05	1.08987439	59.50344467	1.05955189	0.03330865238198015	0.00660151	0.00189
-0.0027	-0.0282	0.0497	0.0003961897402027128	-5.4105206811824215e-05	-0.00016929693744344995	1.03042877	56.2579155	1.00937903	0.08541627109291353	0.00617832	0.0011
-0.0073	-0.069	0.0652	0.00017453292519943296	-4.886921905584123e-05	-0.00028099800957108706	0.98546696	53.80315399	0.98712891	0.077829693744345	0.00629264	0.00109
-0.0054	-0.081	0.0651	0.00019896753472735358	1.2217304763960308e-05	-0.0002705260340591211	0.96694916	52.79214478	0.97325687	0.01879965544298439	0.00639105	0.00115
-0.0031	-0.0923	0.0635	0.0001308996938995747	-4.0142572795869576e-05	-0.0002373647782712288	0.96478313	52.67388535	0.97199991	0.022879448708775042	0.00630605	0.00107
0.0035	-0.1007	0.0354	-0.0005672320068981572	-2.094395102393195e-05	-4.537856055185256e-05	1.00464821	54.85038376	0.99448668	0.08856582701445229	0.006513	0.0009
0.0026	-0.0574	0.0037	-0.0006265732014659643	4.71238898038469e-05	-8.726646259971648e-05	0.98957145	54.02724457	0.98243726	0.08436484687217248	0.00666016	0.00102
0.0038	-0.0023	0.0525	-0.0002740166925631097	-0.00011693705988362007	-0.0002303834612632515	1.05019546	57.33710861	1.03296991	0.13808672286269283	0.00639939	0.00137
-0.0034	0.009	0.1511	0.0002583087292951608	-0.0003159045946109737	-0.0006475171524898963	1.08785498	59.39318848	1.05569595	0.17452133239061343	0.00694031	0.00137
-0.0053	-0.0674	0.1566	8.901179185171081e-05	-0.0003001966313430247	-0.0007173303225696694	0.9887346	53.98155594	0.98773834	0.09654090353955856	0.00714183	0.00128
-0.0055	-0.0991	0.1113	-0.00023387411976724014	-0.00027576202181510406	-0.0006021385919380437	1.00830162	55.04985046	1.0033299	0.10032561258892486	0.0065161	0.0009
-0.0129	-0.089	0.0519	-0.00041189770347066176	-0.00033335788713091696	-0.0004886921905584122	1.071841	58.51887894	1.02498637	0.0943532925199433	0.00673795	0.00107
-0.0028	-0.0238	0.1111	0.0005201081170943102	-0.000598647933434055	-0.0005864306286700947	1.07234371	58.54632568	1.02709394	0.19925171524898963	0.00608063	0.00078
-0.0007	-0.0668	0.1008	0.00010995574287564276	-0.00045553093477052	-0.0003961897402027128	1.01454461	55.39069366	0.99569898	0.09257551306747923	0.00619525	0.00081
-0.0108	-0.0518	0.0203	-0.00021118483949131387	-0.00019547687622336493	-0.00048171087355043494	1.09520626	59.79454422	1.03647801	0.1389357887130917	0.00722575	0.00139
-0.0178	0.027	0.0625	0.0008377580409572782	-0.0001937315469713706	-0.0006440264939859076	1.07720184	58.8115654	1.03304516	0.18865019150680293	0.00663531	0.00109
-0.0163	0.002	0.1138	0.0009529497715889039	-0.0002007128639793479	-0.0004729842272904633	1.0428412	56.93558884	1.01823075	0.0924607657167524	0.0068962	0.00116
-0.0156	-0.0187	0.0154	-6.9813170079773176e-06	8.37758040957278e-05	-0.000486946861306418	1.15699887	63.16821289	1.07987076	0.1827191195343956	0.00793821	0.00186
-0.0093	0.0503	-0.0617	-0.0003874630939427412	-2.4434609527920616e-05	8.726646259971648e-06	1.10174155	60.15135193	1.05315684	0.2016182849062401	0.00902021	0.00261
-0.0089	0.0695	0.0439	-0.0003595378259108319	-1.2217304763960308e-05	-0.0001308996938995747	1.16451406	63.57851791	1.08861756	0.1341884456477708	0.00700808	0.00138
-0.013	0.0305	0.1595	5.235987755982988e-06	8.726646259971648e-06	-9.42477796076938e-05	1.15139687	62.86236191	1.08630655	0.17981848394913139	0.00669587	0.0011
-0.0135	-0.0797	0.1375	-0.0002897246558310587	7.853981633974481e-05	-0.0001291543646475804	1.01433349	55.37916565	1.00641878	0.15268401993533506	0.00673801	0.00087
-0.0125	-0.0839	0.0474	-0.0007243116395776468	0.0001937315469713706	-0.00020943951023931956	1.10143888	60.13482285	1.04589206	0.12680319299849768	0.00708842	0.00129
-0.0137	-0.015	0.1134	-0.00042411500823462205	3.490658503988659e-05	-0.0002844886680750757	1.1173501	61.00352478	1.05254593	0.16280353755551324	0.00681949	0.00108
-0.0326	-0.0524	0.1542	0.00035604716740684323	-0.00013788101090755203	-0.0003193952531149623	1.1750859	64.15570068	1.08826289	0.14649281783143953	0.00882471	0.00273
-0.0521	-0.1657	0.1846	-0.0007016223593017205	-0.00027576202181510406	-0.0005044001538263612	1.17410183	64.10197449	1.0991132	0.23222777191637567	0.00780237	0.00165
-0.0379	-0.0991	0.0768	-0.0012461650859239514	-7.504915783575618e-05	-0.00034033920413889426	1.13971579	62.22461319	1.05348072	0.23406582701445228	0.00658876	0.00103
-0.0409	-0.0319	0.1509	-0.00034208453339088857	-0.00041015237421866745	-0.0006475171524898963	1.08789623	59.39544296	1.03274459	0.2216180858633488	0.00681204	0.00115
-0.0487	-0.0836	0.1377	-0.0003385938748868999	-0.000307177948351002	-0.0007487462491055673	1.05539429	57.62094498	1.02087611	0.08308470904936627	0.00676823	0.00083
-0.0463	-0.0583	0.0597	-0.00039095375244672985	-0.0005288347633542819	-0.0007347836150896127	1.15455377	63.03472137	1.04813013	0.1200989663289532	0.00745261	0.0014
-0.0551	0.0233	0.0998	7.504915783575618e-05	-0.00040840704496667313	-0.0007679448708775049	1.13857877	62.16253662	1.04604095	0.16147959422289934	0.00740641	0.00107
-0.0508	-0.0502	0.0897	-0.0003595378259108319	-0.0003159045946109737	-0.0006387905062299246	1.03930831	56.74271011	1.01387914	0.1207121899374934	0.00634873	0.00053
-0.0417	-0.0341	0.0041	-0.000778416846389471	-3.665191429188092e-05	-0.0005585053606381855	1.13339376	61.87945175	1.04462616	0.14972084231947352	0.00672299	0.00093
-0.0525	0.0578	0.0087	-3.316125578789226e-05	0.00027576202181510406	-0.00037350045992678646	1.06209159	57.98659897	1.02471893	0.1694337213709981	0.00655556	0.00096
-0.053	-0.0118	0.0054	-0.00042935099599060504	0.0003612831551628262	-0.0003193952531149623	1.04227328	56.90458298	1.02319612	0.10019080401811296	0.00622553	0.00085
-0.0325	-0.0036	-0.0608	-0.0009756390518648303	0.0006283185307179585	-0.0005166174585903216	1.12638223	61.4966507	1.04414545	0.1454272818452358	0.00851607	0.00196
-0.0333	0.0322	0.0259	-0.0007155849933176752	0.00013264502315156904	-0.000582939970166106	1.16178501	63.42951965	1.07829708	0.16440250388446642	0.00714803	0.00124
-0.0421	-0.0194	0.078	-0.0006318091892219474	0.00010471975511965978	-0.0006038839211900379	1.10681379	60.42827988	1.03845779	0.11913225115757844	0.00618291	0.0007
-0.0412	-0.0488	0.0147	-0.00102799892942466	0.00013788101090755203	-0.000661479786505851	1.07509589	58.69658661	1.01107778	0.11794734306532088	0.00652456	0.00088
-0.0553	-0.0004	0.0874	-0.0001832595714594046	-0.00020420352248333657	-0.0007958701389094143	1.09780908	59.93665314	1.03538995	0.20126071218798533	0.00647986	0.00083
-0.0621	-0.0681	0.0941	-0.0003089232776029963	-0.00018500490071139895	-0.0006544984694978735	1.04153717	56.86439514	1.01779505	0.09551169986635347	0.0068664	0.00097
-0.0424	-0.0403	-0.0362	-0.0008604473212332044	-3.490658503988659e-05	-0.00042760566673861073	1.23600304	67.48157501	1.09423238	0.22422575810304915	0.00847137	0.00227
-0.0417	0.0624	-0.1109	-0.00042236967898262774	-1.7453292519943296e-05	-0.0004433136300065597	1.09077561	59.55264664	1.05145715	0.20166194490192343	0.0102964	0.00462
-0.059	0.1258	-0.0221	0.0007382742735936014	0.0002129301687433082	-0.0005899212871740833	1.16888547	63.81718063	1.08711014	0.24638175355035016	0.00735146	0.00157
-0.0596	0.0773	-0.0115	0.0005026548245743669	0.0003822271061867582	-0.00029496064358704166	1.04262936	56.92402649	1.01402568	0.09469385150248633	0.00668222	0.00128
-0.0607	0.0144	-0.042	-0.0002670353755551324	0.0004799655442984406	-0.00042411500823462205	1.06526983	58.1601181	1.0158714	0.1443291501444381	0.00736547	0.00152
-0.0551	0.0396	0.014	-0.000582939970166106	0.00022165681500327985	-0.0003595378259108319	1.06449258	58.11768341	1.02115079	0.11873952531149624	0.00715721	0.00113
-0.0548	0.0148	0.0951	-0.0001239183768915974	0.0001064650843716541	-0.0003944444109507184	1.09361875	59.70787048	1.03594605	0.13665599544730103	0.0064345	0.00057
-0.0417	-0.0318	-0.0019	-0.000804596785169386	0.0003193952531149623	-0.00039269908169872416	1.1318593	61.795681	1.06092479	0.20146769531365452	0.00694251	0.00106
-0.0417	0.02	0.041	-0.0002844886680750757	0.00011170107212763708	-0.00045553093477052	1.13226318	61.81772614	1.06287018	0.13423170755767158	0.00676882	0.00098
-0.0435	-0.0031	0.1111	0.0001361356816555577	8.726646259971648e-05	-0.000466002910282486	1.08232856	59.091465	1.02631598	0.11777654673852596	0.00641	0.00076
-0.0431	-0.0662	0.0617	-0.0005410520681182421	0.00022689280275926284	-0.0004921828490624009	1.05651891	57.68234634	1.01573956	0.15504970143566307	0.00669974	0.00105
-0.0398	-0.0173	0.0343	-0.0003089232776029963	8.203047484373349e-05	-0.0005969026041820607	1.09817386	59.95656967	1.0375591	0.10368554367752177	0.00770444	0.00144
-0.0483	0.0119	0.1237	0.0004049163864626844	-9.42477796076938e-05	-0.0005480333851262194	1.12419879	61.37743759	1.05123711	0.17404935687864748	0.00792915	0.00121
-0.0627	-0.0299	0.1151	0.0004991641660703782	-4.537856055185256e-05	-0.0004974188368183839	0.99345773	54.23942184	0.98802986	0.07448657734856855	0.00752109	0.00104
-0.053	-0.0467	0.1181	0.0004206243497306334	5.235987755982988e-06	-0.0003665191429188092	0.96032768	52.43063354	0.96914152	0.04250270292735776	0.00697941	0.00099
-0.0579	-0.0409	0.1104	0.0005183627878423159	8.901179185171081e-05	-0.00045902159327450867	0.96058893	52.4448967	0.96955387	0.03210083462815549	0.00710422	0.00085
