trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.013953	0.01193
-0.0056	-0.0142	0.083	0.0002129301687433082	-8.901179185171081e-05	-0.00010297442586766544	1.14873827	43.21229935	1.0950524	0.12304581932313421	0.0138464	0.01037
-0.0111	-0.0751	0.0219	-0.00014486232791552936	6.981317007977319e-05	-4.363323129985824e-05	1.09221661	41.08611298	1.06334233	0.15629793265790645	0.013243	0.00943
-0.0076	-0.0247	-0.0036	-0.00010297442586766544	-7.330382858376184e-05	-6.981317007977319e-05	1.1030432	41.49337769	1.06662597	0.08995924197456567	0.0135722	0.01006
-0.0132	-0.019	0.0785	0.00042236967898262774	-0.00010471975511965978	-0.00018500490071139895	1.13972831	42.87337112	1.07713032	0.12699758810089085	0.0130746	0.00903
-0.0104	-0.1088	0.0534	8.203047484373349e-05	-8.726646259971648e-05	-0.00016231562043547262	1.07777178	40.54273987	1.05735626	0.1367240888467382	0.0129451	0.00871
-0.011	-0.0925	-0.0249	-0.0002199114857512855	-9.42477796076938e-05	-0.00018151424220741024	1.1072973	41.65340805	1.06588832	0.11160609496874672	0.0125378	0.00941
-0.0153	-0.0492	0.0678	0.00016929693744344995	-0.00022863813201125715	-0.0003351032163829112	1.15812945	43.56556702	1.09294131	0.17415938748869	0.0129516	0.0086
-0.023	-0.1182	0.0954	-4.886921905584123e-05	-0.00021467549799530252	-0.0004310963252425994	1.06124365	39.92099762	1.04810682	0.1207060949687467	0.0123766	0.00684
-0.0203	-0.1547	0.0144	-0.00038571776469074686	-0.00020769418098732522	-0.0004136430327226561	1.11328113	41.87850189	1.07029686	0.13826415775814133	0.0124093	0.00731
-0.0243	-0.1013	0.0375	-0.00012217304763960306	-0.0004049163864626844	-0.0005340707511102648	1.10760713	41.66506195	1.07552931	0.10955973204570559	0.012275	0.00766
-0.0325	-0.1205	0.1161	0.00019896753472735358	-0.0004956735075663896	-0.0007016223593017205	1.12635517	42.37030792	1.07759993	0.13497246558310588	0.0121794	0.00549
-0.0332	-0.2058	0.0963	-0.000291469985083053	-0.0004258603374866164	-0.0007068583470577034	1.04396689	39.27109528	1.0356877	0.13407433388230813	0.0118211	0.00508
-0.0291	-0.1948	0.0079	-0.0005759586531581287	-0.0004363323129985824	-0.0007208209810736582	1.11144209	41.80932236	1.06257563	0.11894616388014984	0.0120353	0.00616
-0.033	-0.136	0.0983	-0.00016231562043547262	-0.0005637413483941684	-0.0007347836150896127	1.16054487	43.65642929	1.09680848	0.18085073510670976	0.0119651	0.00549
