trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0157561	0.00064
-0.0022	-0.004	-0.035	-1.0471975511965975e-05	-5.235987755982988e-06	-0.00011170107212763708	1.0776881	74.72182465	0.99649241	0.047570451769779296	0.0172846	0.00093
-0.0221	-0.0041	-0.0089	9.42477796076938e-05	-5.759586531581287e-05	-5.4105206811824215e-05	0.97761953	67.78353882	0.98445549	0.05683377489976513	0.0165661	0.00099
0.0085	-0.0008	-0.0355	-0.00029845130209103034	-8.203047484373349e-05	-0.00017802358370342162	0.98661858	68.40749359	0.99293168	0.08755260340591212	0.0174891	0.00099
-0.0509	-0.0097	-0.0264	0.00011519173063162575	4.18879020478639e-05	-0.00010297442586766544	0.98900002	68.57260895	0.98969074	0.10803052837250048	0.0179986	0.00105
0.0228	0.0051	-0.0175	-0.0003473205211468716	-0.00011170107212763708	-7.504915783575618e-05	0.97767949	67.78769684	0.98158757	0.12960132469929536	0.0167543	0.00087
-0.032	-0.0037	-0.0376	1.5707963267948964e-05	-4.363323129985824e-05	-0.0001884955592153876	0.98401028	68.22664642	0.9872061	0.11092713633111152	0.017654	0.00104
-0.0185	0.0011	-0.0153	-2.96705972839036e-05	-6.632251157578452e-05	-0.00023561944901923448	0.98666483	68.41069794	0.98640912	0.04635958653158129	0.016844	0.00102
-0.0054	0.002	-0.0374	-9.075712110370512e-05	-0.0001064650843716541	-0.00023212879051524583	0.96683508	67.03579712	0.97989917	0.04133598775598298	0.017647	0.00103
-0.058	0.0031	-0.0303	0.00027750735106709843	-4.537856055185256e-05	-6.108652381980153e-05	0.97265422	67.43927002	0.9838982	0.09081966313430247	0.017301	0.00106
0.0106	0.0125	-0.0294	-0.0002722713633111154	-0.0002495820830351891	-0.00032637657012293966	1.00295365	69.54009247	0.9983946	0.12986361415823444	0.017182	0.00091
-0.0405	0.0069	-0.0414	-0.000317649923862968	-0.0001937315469713706	-0.0004572762640225143	0.99575162	69.04073334	0.99777087	0.08030643952576227	0.0178494	0.0011
-0.0537	0.0039	-0.0129	1.3962634015954635e-05	-0.00015707963267948963	-0.00037524578917878077	0.9904418	68.6725769	0.99353274	0.06721474735072686	0.0174997	0.00101
-0.0041	0.0221	-0.03	-0.0005969026041820607	-0.00030368728984701333	-0.0006178465552059926	1.00823331	69.90615845	1.00082637	0.13490368306963754	0.0177929	0.00094
-0.0788	0.0177	-0.0399	-0.00019198621771937622	-0.0001675516081914556	-0.0005393067388662478	1.00549245	69.71611786	0.99728667	0.11997959422289936	0.0172587	0.00089
-0.0338	0.0195	0.0096	-0.0004677482395344803	-0.00027576202181510406	-0.0005427973973702365	1.13281631	78.54415894	1.00648044	0.11567315469713704	0.0157505	0.00057
-0.0036	0.0272	-0.0024	-0.0009354964790689606	-0.00042760566673861073	-0.0008168140899333463	1.10507333	76.62059021	0.99620242	0.09458042885105485	0.015781	0.00079
-0.0855	0.0191	0.0036	-0.0005218534463463045	-0.000317649923862968	-0.0008220500776893293	1.04784775	72.65283203	0.99007163	0.12244173816771407	0.0158229	0.00079
-0.041	0.0286	0.0179	-0.0007208209810736582	-0.00029321531433504735	-0.0007452555906015787	1.08686852	75.35835266	1.00206549	0.08330983156715124	0.0139401	0.00039
-0.0244	0.0394	-0.0263	-0.0008621926504851988	-0.0003193952531149623	-0.0008395033702092724	1.13944447	79.00372314	1.00605493	0.08468996938995747	0.0165737	0.00087
-0.0852	0.0338	-0.0098	-0.0001937315469713706	-0.0003054326190990077	-0.0006789330790257941	1.00388789	69.60486603	0.99867707	0.12504970143566305	0.0173969	0.00108
-0.0299	0.0367	0.0128	-0.0005567600313861911	-0.00037350045992678646	-0.0006789330790257941	1.14749265	79.56174469	1.00784245	0.10235481626212996	0.0143116	0.00043
-0.0248	0.0392	-0.0328	-0.000757472895365539	-0.00031415926535897925	-0.0007958701389094143	1.14617527	79.47040558	1.00850712	0.07204955592153876	0.0170336	0.00092
-0.0912	0.0292	-0.005	-0.0003159045946109737	-0.00030368728984701333	-0.0007504915783575615	1.01006889	70.03342438	0.99664554	0.1290709418409192	0.0159751	0.00081
-0.0234	0.044	-0.0239	-0.0007347836150896127	-0.0003944444109507184	-0.0008168140899333463	1.00811064	69.89765167	0.99335221	0.13029793265790643	0.0164846	0.00083
-0.0574	0.0334	-0.0323	-0.000609119908946021	-0.000317649923862968	-0.0009075712110370514	0.99656785	69.09732819	0.99047473	0.06766076571675236	0.0170713	0.00091
-0.0767	0.0304	0.0056	-0.00038397243543875244	-0.00034557519189487725	-0.0008621926504851988	1.08696556	75.36508179	1.00130786	0.07512256510455152	0.0148708	0.00054
-0.0343	0.041	-0.0069	-0.0006806784082777885	-0.0005270894341022875	-0.0009337511498169664	1.06242073	73.66325378	0.98473454	0.0929889357189107	0.0160741	0.00078
-0.1063	0.029	-0.0039	-0.00017802358370342162	-0.00034033920413889426	-0.0010210176124166828	0.99233335	68.8037262	0.98628788	0.12583357585687385	0.016156	0.00089
-0.0503	0.0358	0.0061	-0.0005096361415823442	-0.0006963863715457374	-0.0011187560505283654	1.06372344	73.75357819	0.99319135	0.1120699081698724	0.0151276	0.0006
-0.068	0.0342	-0.0159	-0.0005759586531581287	-0.0005602506898901797	-0.0010681415022205296	1.08399093	75.15883636	0.99310021	0.05395363707695891	0.0167748	0.00084
-0.11	0.0317	0.0073	-0.0002617993877991494	-0.00041189770347066176	-0.0009773843811168245	1.12060916	77.69776917	1.00156017	0.09536346864411013	0.0145668	0.00043
-0.0223	0.045	-0.0036	-0.0007016223593017205	-0.0004363323129985824	-0.0007923794804054256	1.08511913	75.23705292	0.99245116	0.1443631240870945	0.0161169	0.0009
-0.0859	0.0341	-0.0145	-0.0006771877497737998	-0.0003106686068549907	-0.0007417649320975902	1.03086615	71.47541046	0.99839364	0.0954356431989674	0.0164309	0.0009
-0.047	0.049	-0.0021	-0.0006038839211900379	-0.00021118483949131387	-0.0003892084231947355	1.06275475	73.68641663	1.02349603	0.09246720524251469	0.0162235	0.00095
0.0031	0.0691	-0.0864	-0.0014451326206513049	-0.0002513274122871834	-0.0005759586531581287	1.08911884	75.51437378	1.04337164	0.20790707511102643	0.0199901	0.0013
-0.1805	0.0527	-0.0595	-0.0004625122517784973	-4.0142572795869576e-05	-0.000661479786505851	1.16694486	80.91046906	1.07715345	0.2908663170855922	0.0192297	0.0017
-0.0936	0.0628	-0.0512	-0.0006579891280018621	-0.0001256637061435917	-0.000804596785169386	1.16369534	80.68515778	1.08877432	0.12650575041173107	0.0183163	0.0013
-0.0233	0.0818	-0.1233	-0.001308996938995747	-0.0002600540585471551	-0.0008237954069413235	1.12799013	78.20952606	1.06398758	0.20162983925846928	0.0215013	0.00171
-0.1743	0.0528	-0.047	-0.00046949356878647465	7.853981633974481e-05	-0.0006824237375297829	1.09435594	75.87749481	1.04372643	0.3222734457253857	0.0175884	0.00104
-0.0839	0.07	-0.0046	-0.0006562437987498679	-0.00018500490071139895	-0.0005637413483941684	1.05738688	73.31423187	1.02192286	0.1784488668075076	0.0161306	0.00088
0.0325	0.0913	-0.1124	-0.0014189526818713899	-0.0005061454830783556	-0.0007155849933176752	1.13386691	78.61699677	1.05954601	0.3072846555205993	0.0218115	0.00163
-0.0968	0.0649	-0.083	-0.0010768681484805013	-0.0001658062789394613	-0.0006789330790257941	1.09805822	76.13419342	1.04093024	0.22105378259108316	0.0196292	0.00125
-0.117	0.0663	0.0151	-0.0008848819307611251	-0.0001972222054753592	-0.00041015237421866745	1.20486534	83.53969574	1.05996376	0.14430914245312004	0.014249	0.00048
0.0351	0.0966	-0.0986	-0.0014259339988793671	-0.0005096361415823442	-0.0005637413483941684	1.26323378	87.58668518	1.08585791	0.34645274892003647	0.0208488	0.00156
-0.0794	0.0792	-0.0827	-0.0008918632477691023	-0.00013788101090755203	-0.0004485496177625427	1.11106777	77.03621674	1.0569881	0.19885088062083411	0.0206587	0.0017
-0.1244	0.0831	0.0216	-0.0007417649320975902	-0.000158824961931484	-0.000153588974175501	1.2266897	85.05289459	1.06545662	0.17650014551412427	0.0138943	0.00025
0.014	0.1179	-0.062	-0.0015166911199830724	-0.0005148721293383271	-0.00030368728984701333	1.24738729	86.48796844	1.07287003	0.3208535835481919	0.020036	0.00146
-0.0732	0.0926	-0.0724	-0.0010663961729685354	-0.0003577924966588376	-0.00032463124087094524	1.08392692	75.15439606	1.0381584	0.1543159265358979	0.020074	0.00136
-0.1643	0.0665	0.0096	-0.00013439035240356338	-0.00030194196059501896	-0.00029496064358704166	1.23245311	85.45249939	1.0673891	0.2500763476956347	0.0148437	0.00039
-0.08	0.0627	0.0303	-0.000158824961931484	-0.000466002910282486	-0.0003001966313430247	0.99007517	68.64715576	0.99075177	0.11848657734856852	0.0138504	0.00036
-0.0428	0.0594	0.0486	-0.0001239183768915974	-0.0006475171524898963	-0.00035081117965086024	0.96096969	66.62911987	0.97613844	0.07215176877775664	0.0144759	0.00039
-0.0242	0.0561	0.0652	-3.141592653589793e-05	-0.0007609635538695277	-0.00034557519189487725	0.95653623	66.32172394	0.97575364	0.04905924197456569	0.0138512	0.00047
-0.0116	0.0526	0.0682	-8.37758040957278e-05	-0.0006492624817418905	-0.0003089232776029963	0.95930099	66.5134201	0.97749421	0.029135643198967404	0.0143263	0.00036
-0.0181	0.0466	0.0687	4.886921905584123e-05	-0.0007295476273336296	-0.0003525565089028545	0.96038222	66.58838654	0.97576852	0.02582817000215832	0.0138553	0.00035
-0.0259	0.048	0.0821	-9.948376736367679e-05	-0.0007173303225696694	-0.00021467549799530252	0.94995189	65.86519623	0.96828978	0.03752256510455152	0.0133108	0.0003
-0.0484	0.0495	0.08	-0.00014486232791552936	-0.0006946410422937432	-0.00020594885173533088	0.95529228	66.23547363	0.96856663	0.029939724354387527	0.0133331	0.00033
-0.0613	0.0546	0.0815	-0.00021642082724729686	-0.0007155849933176752	-0.00024085543677521747	0.9558813	66.27631378	0.96951577	0.025870451769779305	0.013124	0.00039
-0.081	0.0597	0.0796	-0.0002443460952792061	-0.0006998770300497262	-0.00020769418098732522	0.95991534	66.55601501	0.97594996	0.030539724354387527	0.0130029	0.00039
-0.0823	0.0944	-0.1001	-0.0010402162341886204	-0.0005375614096142535	0.0008569566627292158	1.21813023	84.45941925	1.08788101	0.31684183015307144	0.0196578	0.00116
0.0211	0.0993	0.0244	-0.001410226035611418	-0.0002600540585471551	0.00020769418098732522	1.22081554	84.64560699	1.07245065	0.29763898171158926	0.0142988	0.00044
