trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0119982	0.00519
-0.0424	0.0084	-0.011	-0.00017802358370342162	3.316125578789226e-05	0.0001064650843716541	1.1057502	44.24601364	1.04006691	0.0776824961931484	0.0117218	0.00303
0.0377	-0.0197	-0.0225	-0.0007382742735936014	-0.00028274333882308137	7.155849933176751e-05	1.03899372	41.57478714	1.02289736	0.165253093477052	0.011234	0.00201
-0.0717	-0.0475	0.0017	-0.0003665191429188092	-0.0002722713633111154	0.00022165681500327985	1.05772364	42.32425308	1.02290139	0.18801627109291352	0.011194	0.00258
-0.06	-0.0621	0.0082	-8.028514559173915e-05	-0.0001291543646475804	0.0005585053606381855	1.10557771	44.23910904	1.03435356	0.07110997708127553	0.0128163	0.00513
0.0339	-0.057	0.0163	-0.0005707226654021458	3.490658503988659e-05	0.0007138396640656808	1.12183416	44.88960266	1.03345048	0.14759163864626842	0.0135423	0.00564
-0.0561	-0.0603	0.0111	-0.00048520153205442357	-0.00014486232791552936	0.0002129301687433082	1.03383827	41.36849594	1.01974044	0.1368099770812755	0.0127134	0.00468
-0.0663	-0.0652	0.0159	-5.061454830783555e-05	-0.00010471975511965978	0.00027925268031909274	1.08794987	43.533741	1.00122306	0.046952603405912105	0.0132928	0.00397
0.0218	-0.0576	-0.0272	-0.0004206243497306334	-0.0004363323129985824	0.00017802358370342162	1.16260064	46.52085114	1.02575426	0.17894257279586956	0.0118272	0.00317
-0.0418	-0.0672	-0.0103	-0.0005794493116621174	-0.0002373647782712288	0.00013264502315156904	1.05098724	42.05470276	1.0259633	0.1102585528605345	0.0113993	0.00188
-0.0809	-0.0795	0.0072	-0.00023387411976724014	-0.00010471975511965978	7.853981633974481e-05	1.05999076	42.4149704	1.01030604	0.09551627109291357	0.0107761	0.00155
-0.0087	-0.0805	-0.002	-0.0005393067388662478	-0.00040317105721069014	-4.886921905584123e-05	1.05817282	42.34222794	1.01013633	0.1189646478292812	0.0116664	0.00219
-0.0545	-0.0949	-0.029	-8.901179185171081e-05	-0.00035081117965086024	-0.00011519173063162575	1.04654789	41.87706375	1.02107142	0.11564886680750756	0.00930113	0.00222
-0.0698	-0.0934	-0.0106	-3.665191429188092e-05	-0.0003106686068549907	-0.00014660765716752367	1.01196504	40.49324799	0.99884209	0.04139591884457986	0.00873846	0.00163
0.0022	-0.0847	-0.0515	-0.00023561944901923448	-0.0007068583470577034	-0.00034033920413889426	1.05416727	42.18194962	1.01483907	0.16104444109507182	0.00960648	0.00156
-0.0395	-0.0827	-0.093	-0.0006126105674500097	-0.0008098327729253688	-0.0003159045946109737	1.0689764	42.7745285	1.02906307	0.11042000769131805	0.00989348	0.00118
-0.1567	-0.1012	-0.0327	-6.632251157578452e-05	-0.0004258603374866164	-0.00028623399732707005	1.09399974	43.7758255	1.0313853	0.243996554429844	0.00804257	0.0009
-0.1282	-0.1072	0.0132	-0.0001012290966156711	-0.0004921828490624009	-0.00035430183815484887	1.07837903	43.15076828	0.99746283	0.08886484687217251	0.00920117	0.00093
-0.045	-0.0983	-0.023	-0.0006126105674500097	-0.0006073745796940267	-0.0004258603374866164	1.1527791	46.12784958	1.0098134	0.16320658503988664	0.0106714	0.00098
-0.0798	-0.0912	-0.041	-0.0007714355293814937	-0.000900589894029074	-0.0006492624817418905	1.0415585	41.67741394	1.01746439	0.0936721210260903	0.00959551	0.00055
-0.1572	-0.1017	-0.0037	5.93411945678072e-05	-0.0008290313946973065	-0.0008220500776893293	1.06540406	42.63158035	1.0007676	0.17895614096142537	0.00779045	0.00064
-0.0784	-0.11	0.0051	-5.4105206811824215e-05	-0.0007120943348136865	-0.0006579891280018621	1.03678668	41.48647308	1.00548902	0.11562222054753592	0.0107532	0.00123
-0.0061	-0.0872	-0.0615	-0.000726056968829641	-0.0009529497715889039	-0.0006806784082777885	1.13795257	45.5345726	1.03676846	0.20847482395344805	0.00945717	0.00104
-0.0965	-0.097	-0.0671	-0.00039269908169872416	-0.0009372418083209549	-0.0008639379797371932	1.05302715	42.13632584	1.02524003	0.13241627109291354	0.00796521	0.00041
-0.1421	-0.0997	-0.0394	0.0002129301687433082	-0.0008779006137531476	-0.0009843656981248017	1.02410221	40.97891235	1.00394717	0.11526990816987243	0.00731301	0.00035
-0.0575	-0.0938	-0.0519	-0.0004572762640225143	-0.0009616764178488756	-0.0009529497715889039	1.04570615	41.84337997	1.01404648	0.14226990816987242	0.00897479	0.00036
-0.0844	-0.0888	-0.096	-0.000635299847725936	-0.001048942880448592	-0.00119729586686811	1.04969716	42.00307846	1.01736213	0.1014818070791172	0.00839889	0.00056
-0.177	-0.1015	-0.0459	2.6179938779914945e-05	-0.0008464846872172499	-0.001403244718603441	1.06284034	42.52899551	1.02274525	0.20889434157362616	0.00750172	0.00035
-0.1069	-0.093	-0.0328	-0.000312413936106985	-0.0010384709049366262	-0.001452113937659282	1.0414871	41.67455673	1.01303413	0.12067246558310586	0.00865865	0.00071
