trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0124615	0.01328
0.0258	-0.0076	-0.0203	0.000158824961931484	0.00010471975511965978	0.00013788101090755203	1.18724179	40.07060242	1.14677686	0.07377128639793479	0.0101702	0.00469
-0.0147	-0.0007	-0.0244	-2.094395102393195e-05	6.806784082777885e-05	0.00011344640137963142	1.08251798	36.53606796	1.0716469	0.06354277183876088	0.0101056	0.00394
0.0023	-0.002	-0.0718	0.000158824961931484	0.00022689280275926284	0.00017104226669544429	1.08321273	36.55951691	1.07719252	0.08550948701013564	0.0100205	0.00309
0.0365	0.0065	-0.1101	0.0002740166925631097	2.4434609527920616e-05	0.00014660765716752367	1.06780195	36.03938675	1.06211341	0.09810422666954442	0.0103155	0.00259
-0.0243	0.0068	-0.0912	0.0005218534463463045	5.061454830783555e-05	4.886921905584123e-05	1.15260756	38.90166092	1.1307608	0.0985877565337396	0.0112674	0.00418
-0.0941	0.0115	-0.105	0.00039269908169872416	0.00039095375244672985	-0.00029321531433504735	1.16261327	39.23936462	1.13947011	0.12887890510886815	0.00955045	0.00269
0.0251	-0.0027	-0.14	0.000726056968829641	0.00041713369122664475	4.363323129985824e-05	1.10370326	37.251091	1.09803276	0.20321931857728687	0.00962555	0.00214
0.0527	-0.0022	-0.1381	0.0006213372137099814	0.0002478367537831948	0.00019896753472735358	1.050493	35.45519257	1.04652738	0.051467549799530256	0.00954974	0.00217
-0.0087	0.0009	-0.121	0.0002670353755551324	0.00017104226669544429	0.0001256637061435917	1.07031524	36.12421417	1.06172771	0.10682000769131808	0.00989187	0.00258
0.0138	-0.0125	-0.1233	0.0005724679946541401	0.00017104226669544429	0.00016231562043547262	1.09222138	36.86356735	1.0643644	0.05530422666954444	0.0100825	0.00261
0.0071	-0.0048	-0.1306	0.0006579891280018621	-1.7453292519943294e-06	7.330382858376184e-05	1.07407069	36.25096512	1.04970915	0.03906602605734357	0.00915682	0.00204
-0.0451	0.0199	-0.0991	-0.00038397243543875244	0.00018675022996339323	-5.585053606381854e-05	1.06157541	35.82923508	1.06031372	0.17638057436517912	0.00975442	0.00284
0.0062	0.0053	-0.1523	6.45771823237902e-05	0.00023561944901923448	8.028514559173915e-05	1.07943213	36.4319191	1.07423539	0.1507777259236971	0.0105302	0.0027
-0.122	0.0375	-0.1497	0.0005201081170943102	0.0008185594191853405	-0.0007731808586334879	1.17936647	39.80480194	1.16035143	0.25759684545809264	0.0131028	0.00496
-0.1429	0.0098	-0.1139	-0.000153588974175501	0.0008988445647770796	-0.0009459684545809266	1.13978755	38.46897507	1.12896154	0.13073849164044943	0.0115011	0.00347
-0.0959	-0.0052	-0.1192	-0.00014660765716752367	0.000783652834145454	-0.000609119908946021	1.08311057	36.55606842	1.07732638	0.09025107966372542	0.0104034	0.00267
-0.1153	-0.0068	-0.1278	-0.000296705972839036	0.000614355896702004	-0.0007661995416255106	1.06763673	36.03380966	1.06135799	0.0534237442897226	0.0100111	0.00253
