trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0110717	0.00242
-0.0069	-0.0019	0.0152	-2.96705972839036e-05	-2.268928027592628e-05	6.632251157578452e-05	1.0730865	65.94100952	1.04382083	0.02993411945678072	0.0114065	0.00175
-0.0312	-0.0053	-0.0004	-0.00037350045992678646	7.504915783575618e-05	0.00019896753472735358	1.1202774	68.84088135	1.05198499	0.07201066619530672	0.00963968	0.00096
0.0156	-0.0151	0.0271	-0.0003874630939427412	-8.901179185171081e-05	-0.0001972222054753592	1.13049972	69.46904755	1.06338578	0.11281066619530672	0.0114387	0.00184
-0.0037	-0.0139	0.0477	-0.0005009094953223725	-6.632251157578452e-05	-0.00020594885173533088	1.04159617	64.00593567	1.03479415	0.04834311639577646	0.0112933	0.00169
-0.0135	-0.0115	0.0412	-0.0005393067388662478	-9.599310885968811e-05	-0.00019024088846738194	1.02955127	63.26577377	1.02467791	0.02288879020478639	0.010774	0.00163
-0.045	-0.0067	0.0241	-0.0006806784082777885	1.0471975511965975e-05	5.759586531581287e-05	1.09387469	67.21844482	1.0523851	0.0781836753783195	0.00965607	0.00105
0.0098	-0.0201	0.0529	-0.0007138396640656808	-4.71238898038469e-05	7.155849933176751e-05	1.12002206	68.82519531	1.07380155	0.10223598775598298	0.0113574	0.00173
0.0048	-0.0189	0.0802	-0.0007696902001294993	-8.901179185171081e-05	-4.537856055185256e-05	1.04327428	64.10905457	1.03653883	0.04423377489976511	0.0118052	0.00182
-0.0227	-0.0153	0.073	-0.0009040805525330626	-7.67944870877505e-05	-5.235987755982988e-06	1.02147722	62.76963043	1.01996151	0.04763751149816966	0.0107785	0.00157
-0.0169	-0.0099	0.0432	-0.0011082840750163993	-5.235987755982988e-06	5.235987755982989e-05	1.07036817	65.77397156	1.04704701	0.057667894356545846	0.00966913	0.00107
-0.0174	0.0015	0.0475	-0.0006300638599699529	-0.0	-0.000312413936106985	1.0948962	67.28121185	1.07144877	0.058611500823462205	0.0112273	0.00211
-0.069	-0.0172	0.0659	-0.0008342673824532895	0.0003159045946109737	-8.901179185171081e-05	1.06830454	65.64716339	1.06493052	0.12587551306747924	0.0105726	0.00179
-0.0105	-0.0297	0.0904	-0.0009459684545809266	6.283185307179586e-05	-0.00042411500823462205	1.0202502	62.69422531	1.02311556	0.13049385150248632	0.011129	0.00183
-0.0462	-0.0278	0.0987	-0.0011711159280881952	-0.0001012290966156711	-0.00034557519189487725	1.01828837	62.57367706	1.02022995	0.06928741197672403	0.0113484	0.00174
-0.0434	-0.0345	0.097	-0.0014364059743913332	-1.7453292519943294e-06	-0.00019547687622336493	1.03482211	63.58967209	1.03168659	0.03694360646691634	0.0115943	0.002
-0.014	-0.0367	0.1201	-0.0013945180723434693	-4.71238898038469e-05	-0.00022689280275926284	1.03902102	63.84769058	1.03553736	0.06063411945678072	0.0125537	0.00251
-0.045	-0.0315	0.1155	-0.0014974924982111347	3.839724354387525e-05	-2.96705972839036e-05	1.02732432	63.12893295	1.02483136	0.06008588823453734	0.0123172	0.00256
-0.0191	-0.038	0.105	-0.0014067353771074296	4.0142572795869576e-05	-0.0002443460952792061	1.02600443	63.04782486	1.02602545	0.058258897417550096	0.0120118	0.00215
-0.0339	-0.0281	0.1271	-0.001085594794740473	0.0001884955592153876	-0.0006422811647339132	1.04403281	64.15566254	1.04238029	0.09017143191205908	0.0119975	0.00193
-0.0496	-0.0181	0.1049	-0.0009162978572970229	0.00024085543677521747	-0.00048345620280242926	1.036116	63.66918182	1.03353483	0.06692408884673819	0.0112664	0.00175
-0.0344	-0.0115	0.0625	-0.0009372418083209549	0.00022689280275926284	-0.0005148721293383271	1.03753269	63.75623703	1.03450499	0.06751612557878922	0.0105566	0.00142
-0.0877	-0.0101	0.0794	-0.0004433136300065597	-0.00021118483949131387	-0.000593411945678072	1.08700287	66.7961731	1.07743708	0.12212728184523584	0.013236	0.00205
-0.0932	0.0042	0.0494	-0.00035081117965086024	-0.00042935099599060504	-0.0005270894341022875	1.08023477	66.38027191	1.07001337	0.06864955592153876	0.0110198	0.00151
-0.0659	0.0098	0.009	-0.00019198621771937622	-0.00041189770347066176	-0.0003787364476827695	1.09766209	67.4511795	1.06274541	0.08953156204354726	0.0102704	0.00112
-0.0762	0.0142	-0.0019	-0.000153588974175501	-0.00037524578917878077	-0.00023212879051524583	1.08247435	66.51789093	1.05458687	0.036682840750164	0.00912189	0.00082
-0.0757	0.0157	0.0137	5.235987755982989e-05	-0.0003595378259108319	-0.0002181661564992912	1.11113989	68.27938843	1.05961431	0.029380972450961718	0.0106828	0.00164
-0.058	0.0285	-0.0351	0.00024609142453120044	-0.00045902159327450867	-0.00040317105721069014	1.1205467	68.8574295	1.0635525	0.1032110107523223	0.00895184	0.00085
-0.1039	0.0338	-0.052	0.00015184364492350666	-0.0005026548245743669	-0.00046425758103049166	1.02360606	62.90044403	1.02071736	0.07804837673636766	0.00901866	0.00088
-0.1174	0.0301	-0.0509	0.00011693705988362007	-0.0006003932626860494	-0.0003351032163829112	1.01433444	62.33070755	1.01377233	0.03138996938995747	0.00913054	0.00097
-0.126	0.0268	-0.0492	6.283185307179586e-05	-0.0006422811647339132	-0.00028274333882308137	1.02446592	62.9532814	1.02157265	0.021017649320975884	0.00890893	0.00068
-0.1128	0.0382	-0.0817	0.00027576202181510406	-0.0006108652381980154	-0.0002181661564992912	1.01640868	62.45816803	1.01612867	0.07254616388014981	0.00913876	0.00094
-0.146	0.0225	-0.0661	0.0009896016858807848	-0.0007976154681614085	-0.00021642082724729686	1.03206956	63.42052841	1.02724081	0.10961676116405336	0.0102415	0.00144
-0.1256	0.0229	-0.0679	0.0005672320068981572	-0.0007330382858376184	-0.0002303834612632515	1.0428071	64.08034515	1.0339017	0.047645474766118606	0.0099411	0.00118
-0.1191	0.0198	-0.0752	0.0007295476273336296	-0.0007208209810736582	-0.00031415926535897925	1.0362817	63.67936325	1.02818641	0.029815436464758007	0.00986326	0.00132
-0.1284	0.0231	-0.0789	0.0008063421144213803	-0.0009808750396208131	-0.000153588974175501	1.02316594	62.87340164	1.0191651	0.04117094184091917	0.0103745	0.00135
-0.1311	0.0288	-0.0905	0.0008639379797371932	-0.0010070549784007281	-5.759586531581287e-05	1.02194262	62.7982254	1.0188566	0.028988445647770807	0.0101707	0.00139
-0.1111	0.0412	-0.1372	0.0008569566627292158	-0.0007976154681614085	-0.00010995574287564276	1.04474938	64.1996994	1.03860186	0.09253903524035632	0.0101169	0.00203
-0.1082	0.0227	0.0245	-0.0016126842288427606	-3.141592653589793e-05	0.0006492624817418905	1.23585045	75.94283295	1.19184077	0.38285293289075106	0.0090875	0.00121
-0.0476	0.0083	-0.045	-0.0011746065865921838	0.0003525565089028545	6.632251157578452e-05	1.08289409	66.54368591	1.06441455	0.21474950239277177	0.00914669	0.00073
-0.0825	0.0262	-0.0465	-0.0014416419621473165	0.00012740903539558605	-0.000322885911618951	1.03030813	63.31228638	1.02426904	0.09836956361285681	0.00827032	0.00074
-0.0808	0.0327	-0.0425	-0.001296779634231787	0.0002530727415391778	-0.0002740166925631097	1.02015936	62.68864822	1.01486757	0.028169762655748127	0.00830972	0.00062
-0.1196	0.0387	-0.0504	-0.0016423548261266642	0.0001291543646475804	-0.00046425758103049166	1.02008283	62.6839447	1.01458483	0.08568672286269283	0.0084303	0.00067
-0.116	0.0401	-0.0321	-0.0015254177662430443	0.00011344640137963142	-0.0004974188368183839	0.99567372	61.18400574	0.99664974	0.03159031394697305	0.00793254	0.00068
-0.1331	0.0372	-0.0372	-0.0017016960206944712	0.00010821041362364843	-0.0004956735075663896	0.9986527	61.36706543	0.99932399	0.034262978572970205	0.00823385	0.00057
-0.1062	0.0361	-0.0433	-0.001356120828799594	0.0003211405823669566	-0.00048171087355043494	1.02157903	62.77588272	1.01444324	0.06272339973270699	0.00860548	0.00061
-0.1222	0.0413	-0.0395	-0.0009285151620609833	0.0004572762640225143	-0.0005619960191421741	1.01699257	62.49404526	1.01368818	0.057201324699295376	0.00883579	0.00091
-0.1197	0.0479	-0.0303	-0.000973893722612836	0.0004939281783143952	-0.0006475171524898963	1.02299845	62.86310959	1.01258944	0.02667758040957278	0.00805581	0.00067
-0.1075	0.0584	-0.0731	-0.00042236967898262774	0.0002705260340591211	-0.0005253441048502931	1.02427173	62.94134903	1.01881766	0.11035496177625428	0.0089184	0.00082
-0.1385	0.0607	-0.0703	-0.00011519173063162575	-0.00017802358370342162	-0.00039793506945470715	1.03388977	63.53237534	1.02988342	0.08025683007545653	0.0102486	0.00094
-0.1274	0.0714	-0.0658	-2.4434609527920616e-05	-0.00020420352248333657	-0.0004729842272904633	1.02394998	62.92158127	1.02065211	0.03589931088596881	0.0087502	0.00082
-0.1175	0.0756	-0.0912	0.0002007128639793479	-0.0002740166925631097	-0.0004520402762665313	1.00793958	61.93774414	1.00760557	0.0552952297305487	0.00884783	0.00082
-0.1451	0.0536	-0.0672	-0.0010367255756846318	0.0005183627878423159	-0.0004956735075663896	1.04638934	64.30047607	1.03952128	0.1772725575684632	0.00829589	0.00074
-0.0993	0.0393	-0.0938	-0.0005951572749300663	0.00038571776469074686	-0.0007696902001294993	1.04770315	64.38121033	1.03966842	0.12911150082346223	0.00905204	0.0008
-0.0905	0.0532	-0.1228	-0.0005218534463463045	0.0004625122517784973	-0.0006789330790257941	1.02918065	63.24300385	1.02415923	0.06374277183876088	0.00849575	0.00079
-0.1199	0.0434	-0.1217	-0.0006754424205218055	0.0007819075048934597	-0.0003298672286269283	1.012357	62.20919418	1.00881804	0.08140250388446646	0.0087055	0.00076
-0.134	0.0431	-0.0914	-0.001410226035611418	0.0002495820830351891	-0.0010978120995044332	1.02902579	63.23348999	1.02178778	0.14645269539126943	0.0083859	0.00067
-0.1476	0.0419	-0.0819	-0.001329940890019679	0.00034033920413889426	-0.0009337511498169664	0.98988169	60.82808685	0.99082642	0.04105516081914555	0.0081225	0.00062
-0.1427	0.0419	-0.0728	-0.0012636183784438947	0.0004049163864626844	-0.0009913470151327792	0.9928326	61.00941849	0.99451366	0.02342477796076937	0.00793481	0.00064
-0.1452	0.0383	-0.0729	-0.0015882496193148398	0.0004537856055185257	-0.0007801621756414653	1.00250697	61.60390854	1.0015641	0.035434264970905016	0.00822514	0.00062
-0.1145	0.0363	-0.0408	-0.001481784534943186	0.0003298672286269283	-0.000895353906273091	1.02515101	62.99538422	1.01972703	0.08207875959474385	0.008205	0.00064
-0.1119	0.0425	-0.0442	-0.001408480706359424	-3.839724354387525e-05	-0.000736528944341607	1.01002192	62.06570435	1.00819978	0.04221966313430248	0.00847828	0.00071
-0.1033	0.0452	-0.045	-0.0011327186845443199	-0.0002530727415391778	-0.00034033920413889426	1.02508247	62.99117279	1.02101414	0.05643136300065596	0.00821632	0.00061
