bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-001_ses-001_acq-original_T2w	1.4621870813397126	0.6354837213439726	0.4924	-1.0	2.6259582620212853	2.4894123663582035	2.875912457145565	2.512549962560088	0.2694984615822255	0.3504447649802088	0.3800567734375657	0.989212691783905	0.30046625435352303	0.0	0.0024372147469420204	8.32717452236892	8.161076404546442	8.193369791215254	240	320	320	1.56733552200057	4.934659013689415	4.333967103912009	6.499906776046043	21.81454310625506	17.666246666733247	18.137346577846134	14.931249960550101	0.8006467819213867	0.800000011920929	0.800000011920929	368.182	0.0	7.1466	0.0	6699736.0	0.0	18.0	50.0635	-1.2635	1681.1984	1715.5889	1667.0	786103.2969963178	100.0	3514.0	1063.5878	53.3806	169.6589	1347.4287	1350.0	1022216.5408613646	938.0	1782.0	273.575	111.6423	135.9382	1153.736	1141.0	1108592.163721493	914.0	1422.0	175.5409	0.2129606550193031	0.5110680439759829	0.5286340203002621	0.29711094194916843
sub-001_ses-001_acq-undistorted_T2w	1.5825696832579184	0.6068519858634748	0.4946	4149.4524	2.5170412519938217	2.3979238327701276	2.7521749589893973	2.40102496422194	0.27112525432169876	0.3457106829108676	0.3831640627674336	0.9879907965660095	0.27457833290100087	0.0	0.0021669654703371597	8.341866049811884	8.179822514904398	8.214470704634122	240	320	320	1.4991954451939884	4.380157084509986	4.068974707204258	6.327571591908799	20.24007270151	15.73714722884092	16.387569797115344	13.185489460995106	0.8006467819213867	0.800000011920929	0.800000011920929	321.3389	0.0	7.5445	0.0	6741335.0	0.0	18.0	56.7416	-1.2822	1867.512	1803.4507	1753.0	789367.3511508079	29.0	3760.0	1169.2931	41.8922	210.9492	1360.7077	1363.0	1006519.0227911876	901.0	1859.0	311.1759	124.895	138.7987	1155.5594	1142.0	1115562.6282014875	910.0	1433.0	180.4799	0.21225177692822778	0.501526479047443	0.5225268384843859	0.2847557249347177
sub-001_ses-004_acq-original_T2w	1.539289108910891	0.6131973837707916	0.4902	4567.2771	2.660695793685876	2.5450124620763592	2.8933874568851667	2.543687462096103	0.26715450384256123	0.3504449709092417	0.38240052524819707	0.9667837619781494	0.303679883480072	0.0	0.0025566602564815314	8.359970419003755	8.192256501930107	8.22548183139672	240	320	320	1.6382774742476085	4.786378006141851	4.322669888767019	6.543354185911598	30.056117795111692	23.150863880378278	24.281447015032366	19.63735936960712	0.800000011920929	0.800000011920929	0.800000011920929	551.4402	0.0	5.5702	0.0	6800667.0	0.0	18.0	37.6654	-1.158	1639.5021	1755.779	1728.0	776224.0902440445	113.0	3522.0	1054.7657	54.6031	176.2916	1329.8343	1331.0	1018226.6247135221	915.0	1772.0	278.0807	100.3038	134.6448	1139.1155	1129.0	1111074.286790062	899.0	1403.0	172.5414	0.21391454853384548	0.507378141659647	0.5261329647210666	0.2936072219964327
sub-001_ses-004_acq-undistorted_T2w	1.6605825471698112	0.5882091892335634	0.4931	4255.2084	2.548754128687271	2.4472874635325748	2.7678999587550766	2.43107496377416	0.2683881039231781	0.34568938947837996	0.3859225065984421	0.9735608696937561	0.27588535845279694	0.0	0.001850281522831777	8.373132060385629	8.209513079153776	8.2452052451127	240	320	320	1.575075233637491	4.2621258144606955	4.046382531618949	6.301946546758662	27.36606890221004	20.137295984645124	21.473707784531072	16.91775846673806	0.800000011920929	0.800000011920929	0.800000011920929	468.7906	0.0	5.7567	0.0	6850768.0	0.0	17.0	43.1394	-1.1682	1793.344	1825.7935	1802.0	778514.9839402325	37.0	3738.0	1144.0716	36.2324	215.4418	1325.8435	1326.0	1002743.2869196857	869.0	1826.0	311.1122	123.8798	136.6017	1126.3731	1114.0	1119447.7312327472	884.0	1397.0	176.7707	0.2124577364974466	0.4972777606675663	0.5192124129609101	0.28060504314774715
sub-001_ses-005_acq-original_T2w	1.2808192307692308	0.6954459630562806	0.4934	-1.0	2.677266626772285	2.558774961871282	2.9166624565383428	2.556362461907231	0.2673034923818385	0.3555443710647691	0.37715213655339247	0.9811480343341827	0.3539437681436538	0.0	0.0025738835272555768	8.36600466801872	8.20540679646763	8.237910115377503	240	320	320	1.6102478813456174	5.305189407022809	4.552903944192311	6.743274544208505	28.221721384147866	23.422958392785173	23.78569016784481	19.712390726601384	0.800000011920929	0.800000011920929	0.800000011920929	590.0305	0.0	4.4933	0.0	6943113.0	0.0	17.0	36.7244	-1.2163	1529.3631	1622.2754	1582.0	776033.3611759599	96.0	3264.0	982.4568	58.5793	141.6102	1310.4532	1313.0	1032213.5744131864	934.0	1701.0	247.4934	117.6936	124.8002	1117.3799	1105.0	1094945.066359745	895.0	1369.0	163.8669	0.21329335346743072	0.5140942988956076	0.5280729540848241	0.3017936716032343
sub-001_ses-005_acq-undistorted_T2w	1.3572413636363636	0.6717930062667689	0.4995	-1.0	2.5545457952676345	2.4536499634377664	2.7800499585740273	2.42993746379111	0.2683104622638775	0.3507819211496026	0.38090761658651995	1.0035264492034912	0.3232391238212584	0.0	0.002172869640829375	8.381789761321869	8.224246989799779	8.25824178146348	240	320	320	1.5401632731312438	4.735398616119449	4.295441264748738	6.610761904995522	24.036036208311188	19.214261671977244	19.753251574830283	16.009456844202422	0.800000011920929	0.800000011920929	0.800000011920929	452.796	0.0	4.8594	0.0	7007151.0	0.0	17.0	44.9731	-1.2444	1679.7922	1692.3615	1650.0	777451.5664773406	28.0	3484.0	1071.3143	48.4783	172.0756	1316.0006	1319.0	1016419.3814458093	900.0	1759.0	278.5403	121.6139	126.5175	1112.0441	1099.0	1103711.0543497766	885.0	1372.0	166.244	0.21354978902339547	0.5060422948122696	0.5235110920705918	0.2916502863124126
sub-001_ses-006_acq-original_T2w	1.4566063414634145	0.6473852138175762	0.4984	-1.0	2.6763783285160687	2.5046850678689245	2.926699956388772	2.597749961290509	0.26883594610936956	0.355112020938311	0.3760520329523193	0.9807453751564026	0.35195432305335983	0.0	0.0028091982216722146	8.344606976387407	8.18587682429827	8.219988758838655	240	320	320	1.6007885183312383	4.982701456413535	4.380177562120483	6.557042711616677	31.560617167788216	27.125292959432816	27.200583956796873	22.915841743169583	0.8006795048713684	0.800000011920929	0.800000011920929	756.3847	0.0	5.3969	0.0	6778764.0	0.0	26.0	31.9051	-1.27	1513.5713	1583.1152	1537.0	781649.116469779	122.0	3220.0	960.1512	46.2991	170.1723	1320.8947	1321.0	1032499.5649997805	916.0	1741.0	265.1171	95.9923	128.432	1124.4795	1116.0	1093383.3200425578	883.0	1384.0	170.1986	0.21702186324265937	0.5145970981854057	0.5229431995898788	0.30743740661497226
sub-001_ses-006_acq-undistorted_T2w	1.531626728110599	0.6287125374341409	0.5036	4169.7503	2.555350247657424	2.397838321474755	2.7944624583592645	2.4737499631382533	0.2720092995837549	0.3505769165678034	0.37741378384844165	1.0007625818252563	0.33818429708480835	0.0	0.0028613701747521912	8.345190152123454	8.189166785945616	8.225104307344678	240	320	320	1.5125586463986935	4.498769009184137	4.118338234885685	6.343687049074222	31.063794509878534	25.883249469359605	26.20135311219849	21.65701535735732	0.8006795048713684	0.800000011920929	0.800000011920929	739.2158	0.0	5.3238	0.0	6805644.0	0.0	19.0	33.6386	-1.3211	1684.2454	1649.0627	1595.0	790861.8708641473	49.0	3432.0	1054.5039	37.0841	200.2549	1328.4508	1329.0	1019295.7246052761	881.0	1800.0	295.414	102.6914	132.1081	1121.449	1112.0	1097323.40637269	874.0	1392.0	175.2923	0.21440562961527734	0.5067318903378758	0.5190982166825754	0.2979111575091889
sub-001_ses-007_acq-original_T2w	1.3966133971291865	0.663232606026686	0.4897	-1.0	2.6665249602656815	2.5492624620130293	2.901249956768007	2.549062462016009	0.2651602745167074	0.3538302324316774	0.3810094930516152	0.9774098992347717	0.33019551634788513	0.0	0.0037547016469818505	8.360550767709759	8.196652121396113	8.229293193502471	240	320	320	1.598722942978405	5.012840850853405	4.438181078004372	6.7029794401813065	32.50020298918708	26.304975500992466	26.991134882006566	22.168226155840152	0.800000011920929	0.800000011920929	0.800000011920929	650.8401	0.0	3.9912	0.0	6870001.0	0.0	17.0	33.0993	-1.1767	1590.9827	1681.6226	1642.0	770309.4242837923	98.0	3399.0	1027.0691	60.2709	161.4422	1327.5721	1329.0	1027901.9477386771	928.0	1748.0	265.119	101.437	130.45	1131.6588	1120.0	1106859.6296115108	900.0	1390.0	167.0898	0.2172218076042971	0.5133586065255628	0.5292178174727737	0.2895230657077309
sub-001_ses-007_acq-undistorted_T2w	1.4437973094170404	0.6482167104554538	0.4948	-1.0	2.5512166286505766	2.451024963476882	2.773174958676473	2.4294499637983744	0.26828337540016867	0.3492591243542637	0.3824575002455676	1.0026050806045532	0.3077693581581117	0.0	0.0019734001862981437	8.367835132648505	8.208390605055587	8.243192927940559	240	320	320	1.5284477617798242	4.52607854682684	4.17999245246568	6.485451048790376	29.959732476420193	23.41479091907139	24.295616387128135	19.512325765892825	0.800000011920929	0.800000011920929	0.800000011920929	575.5639	0.0	3.9169	0.0	6877347.0	0.0	16.0	37.4367	-1.2216	1753.7184	1756.2665	1712.0	778640.1824395023	28.0	3623.0	1120.0899	43.9207	190.2236	1335.9078	1338.0	1013656.5036884269	895.0	1809.0	295.62	118.1429	131.7432	1127.9607	1115.0	1110008.316103725	891.0	1396.0	171.9232	0.2134061518977624	0.5030445999405847	0.521397855039385	0.28158846106169044
