bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-001_ses-001_task-bht_dir-LR_echo-1_part-mag_bold	[0.0005484541062801932, 0.0005583091787439614, 0.0006194202898550724, 0.0007582125603864733]	[0.007696045265700484, 0.00825735541062802, 0.01328532570048309, 0.022352659903381644]	0	40.95373988849518	1.0416544490291264	1.0027940630582521	0.6502	148.4499	0.17733035969905483	74	35.7487922705314	3.647357712817712	3.46245132505637	3.655117350836123	3.8245044625606432	[0.0188718, 0.0215183, 0.0210046, 0.0176571]	0.14238333702087402	0.022495172917842865	207	76	102	60	2.5089782949384594	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	5.9786	59.741	168.558	64.0	330105.0	1.0	725.0	242.5474	0.957	294.2929	811.6175	779.0	135015.0	369.0	1356.0	310.4838	35.13503125542775
sub-001_ses-001_task-bht_dir-LR_echo-2_part-mag_bold	[0.0005484541062801932, 0.0005583091787439614, 0.0006194202898550724, 0.0007582125603864733]	[0.007696045265700484, 0.00825735541062802, 0.01328532570048309, 0.022352659903381644]	0	53.1504608636893	1.032486613592233	0.999768267621359	0.5788	239.5123	0.17733035969905483	74	35.7487922705314	3.2427006141001153	3.281110023488152	3.273482796687058	3.173509022125135	[0.0188718, 0.0215183, 0.0210046, 0.0176571]	0.09118032455444336	-0.006452338304370642	207	76	102	60	2.081061312320778	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	27.745	17.2827	58.6503	33.0	330105.0	1.0	213.0	81.9488	0.8644	221.4019	526.7608	512.0	135015.0	104.0	951.0	246.0274	25.49714141781442
sub-001_ses-001_task-bht_dir-LR_echo-3_part-mag_bold	[0.0005484541062801932, 0.0005583091787439614, 0.0006194202898550724, 0.0007582125603864733]	[0.007696045265700484, 0.00825735541062802, 0.01328532570048309, 0.022352659903381644]	0	71.6118902558738	1.0339751469417477	0.9992874756796112	0.5595	151.115	0.17733035969905483	74	35.7487922705314	2.9191550598735625	3.036720016076383	2.9131134062162665	2.8076317573280387	[0.0188718, 0.0215183, 0.0210046, 0.0176571]	0.05770716816186905	-0.005225805565714836	207	76	102	60	1.7630474604532524	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	55.9307	8.2438	34.7886	27.0	330105.0	1.0	89.0	35.1724	1.5187	170.4849	342.2407	334.0	135015.0	48.0	665.0	189.444	18.09328748122789
sub-001_ses-001_task-bht_dir-LR_echo-4_part-mag_bold	[0.0005484541062801932, 0.0005583091787439614, 0.0006194202898550724, 0.0007582125603864733]	[0.007696045265700484, 0.00825735541062802, 0.01328532570048309, 0.022352659903381644]	0	101.06385880941744	1.0413563434466024	1.000531217864078	0.5632	70.8892	0.17733035969905483	74	35.7487922705314	2.596380401635677	2.7323822827921362	2.55093624915441	2.5058226729604836	[0.0188718, 0.0215183, 0.0210046, 0.0176571]	0.03599867969751358	-0.0014951425837352872	207	76	102	60	1.4644743788608847	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	84.0833	5.3932	27.0653	25.0	330105.0	1.0	50.0	18.3711	3.7323	130.0751	223.8454	212.0	135015.0	34.0	477.0	144.7613	12.533628131262958
sub-001_ses-001_task-qct_dir-LR_echo-1_part-mag_bold	[0.0010634343434343435, 0.0010126262626262627, 0.001086060606060606, 0.001261010101010101]	[0.005329768383838384, 0.00685387595959596, 0.010928638989898988, 0.018687446464646467]	0	37.08749082142859	1.022816240510204	1.0136008482653063	0.6453	175.681	0.08489961961577518	4	4.040404040404041	3.6666786857964033	3.4582620422760675	3.709924098166252	3.83184991694689	[0.010184, 0.0113395, 0.00936657, 0.00717866]	0.1476898193359375	0.02466188557446003	99	76	102	60	2.5636802204996734	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	5.9969	54.7964	165.05	60.0	330573.0	0.0	725.0	242.7023	0.9407	294.1093	827.1384	793.0	134547.0	394.0	1372.0	309.3198	37.593378724996
sub-001_ses-001_task-qct_dir-LR_echo-2_part-mag_bold	[0.0010634343434343435, 0.0010126262626262627, 0.001086060606060606, 0.001261010101010101]	[0.005329768383838384, 0.00685387595959596, 0.010928638989898988, 0.018687446464646467]	0	47.77166273173469	1.010047419387755	1.0069432879591842	0.5759	264.5548	0.08489961961577518	4	4.040404040404041	3.255554017576315	3.2683873538271033	3.3097929498285046	3.1884817490733375	[0.010184, 0.0113395, 0.00936657, 0.00717866]	0.09166371077299118	-0.0029407069087028503	99	76	102	60	2.112821254744095	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	27.5483	16.2787	57.7101	32.0	330573.0	0.0	210.0	80.7003	0.8829	223.7681	539.4756	524.0	134547.0	116.0	970.0	248.0087	27.56745684775524
sub-001_ses-001_task-qct_dir-LR_echo-3_part-mag_bold	[0.0010634343434343435, 0.0010126262626262627, 0.001086060606060606, 0.001261010101010101]	[0.005329768383838384, 0.00685387595959596, 0.010928638989898988, 0.018687446464646467]	0	63.97579298265304	1.0066313743877546	1.0044111753061227	0.5565	162.0641	0.08489961961577518	4	4.040404040404041	2.948667022103537	3.044820813974381	2.9710712227681015	2.8301090295681295	[0.010184, 0.0113395, 0.00936657, 0.00717866]	0.05810526758432388	-0.002882986096665263	99	76	102	60	1.7726591140604984	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	51.9654	8.2517	34.6503	27.0	330573.0	0.0	89.0	34.7471	1.4429	174.3031	352.7219	343.0	134547.0	50.0	684.0	193.4939	19.797343497164547
sub-001_ses-001_task-qct_dir-LR_echo-4_part-mag_bold	[0.0010634343434343435, 0.0010126262626262627, 0.001086060606060606, 0.001261010101010101]	[0.005329768383838384, 0.00685387595959596, 0.010928638989898988, 0.018687446464646467]	0	88.84715255408163	1.0105030757142854	1.0044740324489794	0.559	77.0502	0.08489961961577518	4	4.040404040404041	2.6299770633293087	2.747304325912843	2.61457691886909	2.528049945205993	[0.010184, 0.0113395, 0.00936657, 0.00717866]	0.036730192601680756	0.0010119661455973983	99	76	102	60	1.4784858022964367	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	76.0363	5.3613	27.1114	25.0	330573.0	0.0	50.0	18.5027	3.5689	133.7337	232.4234	221.0	134547.0	34.0	495.0	149.4767	13.763961235410534
sub-001_ses-001_task-rest_dir-LR_echo-1_part-mag_bold	[0.0005643658210947931, 0.001027837116154873, 0.0013350734312416557, 0.0014787983978638182]	[0.005619612843791722, 0.007569729706275035, 0.01257188201602136, 0.021234671028037385]	1	36.4075984444519	1.038763177339571	1.0107535066711237	0.6494	154.3897	0.11924457000073233	72	9.612817089452603	3.718013248069609	3.478721224375957	3.7298004235314908	3.94551809630138	[0.0093481, 0.0140851, 0.0138781, 0.0115699]	0.1407700628042221	0.022045549005270004	749	76	102	60	2.5275039480522277	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	5.8288	59.0171	167.836	63.0	330046.0	0.0	721.0	241.8597	0.9949	294.8241	816.6798	784.0	135074.0	378.0	1362.0	310.1863	37.07113721850328
sub-001_ses-001_task-rest_dir-LR_echo-2_part-mag_bold	[0.0005643658210947931, 0.001027837116154873, 0.0013350734312416557, 0.0014787983978638182]	[0.005619612843791722, 0.007569729706275035, 0.01257188201602136, 0.021234671028037385]	1	47.07237511919789	1.035668335294117	1.0130903932754014	0.5787	241.0547	0.11924457000073233	72	9.612817089452603	3.3525456051198375	3.3166733914383273	3.4106089506501283	3.3303544732710564	[0.0093481, 0.0140851, 0.0138781, 0.0115699]	0.08943376690149307	-0.0056316060945391655	749	76	102	60	2.1042177154243404	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	26.852	17.2489	58.5652	33.0	330046.0	0.0	215.0	81.698	0.9062	221.7253	532.0205	517.0	135074.0	111.0	956.0	245.6961	26.79773789225146
sub-001_ses-001_task-rest_dir-LR_echo-3_part-mag_bold	[0.0005643658210947931, 0.001027837116154873, 0.0013350734312416557, 0.0014787983978638182]	[0.005619612843791722, 0.007569729706275035, 0.01257188201602136, 0.021234671028037385]	1	62.897052433435775	1.0377795576737965	1.0139706540641715	0.5595	152.8963	0.11924457000073233	72	9.612817089452603	3.060501448562462	3.098552919199998	3.097751491189853	2.9851999352975342	[0.0093481, 0.0140851, 0.0138781, 0.0115699]	0.05657762289047241	-0.004802053794264793	749	76	102	60	1.786757103597906	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	46.1503	8.2226	34.7965	27.0	330046.0	0.0	89.0	34.9159	1.4196	171.8938	347.1239	339.0	135074.0	50.0	670.0	189.7285	19.004665624466725
