trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00375402	0.00245
-0.0091	-0.0146	-0.0019	-0.0002583087292951608	0.00011170107212763708	-0.00023387411976724014	1.11042905	39.38956833	1.02269018	0.0557941960595019	0.00401312	0.00077
0.0102	-0.0489	0.0462	-0.001424188669627373	0.00020943951023931956	-8.726646259971648e-06	1.10287976	39.12177658	1.03737787	0.17613829259755814	0.00427592	0.00133
0.0092	-0.0088	0.0763	-0.0010402162341886204	0.00012740903539558605	-0.0	1.15687358	41.03706741	1.04187524	0.09493647782712289	0.00422114	0.00127
-0.0229	0.0033	0.0673	-0.0007086036763096977	0.00034208453339088857	-0.00010471975511965978	1.06003535	37.60198212	1.05323337	0.08575039054969427	0.00384068	0.00115
-0.0408	-0.0426	0.0573	-0.0008726646259971648	0.00023911010752322313	-0.0003874630939427412	1.01176822	35.88983154	1.01225041	0.10128893571891068	0.00377965	0.00103
-0.0594	-0.0177	0.0031	-0.0006667157742618339	0.00021642082724729686	-0.0004206243497306334	1.28389263	45.54273224	1.03773561	0.11078996938995744	0.00429082	0.00094
-0.0456	-0.0426	0.0249	-0.0003211405823669566	-0.0005078908123303499	-0.0002548180707911721	1.2788136	45.3625679	1.03764916	0.12228465552059926	0.00356543	0.00074
-0.0473	-0.0351	0.0197	-0.0003089232776029963	-0.0003892084231947355	-0.000158824961931484	0.97157204	34.46397781	0.98989007	0.02574464013796314	0.00333565	0.0007
-0.0365	-0.0209	0.0212	-0.00041713369122664475	-0.00029845130209103034	0.00017278759594743863	0.98354113	34.8885498	0.99392723	0.05302900463031381	0.00345075	0.00076
-0.0219	-0.104	-0.0028	-0.0008970992355250854	-0.0002513274122871834	0.0003665191429188092	1.20983613	42.91577148	1.05358336	0.1577410490536829	0.00400358	0.00137
-0.0156	-0.0354	-0.0076	-0.0009494591130849152	-0.00041713369122664475	0.0006928957130417488	1.07567704	38.15682983	1.06378928	0.10692713633111152	0.00353003	0.00078
-0.0254	0.0009	0.003	-0.000598647933434055	-0.0002740166925631097	0.00018151424220741024	1.13706017	40.33423615	1.08606671	0.10696548245743669	0.0043425	0.00258
-0.0373	-0.0489	0.0077	-0.0015707963267948967	-0.0003193952531149623	0.0001658062789394613	1.20391524	42.7057457	1.12522492	0.11806174585903216	0.00382209	0.00123
-0.0006	-0.0806	0.068	-0.002036799237077382	-0.00023387411976724014	0.0005864306286700947	1.09352469	38.78992844	1.04387669	0.17730741966804206	0.00355083	0.00074
0.0036	-0.0434	0.0868	-0.0013857914260834976	-0.0005462880558742252	0.0005253441048502931	1.08783197	38.58799362	0.99803649	0.11142541354603357	0.00396347	0.0007
