trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0173544	0.00401
0.0082	0.0951	0.0697	0.0005340707511102648	-0.0001186823891356144	0.00011344640137963142	1.11408889	59.85875702	1.07268496	0.21130997708127552	0.0169063	0.00325
0.0122	-0.0026	0.1088	0.0002705260340591211	-0.00020420352248333657	0.00015184364492350666	1.06348789	57.14002609	1.04706791	0.16017315469713703	0.0158796	0.00233
0.0136	-0.0004	0.0552	-0.00014311699866353502	-0.0001675516081914556	0.0001186823891356144	1.06350601	57.14099884	1.0490382	0.08137281014012145	0.0167666	0.0027
0.0175	0.0939	0.0921	9.773843811168246e-05	-0.000296705972839036	0.0001605702911834783	1.08455038	58.27169037	1.05407365	0.1556948851735331	0.0162047	0.00262
0.013	-0.0033	0.1194	-0.0004206243497306334	-0.00023911010752322313	0.0002199114857512855	1.02911067	55.29297256	1.02746206	0.1607649923862968	0.0149951	0.00183
0.0058	-0.0333	0.0682	-0.0007993607974134029	-0.00016406094968746698	7.504915783575618e-05	1.0723238	57.61476898	1.04272954	0.11833239667170276	0.0164458	0.00218
0.0072	0.0574	0.0912	-0.00037524578917878077	-0.00032637657012293966	5.759586531581287e-05	1.05869865	56.88270569	1.04755111	0.14529419605950192	0.0156111	0.00216
0.0114	-0.0012	0.1057	-0.000460766922526503	-0.0002478367537831948	0.00013439035240356338	1.01363552	54.4615097	1.02792889	0.08934277183876087	0.0149606	0.00169
0.0109	-0.0562	0.0649	-0.0008307767239493009	-0.00022165681500327985	3.141592653589793e-05	1.03668916	55.70015717	1.03504497	0.12125820830351892	0.0159267	0.00199
0.0139	0.043	0.0927	-0.0005270894341022875	-0.00039793506945470715	1.9198621771937625e-05	1.05259526	56.55477524	1.03883711	0.15460914245312005	0.0157312	0.0021
0.0086	-0.0167	0.1088	-0.0006928957130417488	-0.00026878070480712676	5.585053606381854e-05	1.04278553	56.02770615	1.02750652	0.09768062789394612	0.014954	0.00166
0.0017	-0.0537	0.0628	-0.0011327186845443199	-0.0002495820830351891	-0.0001308996938995747	1.07445657	57.72935867	1.04529861	0.12218859116189508	0.0162442	0.00192
0.0035	0.0425	0.103	-0.0009075712110370514	-0.00039793506945470715	-0.0001239183768915974	1.10131228	59.17228699	1.05912769	0.1572240888467382	0.015771	0.0018
0.0002	0.0121	0.1423	-0.0005113814708343385	-0.00038571776469074686	-0.00019198621771937622	1.0596348	56.93299866	1.04065053	0.0968237442897226	0.014723	0.00177
-0.0085	-0.0777	0.1124	-0.0007347836150896127	-0.0003682644721708035	-0.00024609142453120044	1.0670954	57.33385086	1.03761809	0.14314803217935207	0.0148796	0.00137
-0.0005	0.0041	0.122	-0.0006667157742618339	-0.0004572762640225143	-5.061454830783555e-05	1.04172266	55.97060013	1.03223088	0.11702782544514274	0.015103	0.00173
-0.0039	-0.019	0.1652	-0.0007033676885537148	-0.00037350045992678646	-2.268928027592628e-05	1.0473088	56.27073669	1.04324703	0.07711764932097591	0.0142527	0.00142
0.0005	-0.0838	0.1288	-0.0010140362954087054	-0.00023212879051524583	-4.0142572795869576e-05	1.06627333	57.2896843	1.04175355	0.12907467843932374	0.0148892	0.00149
0.0089	0.0126	0.1461	-0.0007958701389094143	-0.0003647738136668148	4.18879020478639e-05	1.0596478	56.93369675	1.0437421	0.1437420827247297	0.0150658	0.00192
0.0095	-0.0161	0.1934	-0.0007225663103256524	-0.00037524578917878077	0.00014311699866353502	1.03980911	55.86778641	1.03228001	0.0858502450355699	0.0139203	0.00113
0.0139	-0.0861	0.1559	-0.0010629055144645468	-0.00027750735106709843	0.0001291543646475804	1.0765394	57.84126663	1.04053283	0.13450201381332655	0.0149428	0.00143
0.0122	0.0137	0.1775	-0.0007400196028455958	-0.00040666171571467877	0.00011170107212763708	1.09654725	58.91626358	1.05773537	0.1465746784393237	0.0151718	0.00149
0.0065	-0.0359	0.2263	-0.0008726646259971648	-0.0002373647782712288	0.00017802358370342162	1.06784463	57.37410736	1.04552968	0.1225132236085402	0.0139538	0.00128
0.0006	-0.0889	0.1932	-0.0011606439525762293	-0.00011344640137963142	0.00013439035240356338	1.03420138	55.56649017	1.02438008	0.114776546738526	0.0138285	0.001
0.0036	0.0031	0.2345	-0.0007661995416255106	-0.00023212879051524583	9.42477796076938e-05	1.06273007	57.09930801	1.03936848	0.16396346864411007	0.013982	0.00115
-0.006	-0.1107	0.2454	-0.00102799892942466	-8.203047484373349e-05	1.7453292519943296e-05	1.02318335	54.97450256	1.01586771	0.15873460952792068	0.0132136	0.00081
-0.003	-0.0841	0.2196	-0.0008848819307611251	-0.0001937315469713706	5.235987755982989e-05	1.02144551	54.88113403	1.01234145	0.06988623279155297	0.0139993	0.00089
-0.0026	-0.0259	0.2547	-0.0007592182246175333	-0.00020943951023931956	-1.0471975511965975e-05	1.04295576	56.03685379	1.02299966	0.1039101761241668	0.0135394	0.001
-0.0138	-0.1271	0.2242	-0.0010890854532444615	-0.000153588974175501	-0.000148352986419518	1.041659	55.96717834	1.02101896	0.16907993877991487	0.0131236	0.00066
-0.014	-0.0684	0.2149	-0.0011309733552923255	-0.0002565634000431664	-0.0001361356816555577	1.02263057	54.94480515	1.00967395	0.07605398163397446	0.0134442	0.00074
-0.0168	-0.0155	0.2479	-0.0010332349171806431	-0.0002303834612632515	-0.00017104226669544429	1.04928052	56.37667465	1.01794709	0.0966412480965742	0.0132498	0.00085
-0.0167	-0.1174	0.2321	-0.0017051866791984597	-0.00020420352248333657	-0.0001308996938995747	1.04489744	56.14117813	1.01928052	0.15471371367968006	0.0127832	0.00062
-0.0124	-0.0828	0.2182	-0.001450368608407288	-0.00016231562043547262	-4.71238898038469e-05	0.99127907	53.26032257	0.99580194	0.07182408884673819	0.0132	0.00082
-0.0191	-0.0968	0.1877	-0.002097885760897184	-0.0001361356816555577	-0.00020943951023931956	1.01840925	54.7179985	1.01841219	0.09300063558526418	0.0134087	0.0007
-0.0201	0.0227	0.2166	-0.0016231562043547262	-0.0001256637061435917	-0.0003473205211468716	1.04504001	56.14884186	1.03296932	0.1805541271480988	0.0136391	0.00114
-0.0129	-0.0887	0.2168	-0.0018448130193580064	-7.504915783575618e-05	-0.00028623399732707005	1.05802524	56.84651947	1.03107508	0.13546789435654588	0.013144	0.00073
-0.0164	-0.0853	0.1866	-0.0018657569703819383	0.00016231562043547262	-0.0003682644721708035	1.04479301	56.13556671	1.02815177	0.05411696020694472	0.013862	0.00082
-0.0137	0.0411	0.2217	-0.0014974924982111347	0.00012217304763960306	-0.0004625122517784973	1.08112121	58.08744049	1.0486371	0.1893327412287184	0.013467	0.00079
-0.0102	-0.0936	0.2239	-0.0018133970928221085	8.37758040957278e-05	-0.0004328416544945937	1.04686975	56.24715042	1.02935166	0.1595986217719376	0.0131208	0.00065
-0.0052	-0.1074	0.1507	-0.002309070600388498	3.141592653589793e-05	-0.00041189770347066176	1.12451589	60.41898727	1.06585293	0.12044886680750756	0.0151845	0.00128
-0.0053	0.0079	0.1868	-0.0019687313962496035	-8.726646259971648e-06	-0.00046425758103049166	1.1219815	60.28282166	1.06658835	0.17314208272472967	0.0141361	0.00102
-0.0038	-0.0064	0.2185	-0.0019146261894377795	0.0001012290966156711	-0.000450294947014537	1.06318426	57.12371063	1.03732899	0.05640117918517108	0.0132852	0.00085
-0.0093	-0.1037	0.1792	-0.0024312436480281013	1.3962634015954635e-05	-0.000450294947014537	1.13275635	60.86174011	1.06444046	0.17229419605950191	0.0143682	0.00096
-0.0111	-0.0116	0.2016	-0.0022026055160168437	-7.330382858376184e-05	-0.0004677482395344803	1.10755813	59.50786972	1.05395931	0.13296789435654588	0.0141361	0.00099
-0.0036	-0.004	0.2422	-0.001673770752662562	-6.9813170079773176e-06	-0.00034033920413889426	1.09611523	58.89305115	1.05415945	0.0918283155162826	0.0132695	0.00073
-0.0036	-0.1326	0.1936	-0.002579596634447619	-1.3962634015954635e-05	-0.00037524578917878077	1.16845119	62.77958679	1.07381913	0.22458568919164604	0.0139621	0.00091
-0.0001	-0.0323	0.2261	-0.002258456052080662	-0.0001308996938995747	-0.00037524578917878077	1.11230421	59.76287079	1.06025587	0.15820388211252887	0.0138707	0.00082
0.0001	-0.0119	0.2918	-0.0016283921921107093	-0.0002722713633111154	-0.00029845130209103034	1.09297931	58.7245636	1.04852981	0.1287115008234622	0.0125632	0.00065
-0.0043	-0.0974	0.304	-0.001635373509118687	-0.00030368728984701333	-0.0002548180707911721	1.03048396	55.36675644	1.02811621	0.10620152374218668	0.0134671	0.00119
-0.03	-0.1946	0.2997	-0.0016318828506146981	-0.0003351032163829112	-0.0005113814708343385	1.05588353	56.73144913	1.04220691	0.14177349925415264	0.013284	0.00109
-0.0303	-0.2095	0.302	-0.0024452062820440558	-0.0004886921905584122	-0.0007470009198535729	1.00123441	53.79521561	1.01115935	0.0776265927312046	0.0120395	0.00055
-0.0303	-0.2209	0.2972	-0.002530727415391778	-0.0005846852994181004	-0.0006963863715457374	0.96560973	51.88113785	0.98019639	0.027806439525762273	0.0116146	0.00056
-0.0281	-0.2144	0.3014	-0.0028571039855147177	-0.0005445427266222308	-0.0006579891280018621	0.95421749	51.26904678	0.97545295	0.033145819323134235	0.0113806	0.0005
-0.0303	-0.2078	0.3026	-0.002898991887562581	-0.0005654866776461627	-0.000736528944341607	0.96556222	51.87858582	0.98017971	0.01706858347057697	0.0116372	0.00059
-0.0369	-0.2024	0.315	-0.0030630528372500485	-0.0005654866776461627	-0.0008569566627292158	0.97144866	52.19485855	0.97958734	0.038624433403753856	0.0113173	0.00055
-0.0377	-0.1763	0.3279	-0.00334579617607313	-0.0005689773361501514	-0.0008674286382411819	0.95574248	51.35098267	0.97621692	0.0546352986419518	0.0108915	0.00042
-0.0419	-0.1707	0.3253	-0.003558726344816438	-0.0005550147021341969	-0.000890117918517108	0.94413722	50.7274437	0.96588452	0.024879104151759503	0.0106069	0.00041
