trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0159019	0.00323
-0.0037	0.0379	0.0499	-0.0004886921905584122	-9.250245035569947e-05	-6.981317007977319e-05	1.10266495	84.33541107	1.0353752	0.12405039054969424	0.0156929	0.00166
-0.0009	-0.0028	0.041	-0.0003717551306747922	-0.0	-0.00012217304763960306	1.00478399	76.84915924	1.0152699	0.06548996938995745	0.0162008	0.0018
0.0047	0.0013	0.0426	-0.00040840704496667313	-0.00015533430342749534	-7.67944870877505e-05	1.01012647	77.25776672	1.02094674	0.02316823891356144	0.0164353	0.00207
0.0095	0.0226	-0.0258	-0.0003787364476827695	-0.000158824961931484	4.0142572795869576e-05	1.1924665	91.20372772	1.05954674	0.10200491578357562	0.014565	0.0021
0.0139	0.0961	-0.1185	0.0008168140899333463	-0.0002303834612632515	1.5707963267948964e-05	1.13902605	87.11642456	1.12039693	0.2351771823237902	0.0200701	0.00849
0.0094	0.0854	-0.1638	0.0011641346110802177	-5.585053606381854e-05	-4.537856055185256e-05	1.19313872	91.25514221	1.14870866	0.08964699850830529	0.0235764	0.01406
-0.0224	-0.0471	-0.0984	0.001609193570338772	0.0004677482395344803	0.000291469985083053	1.17196357	89.63559723	1.1236489	0.294975314024588	0.0208704	0.00981
-0.0225	0.1281	-0.1642	0.001583013631558857	0.00017104226669544429	3.490658503988659e-05	1.10365844	84.41139984	1.08004067	0.2700724655831058	0.0219224	0.01176
-0.0165	-0.0219	-0.1091	0.0012322024519079964	0.0002583087292951608	0.00020420352248333657	1.07862806	82.49699402	1.06884057	0.24146872898470137	0.0201094	0.00848
-0.0035	0.0149	-0.0925	0.0005724679946541401	0.00013439035240356338	0.0003682644721708035	1.05072486	80.36286163	1.05287821	0.11378568919164604	0.0170487	0.00443
-0.0047	0.1285	-0.1617	0.0007138396640656808	0.00019896753472735358	0.00020420352248333657	1.06054223	81.11373138	1.05773632	0.20250049007113993	0.0196647	0.00765
-0.0047	0.0361	-0.1351	-1.9198621771937625e-05	0.00034033920413889426	0.000322885911618951	1.10401881	84.43895721	1.08608921	0.1686546172192387	0.0189366	0.00669
0.0098	-0.0121	-0.0648	8.203047484373349e-05	0.00034557519189487725	0.0006056292504420323	1.10423732	84.45567322	1.09096544	0.1524604211597368	0.0152413	0.00219
0.0076	0.0408	-0.0529	-0.00014486232791552936	0.0002251474735072685	0.0005026548245743669	1.00750887	77.05756378	1.01826757	0.08951474735072684	0.0149499	0.00178
0.0044	0.0506	-0.0272	-0.0006911503837897545	0.0003438298626428829	0.0005340707511102648	1.03275514	78.98847961	1.03480479	0.07351931857728686	0.0145203	0.00209
0.0071	0.0717	-0.0205	-0.0010943214410004448	0.00026354471705114377	0.00039095375244672985	1.03195047	78.92693329	1.02453139	0.06182866007329822	0.0154625	0.00215
