trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.018656	0.00428
0.01	-0.0112	0.0281	-0.00042760566673861073	-0.00019198621771937622	4.363323129985824e-05	1.08246338	97.57614899	1.01583018	0.08246125578789226	0.0193551	0.00139
-0.0249	-0.0119	0.0216	-0.00027750735106709843	-0.00017627825445142725	1.5707963267948964e-05	0.99938655	90.08737946	0.99858195	0.05178657734856853	0.0184633	0.0013
0.0008	-0.0167	0.0419	-0.0006527531402458793	-0.0003769911184307752	-1.9198621771937625e-05	1.0215565	92.08583832	1.015303	0.08134326190990077	0.0196795	0.00156
-0.0211	-0.0191	0.023	-0.0004380776422505767	-0.0002199114857512855	-0.0001064650843716541	0.99877101	90.03189087	1.00055921	0.06615107966372545	0.0194839	0.00127
0.0091	-0.0159	0.0296	-0.0005602506898901797	-0.00015533430342749534	-0.00017278759594743863	1.00683701	90.75898743	1.00805431	0.05265363707695889	0.0200889	0.00133
0.0186	0.0097	-0.0202	-0.0010629055144645468	-0.00015707963267948963	-0.00047822021504644627	1.17067242	105.52754211	1.03706666	0.12539163864626843	0.0206618	0.00182
-0.0873	-0.0107	0.0033	-0.0002565634000431664	0.0003612831551628262	-0.0003473205211468716	1.08763635	98.04244995	1.05045429	0.22258022980816355	0.017416	0.00122
-0.0397	-0.0142	0.0581	-0.0004310963252425994	0.00027925268031909274	-0.000486946861306418	1.10119712	99.26486206	1.02793108	0.12570948701013565	0.0196847	0.00119
-0.05	-0.0017	0.0123	-0.00034557519189487725	0.0005131268000863328	-0.000609119908946021	1.04834342	94.50048065	0.99961231	0.09067841503772825	0.0182974	0.00124
-0.0435	0.0001	-0.0017	-0.000439822971502571	0.0006108652381980154	-0.0005445427266222308	0.992827	89.49608612	0.97965273	0.035128170002158336	0.0177408	0.0012
0.0416	0.0105	0.0374	-0.0012374384396639797	5.235987755982988e-06	-0.0002373647782712288	1.03747094	93.52040863	1.02876747	0.22012113334772213	0.0208556	0.00212
0.0187	0.0152	-0.0164	-0.0013281955607676848	-0.0001064650843716541	-0.0003612831551628262	1.0735718	96.77463531	1.04370655	0.09771882850614698	0.02081	0.00228
-0.0962	0.0048	-0.0228	5.4105206811824215e-05	0.0008412486994612669	-0.0009494591130849152	1.11300349	100.32911682	1.07879986	0.2776095254667259	0.0176299	0.00143
-0.0497	0.0052	-0.0054	-0.00022340214425527416	0.0007644542123735164	-0.0010733774899765126	1.02099228	92.03497314	1.01094635	0.08821101075232231	0.0183184	0.00148
-0.0327	0.0155	-0.0187	-0.0003001966313430247	0.0003682644721708035	-0.0012479104151759456	1.04073095	93.81427765	1.0244297	0.07297585762449482	0.0195405	0.00127
-0.0896	0.0035	-0.0191	0.00015707963267948963	0.0001239183768915974	-0.0008482300164692441	1.0480957	94.47814941	1.02956892	0.12436513790042109	0.018814	0.0015
-0.0611	0.0243	-0.0664	0.0005497787143782138	0.0002844886680750757	-0.0006161012259539982	1.05562282	95.15666199	1.03110829	0.1358699081698724	0.0172964	0.00119
-0.0438	0.022	-0.0828	0.0013543754995475996	0.00017453292519943296	-0.000778416846389471	1.06229556	95.75816345	1.03756963	0.08984340742402505	0.0173067	0.00127
-0.036	0.0236	-0.0935	0.0019181168479417679	0.0002722713633111154	-3.141592653589793e-05	1.06788599	96.26210785	1.0412805	0.0905240353179712	0.0193429	0.00214
0.0083	0.0195	-0.1149	0.00447851486061745	0.0006684611035138282	-0.0001012290966156711	1.27755594	115.16230774	1.18690272	0.2211200461479084	0.0300257	0.01112
-0.0372	0.0067	-0.1591	-8.37758040957278e-05	-0.0002617993877991494	0.0003787364476827695	1.46646607	132.19117737	1.32994812	0.4011258350162298	0.0216845	0.00376
0.017	0.0206	-0.1683	5.759586531581287e-05	-0.0005235987755982988	0.0005183627878423159	1.08310032	97.63356781	1.0583358	0.10443986986851184	0.0204954	0.00225
-0.0156	0.0149	-0.1413	0.00046949356878647465	-0.0002129301687433082	0.00017627825445142725	1.04415965	94.12334442	1.02808436	0.11853254218582704	0.0196661	0.00149
-0.0488	0.0042	-0.0831	0.0009075712110370514	-6.9813170079773176e-06	0.00048345620280242926	1.0556767	95.16152191	1.03501645	0.1496602221168455	0.017036	0.00096
-0.0033	0.0159	-0.1005	0.000614355896702004	-0.0003787364476827695	0.00023561944901923448	1.04104674	93.84274292	1.02539756	0.12024035993965176	0.0189363	0.00134
-0.0668	0.004	-0.1464	0.0014590952546672592	-0.0006510078109938849	0.0004729842272904633	1.06101751	95.64295959	1.03574086	0.18901877497738	0.0205628	0.00167
-0.0047	0.0108	-0.1131	0.0008936085770210966	-0.00062482787221397	5.585053606381854e-05	1.03647149	93.43031311	1.01922008	0.1526400153826361	0.0185655	0.00116
-0.0602	0.0072	-0.0906	0.0009529497715889039	-0.00041189770347066176	0.0001658062789394613	1.03601074	93.38878632	1.01896663	0.10071135530933792	0.0173478	0.00099
-0.012	0.007	-0.0451	0.00048345620280242926	-0.0004415683007545654	0.0001605702911834783	1.03918242	93.67469025	1.01942363	0.11912000769131804	0.0164771	0.00085
-0.023	0.0001	-0.0382	0.0005044001538263612	-0.0003822271061867582	0.00010297442586766544	1.00596035	90.67996216	1.0010769	0.0316940505453776	0.0173902	0.00102
-0.0239	0.0067	-0.0263	0.0006894050545377602	-0.0001658062789394613	0.00018500490071139895	1.06920934	96.38139343	1.00330791	0.04357281014012147	0.0182055	0.00125
-0.0019	0.009	-0.0375	0.0008011061266653974	-0.00014660765716752367	0.0002199114857512855	1.05627549	95.21549988	0.99620959	0.043790313946973074	0.0177186	0.00115
-0.0026	0.0072	-0.0447	0.0010192722831646884	-0.00011344640137963142	0.0002181661564992912	1.0175879	91.72809601	0.99822717	0.02235363707695888	0.0181495	0.00109
-0.0114	0.0055	-0.0475	0.001048942880448592	-0.000148352986419518	0.00018675022996339323	0.99419385	89.61929321	0.99125277	0.018099655442984412	0.0174288	0.00114
-0.0013	0.0102	-0.0624	0.0013212142437597075	-0.0002565634000431664	0.00026354471705114377	1.01135528	91.16627502	0.99524798	0.05256381320112572	0.017121	0.00097
-0.0258	0.0013	-0.1024	0.001778490507782222	-0.00029321531433504735	-1.3962634015954635e-05	1.02441287	92.34331512	1.00718965	0.11197177646907468	0.0185858	0.00131
-0.0621	0.0078	-0.0923	0.0018692476288859267	0.0004258603374866164	0.00017802358370342162	1.01559711	91.54863739	1.00341353	0.10299094953223724	0.0179867	0.00099
-0.0587	0.0093	-0.0935	0.0017016960206944712	0.0003089232776029963	0.00023911010752322313	0.99464053	89.65956116	0.98969691	0.023378759594743857	0.0169562	0.00101
-0.056	-0.0007	-0.0736	0.001593485607070823	0.0002007128639793479	0.00026354471705114377	0.99870944	90.0263443	0.98700115	0.04464277183876087	0.0165244	0.00102
-0.0606	0.0192	-0.1316	0.0023998277214922034	0.00015707963267948963	0.00011693705988362007	1.04072511	93.81375122	1.01989972	0.1323291501444381	0.0188659	0.00143
-0.043	0.0227	-0.1935	0.0029164451800825246	-0.0003001966313430247	-0.000148352986419518	1.00574172	90.6602478	1.007502	0.1449591884457987	0.0212932	0.00325
-0.099	0.0131	-0.1962	0.0019826940302655584	-0.0001675516081914556	0.00028099800957108706	1.01341283	91.35174561	1.00920268	0.14308735844795703	0.0203767	0.00206
