trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.031972	0.00155
0.0516	-0.0164	-0.0121	-0.00028099800957108706	-1.3962634015954635e-05	-0.0002443460952792061	1.0569036	94.71030426	1.04437566	0.1070653369433124	0.0342896	0.0017
0.0186	-0.0352	-0.0016	3.4906585039886588e-06	0.0004049163864626844	6.806784082777885e-05	1.07987869	96.76911926	1.07063789	0.11308908123303497	0.0340446	0.00194
-0.0125	-0.0281	-0.0064	-0.000577703982410123	0.00041015237421866745	0.0005201081170943102	1.0963372	98.24398804	1.07849361	0.09492354524683129	0.0331298	0.00158
0.0791	-0.0411	-0.0174	-0.000710349005561692	2.792526803190927e-05	0.0004380776422505767	1.03751838	92.97317505	1.02848837	0.145445130209103	0.0344077	0.00161
0.0673	-0.0282	-0.0167	-0.0009093165402890458	0.00021467549799530252	0.00032637657012293966	1.03183138	92.46355438	1.02558034	0.05027094184091921	0.0347182	0.00197
0.0455	-0.024	-0.0437	-0.0009302604913129776	0.00028623399732707005	0.0005672320068981572	1.05527246	94.56413269	1.03753231	0.06966789435654586	0.035661	0.002
0.1108	-0.0441	-0.0171	-0.0008936085770210966	7.853981633974481e-05	0.000450294947014537	1.06661427	95.58048248	1.0462959	0.1300641577581413	0.0356467	0.00191
0.0509	-0.0297	-0.0072	-0.0008813912722571365	0.0002844886680750757	0.0005113814708343385	1.04777753	93.89250946	1.03858322	0.09816263401595463	0.0346031	0.00177
0.0716	-0.0244	-0.0124	-0.000778416846389471	0.00033335788713091696	0.0006527531402458793	1.04944396	94.04183197	1.04008329	0.04586076571675237	0.0346658	0.00198
0.1024	-0.0335	-0.0105	-0.00119729586686811	0.00026354471705114377	0.00037350045992678646	1.05072248	94.15640259	1.03755264	0.08019724354387527	0.0359102	0.00226
0.0172	-0.0128	-0.0166	-0.0008569566627292158	0.00026878070480712676	0.0004363323129985824	1.06799841	95.70452118	1.04962134	0.13242035224833365	0.0352498	0.00192
0.0736	-0.0257	-0.0006	-0.0008482300164692441	0.00014660765716752367	0.0005794493116621174	1.09981728	98.55583954	1.06367128	0.09900083462815548	0.0360038	0.00187
0.1079	-0.0527	0.045	-0.0010733774899765126	0.0001361356816555577	0.00030194196059501896	1.09222567	97.87554932	1.05568254	0.13255634000431663	0.0345192	0.00158
0.0217	-0.0257	0.0307	-0.0009459684545809266	0.00022340214425527416	0.00042935099599060504	1.06081641	95.06093597	1.04558698	0.14460422666954442	0.0335224	0.00145
0.035	-0.0064	-0.0118	-0.0009040805525330626	0.00020769418098732522	0.0005009094953223725	1.07185495	96.05010986	1.04840689	0.081557718232379	0.0352984	0.00186
0.1107	-0.0359	0.0287	-0.0012164944886400475	6.283185307179586e-05	0.00032637657012293966	1.08956909	97.63749695	1.06081463	0.1772904594610973	0.0344931	0.00193
0.0366	-0.0217	0.0253	-0.0012531464029319286	0.00014486232791552936	0.0003351032163829112	1.06935418	95.82601166	1.0503197	0.09807045176977933	0.033809	0.00201
0.0229	0.0158	-0.0317	-0.0009878563566287904	0.00020769418098732522	0.0005864306286700947	1.09633231	98.24355316	1.06211469	0.1371724655831059	0.0359519	0.0027
0.1061	-0.0168	-0.0028	-0.0010245082709206715	4.537856055185256e-05	0.0003717551306747922	1.07680523	96.49371338	1.05438907	0.1653821516361328	0.0354094	0.00221
0.0583	-0.0356	0.0107	-0.0009599310885968812	0.0001012290966156711	0.0001361356816555577	1.05360723	94.41490936	1.03765593	0.09790235837034218	0.0334576	0.00173
0.0033	-0.0039	-0.0126	-0.0008342673824532895	0.00017453292519943296	0.0004258603374866164	1.06357062	95.30773926	1.04013336	0.13443460952792063	0.0343869	0.00169
0.0631	-0.0121	-0.0148	-0.0008569566627292158	1.9198621771937625e-05	0.000460766922526503	1.08107197	96.87606049	1.05062824	0.08084650843716543	0.0354902	0.00207
0.0979	-0.0389	0.0255	-0.0011257373675363424	-6.45771823237902e-05	0.00015533430342749534	1.09134293	97.79644775	1.05737868	0.1347994564000931	0.0339192	0.00167
0.011	-0.0129	0.0239	-0.0009861110273767962	2.4434609527920616e-05	0.0003001966313430247	1.05635417	94.66106415	1.04219669	0.1331750229963393	0.0330732	0.00161
0.0032	0.0214	-0.0384	-0.001022762941668677	3.141592653589793e-05	0.00021118483949131387	1.08107054	96.87592316	1.05554087	0.11103225115757843	0.0359256	0.00241
0.086	-0.0157	0.0006	-0.001069886831472524	-0.00018151424220741024	2.96705972839036e-05	1.07714474	96.52413177	1.05293214	0.18097841503772824	0.0341412	0.00209
0.0274	-0.0104	0.0079	-0.0010611601852125523	-0.00010297442586766544	0.00013788101090755203	1.0374198	92.96434021	1.03001424	0.08097384381116822	0.033865	0.00189
-0.0283	0.0363	-0.0241	-0.0009634217471008699	-4.18879020478639e-05	0.00022165681500327985	1.09097433	97.76341248	1.05951242	0.14653003830136055	0.0359078	0.002
0.0471	0.0162	-0.0079	-0.0011431906600562858	-0.00014311699866353502	0.00022340214425527416	1.10886836	99.36692047	1.07024533	0.12583716694115404	0.0366184	0.00199
