trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0114404	0.01231
-0.0092	-0.0698	-0.0851	0.0005585053606381855	-0.00027925268031909274	-0.00026354471705114377	1.28471696	31.55836296	1.14667621	0.2191651379004211	0.00811678	0.00431
-0.0227	-0.0551	-0.0368	0.000645771823237902	-0.0007033676885537148	-0.0005305800926062762	1.12547183	27.64659309	1.06394091	0.11542084231947354	0.00875032	0.00297
-0.0247	-0.0653	-0.0491	0.0004380776422505767	-0.0008499753457212384	-0.0006422811647339132	1.01960957	25.04614449	1.02133653	0.04780014551412429	0.00843161	0.00229
-0.0169	-0.0811	-0.102	0.000710349005561692	-0.0007731808586334879	-0.0007539822368615504	1.07391047	26.38001633	1.04710782	0.09953834612632516	0.00744897	0.00242
-0.0149	-0.0525	-0.0673	0.0006073745796940267	-0.0009023352232810684	-0.0006981317007977319	1.15972078	28.48789978	1.06745149	0.0796989663289532	0.00900042	0.003
-0.0157	-0.073	-0.1022	0.0006824237375297829	-0.0008237954069413235	-0.0006440264939859076	1.16571724	28.6352005	1.08917831	0.06658470904936627	0.00774676	0.00266
-0.0222	-0.0614	-0.1196	0.0009564404300928925	-0.0008325220532012951	-0.0007190756518216638	1.11039054	27.27613068	1.06008607	0.05338962483294186	0.00785428	0.00294
-0.0255	-0.0389	-0.0752	0.0004991641660703782	-0.0009442231253289323	-0.0007696902001294993	1.10380018	27.11424065	1.05434875	0.10117959422289936	0.00816554	0.00284
-0.0295	-0.0847	-0.1572	0.0008866272600131194	-0.0009826203688728075	-0.0009861110273767962	1.10237241	27.07916832	1.07411624	0.16391405823669564	0.00760388	0.00199
-0.0277	-0.0708	-0.1615	0.0010314895879286487	-0.0009512044423369096	-0.0010262536001726657	1.0846138	26.64293861	1.05503716	0.03082104136236483	0.00729191	0.00208
