trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0137913	0.03372
0.0016	0.0056	0.0102	0.00010821041362364843	-8.726646259971648e-06	1.3962634015954635e-05	1.13449347	46.37082291	1.12624415	0.023944984694978737	0.0131078	0.0267
0.0017	-0.0348	0.0553	-0.0004310963252425994	6.9813170079773176e-06	0.00014486232791552936	1.12623453	46.0332489	1.12040697	0.11989571980168857	0.0127169	0.02116
0.004	0.0191	0.0539	-0.000317649923862968	-8.37758040957278e-05	0.0001012290966156711	1.10628366	45.2177887	1.10232892	0.06999183768915973	0.0126878	0.0211
0.0067	-0.0067	0.09	-0.0006579891280018621	-0.00014311699866353502	9.599310885968811e-05	1.11974871	45.76815414	1.11232546	0.0848458193231342	0.0126416	0.0187
0.012	-0.0201	0.0952	-0.0006754424205218055	-0.00014137166941154068	0.0002007128639793479	1.11967349	45.7650795	1.11115563	0.03009591884457988	0.0123241	0.01724
0.0126	-0.0012	0.1194	-0.0010367255756846318	-0.0001291543646475804	0.00019198621771937622	1.12271333	45.889328	1.11673417	0.06281135530933792	0.0117245	0.01558
0.0124	-0.0467	0.1819	-0.0015323990832510211	-0.00021118483949131387	0.0003089232776029963	1.11236656	45.46641541	1.11156358	0.14293205211468712	0.0109053	0.01082
0.0208	0.0314	0.1894	-0.002118829711921116	-0.0001064650843716541	0.00038048177693476387	1.14805031	46.92494202	1.13867815	0.13213544415607612	0.0112748	0.01142
0.0219	0.0073	0.2257	-0.0026878070480712674	-0.0002129301687433082	0.0003630284844148205	1.14431584	46.77229691	1.13265523	0.09614478565208745	0.0104645	0.00844
0.0229	-0.0007	0.2267	-0.0024748768793279594	-0.0002670353755551324	0.00039793506945470715	1.10138905	45.0177269	1.09241716	0.025097098029750943	0.0106102	0.00798
0.0212	0.0106	0.2577	-0.002642428487519415	-0.0002303834612632515	0.0003769911184307752	1.09038234	44.56784439	1.08696132	0.0552573736753634	0.00970405	0.0052
0.0248	0.0071	0.2527	-0.002707005669843205	-0.0002129301687433082	0.00038571776469074686	1.11291182	45.48870468	1.10062843	0.01663785605518524	0.0100417	0.00598
0.0266	0.0066	0.2964	-0.003008947630438224	2.6179938779914945e-05	0.0002617993877991494	1.16066015	47.44034958	1.13896062	0.07924852225049199	0.00924134	0.00385
0.0234	-0.032	0.3355	-0.003558726344816438	-0.000153588974175501	0.0003647738136668148	1.09125745	44.60361099	1.08909574	0.1225261026600648	0.00834829	0.00186
0.027	0.018	0.3422	-0.003309144261781249	-0.0002548180707911721	0.0003351032163829112	1.02626145	41.94699097	1.04362075	0.07932408884673818	0.00805777	0.00186
0.0284	-0.0006	0.3641	-0.0035622170033204267	-0.0002513274122871834	0.00038571776469074686	1.05012822	42.92251205	1.04826756	0.05725889741755008	0.0078187	0.00146
0.0291	-0.0132	0.3608	-0.0033772121026090277	-0.0002199114857512855	0.00038397243543875244	1.05528641	43.13334656	1.0508642	0.027508307824964537	0.00781357	0.00151
0.0294	-0.021	0.3714	-0.003691371367968007	-0.00017627825445142725	0.0004188790204786391	1.04865158	42.86215591	1.04640419	0.0383349540849362	0.00782955	0.00139
0.0319	-0.0127	0.3722	-0.0037943457938356727	-0.0001937315469713706	0.0004363323129985824	1.05432665	43.09412003	1.05429685	0.01849405054537759	0.00778824	0.00138
0.0295	-0.0077	0.3832	-0.0038152897448596045	-0.00020769418098732522	0.0004415683007545654	1.05853641	43.26618576	1.05983968	0.020407128639793475	0.00759864	0.00128
0.0288	-0.0272	0.3881	-0.0038467056713955023	-0.0002373647782712288	0.0004380776422505767	1.06171739	43.3962059	1.05814268	0.028328859116189518	0.00762254	0.00151
0.0299	0.0051	0.3892	-0.0035534903570604553	-0.00023387411976724014	0.00041538836197465044	1.06224191	43.41764069	1.05484678	0.05046976265574809	0.0077908	0.00151
0.0288	-0.0433	0.4357	-0.004440117617073575	-0.0003595378259108319	0.0004468042885105483	1.06700528	43.61233902	1.05869594	0.14818534463463043	0.00745469	0.00121
0.0316	0.0119	0.3778	-0.0036320301734002	-0.0002373647782712288	0.00040666171571467877	1.0798862	44.13882828	1.07509819	0.16442015320544232	0.00779873	0.00139
0.0349	-0.0316	0.4022	-0.0039706240482871	-0.00019024088846738194	0.000460766922526503	1.1033529	45.09799576	1.09384775	0.09319114857512853	0.00731647	0.00099
0.0377	-0.0212	0.4163	-0.003829252378875559	-0.0002600540585471551	0.0005113814708343385	1.06411064	43.49402237	1.05860423	0.04038996938995748	0.00717622	0.00078
0.0396	0.001	0.3788	-0.003506366467256608	-0.0003001966313430247	0.0004433136300065597	1.05532217	43.13480759	1.05213535	0.08315481626212995	0.00775486	0.00141
0.0369	-0.0591	0.4264	-0.0041329396687225725	-0.00028099800957108706	0.0004904375198104066	1.05863905	43.27038193	1.05601076	0.14504478565208742	0.0070287	0.00093
0.0393	-0.0342	0.4189	-0.003974114706791089	-0.0002897246558310587	0.00048345620280242926	1.04142952	42.56696701	1.04239694	0.043526646259971616	0.00727588	0.00095
0.0417	-0.0036	0.4173	-0.003673918075448063	-0.00023561944901923448	0.0004939281783143952	1.0508585	42.95236206	1.04655695	0.0528386906833408	0.00716108	0.00085
0.0427	-0.0607	0.4425	-0.004190535534038385	-0.00020769418098732522	0.0005026548245743669	1.03172398	42.1702652	1.03469798	0.11096346864411012	0.00640446	0.00059
0.0522	-0.0104	0.4333	-0.0034452799434368064	-0.00020420352248333657	0.0004520402762665313	1.03484619	42.29788208	1.03876271	0.10896803987067012	0.00669199	0.00072
0.0504	-0.035	0.46	-0.003867649622419434	-0.0002530727415391778	0.000439822971502571	1.05098474	42.95751953	1.04673296	0.07727281014012145	0.00629866	0.00069
0.0499	-0.0266	0.4795	-0.004312708581677988	-0.000153588974175501	0.0004310963252425994	1.04400492	42.67223358	1.04059925	0.0560634686441101	0.00612873	0.00049
0.05	0.0206	0.5048	-0.004150392961242515	0.00011170107212763708	0.000148352986419518	1.11804378	45.69846725	1.09720331	0.10811745027808464	0.00668377	0.00193
0.0412	-0.0471	0.5596	-0.005194099853935124	-6.981317007977319e-05	0.000296705972839036	1.09721828	44.84725189	1.0874674	0.1999787060659768	0.00527495	0.00044
0.0414	-0.0148	0.5702	-0.004710643651132695	-9.773843811168246e-05	0.0002565634000431664	1.01980364	41.68304062	1.02621764	0.07067620218151043	0.00507444	0.00041
0.0536	-0.006	0.5578	-0.0044628068973495	8.552113334772214e-05	0.0003665191429188092	1.02601302	41.93683624	1.02035509	0.06045260340591221	0.00528997	0.00036
0.052	-0.0755	0.5841	-0.004595451920501069	0.00014137166941154068	0.000439822971502571	1.05269778	43.0275383	1.03831219	0.11048996938995743	0.00510848	0.00044
0.0598	-0.0492	0.5699	-0.004071853144902771	0.00012217304763960306	0.0004974188368183839	1.0674777	43.63164902	1.04659638	0.07831966313430241	0.00556248	0.00075
0.0609	-0.065	0.6043	-0.004499458811641381	0.00015184364492350666	0.000486946861306418	1.05716252	43.2100296	1.03495992	0.074687411976724	0.00561088	0.00064
0.063	-0.0588	0.5953	-0.004621631859280984	0.00017453292519943296	0.0004939281783143952	1.02428794	41.86632919	1.01661551	0.02489218224617522	0.00547838	0.00065
0.0659	-0.0211	0.5815	-0.004475024202113462	0.00020420352248333657	0.00046425758103049166	1.0277133	42.0063324	1.02769917	0.06469744258676652	0.00536048	0.00046
0.0638	-0.0553	0.5898	-0.004960225734167885	0.0001972222054753592	0.0005148721293383271	1.04258513	42.61420059	1.03235288	0.07173986986851179	0.00467229	0.00026
0.0625	-0.015	0.5691	-0.0044645522266014955	0.0001832595714594046	0.0004956735075663896	1.01500869	41.4870491	1.00927746	0.08874173816771401	0.00480723	0.00034
0.0647	-0.0659	0.6142	-0.005181882549171164	0.00013962634015954637	0.0005724679946541401	1.03235471	42.19604492	1.01996896	0.14008790204786378	0.0045386	0.00022
0.065	-0.0353	0.612	-0.0049462631001519295	0.0001308996938995747	0.0005393067388662478	1.02067423	41.71862411	1.01157562	0.0469753675533549	0.00462747	0.00041
0.0645	-0.0224	0.6168	-0.004848524662040247	5.585053606381854e-05	0.0005201081170943102	1.02370679	41.84257507	1.014194	0.027799310885968837	0.00468326	0.00027
0.0639	-0.059	0.6362	-0.0052499503899989435	6.806784082777885e-05	0.0005340707511102648	1.00804651	41.20248413	1.00059389	0.07798028333693052	0.00448632	0.00022
0.0633	-0.0299	0.6265	-0.005014330940979708	6.981317007977319e-05	0.0004921828490624009	1.00238073	40.97090149	0.99914954	0.05336263401595472	0.0044564	0.00035
0.0606	-0.0743	0.6441	-0.0058468529941810045	3.839724354387525e-05	0.0005270894341022875	1.00542164	41.09519577	1.00077347	0.10964222823885408	0.00420821	0.00031
0.0592	-0.0162	0.6327	-0.005230751768227006	5.235987755982989e-05	0.0004625122517784973	1.00486028	41.07225037	0.99732882	0.10563205211468712	0.00437212	0.00027
0.0584	-0.0448	0.6349	-0.005318018230826722	5.4105206811824215e-05	0.00045553093477052	1.00487351	41.07278824	0.9958732	0.03639965544298437	0.00433922	0.00033
0.0579	-0.0616	0.6541	-0.005927138139772744	5.93411945678072e-05	0.000486946861306418	1.00137711	40.92988205	0.993462	0.06878859116189512	0.0041855	0.00022
0.0595	-0.0023	0.6446	-0.005220279792715039	0.000148352986419518	0.00045902159327450867	1.00524962	41.08816528	0.99883519	0.11158977034706632	0.00431234	0.00021
0.0642	-0.042	0.6815	-0.006014404602372459	9.773843811168246e-05	0.0005445427266222308	1.00269866	40.98389435	0.99832329	0.12781302456564894	0.00403434	0.00021
0.0646	-0.0197	0.6672	-0.005759586531581288	0.00020594885173533088	0.0005410520681182421	0.99205273	40.54875946	0.99023944	0.055325957145940394	0.00406605	0.00023
0.0689	-0.023	0.6765	-0.006108652381980153	0.00031415926535897925	0.0005969026041820607	1.00035942	40.88828278	0.9921054	0.042556340004316566	0.00402302	0.00023
0.0718	-0.0425	0.6676	-0.005970771371072602	0.0003316125578789226	0.0005881759579220891	1.00168812	40.94259262	0.99693393	0.039503047484373326	0.00407422	0.00031
0.073	-0.0268	0.6836	-0.0060580378336723174	0.0003054326190990077	0.0006335545184739417	1.0121094	41.36854553	1.0042163	0.040841248096574155	0.00420761	0.00024
0.077	-0.0531	0.6842	-0.006613052535806515	0.0003473205211468716	0.0006894050545377602	0.99692601	40.74794769	0.99250921	0.06353765701229405	0.00424677	0.00029
0.0831	0.0169	0.676	-0.005970771371072602	0.00040666171571467877	0.0006946410422937432	0.99785602	40.78596115	0.99554059	0.11964291735288513	0.00434452	0.00029
