trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0267739	0.00553
0.0106	0.0233	0.012	0.00028274333882308137	3.141592653589793e-05	4.71238898038469e-05	1.13268876	112.48182678	1.09657946	0.06396415775814131	0.0270432	0.0051
0.0126	-0.0184	0.0276	-5.93411945678072e-05	-4.363323129985824e-05	6.632251157578452e-05	1.06510198	105.77011871	1.05757776	0.08111661564992911	0.0271826	0.00453
0.0081	-0.0426	0.0132	-3.839724354387525e-05	-1.5707963267948964e-05	6.806784082777885e-05	1.09282577	108.52323151	1.07455111	0.04563072741539178	0.0264294	0.00413
-0.0129	-0.0161	0.0044	6.806784082777885e-05	-0.00022689280275926284	-0.00019024088846738194	1.10073352	109.30850983	1.08458347	0.08509793265790644	0.0262911	0.00391
-0.0204	-0.0713	-0.0054	6.632251157578452e-05	-0.00034557519189487725	-0.0001972222054753592	1.15285945	114.48487854	1.08641744	0.07887045176977929	0.0245208	0.00236
-0.0154	-0.0532	0.0203	-0.00023911010752322313	-0.00020594885173533088	-0.000158824961931484	1.16126072	115.31916809	1.09264407	0.07297281014012146	0.0272995	0.00401
-0.002	-0.0441	0.0191	-0.00015009831567151235	-0.00019896753472735358	-8.726646259971648e-05	1.05510437	104.7773056	1.04628467	0.03207758040957277	0.027329	0.00414
-0.0005	-0.0476	-0.0093	-0.0002600540585471551	-6.45771823237902e-05	-0.0001239183768915974	1.17738974	116.92086792	1.10401896	0.047449900478554345	0.0250273	0.00151
-0.0046	-0.0628	-0.0258	-0.0006387905062299246	-4.71238898038469e-05	-0.00014660765716752367	1.08546412	107.79217529	1.06418442	0.05674395102393194	0.0237213	0.00125
-0.006	-0.0583	-0.0025	-0.0007173303225696694	-0.00014311699866353502	-0.00012217304763960306	1.07331407	106.58561707	1.05269956	0.039148376736367674	0.024278	0.00127
-0.0031	-0.0499	-0.0161	-0.0004468042885105483	-0.00017627825445142725	-0.000158824961931484	1.07044482	106.3006897	1.05336437	0.04191696020694472	0.024227	0.00153
-0.0014	-0.0878	0.001	-0.0008028514559173916	-0.00016406094968746698	-4.71238898038469e-05	1.06379974	105.64080048	1.05002885	0.08069827721492204	0.0249261	0.00136
