trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0110009	0.01257
0.0091	0.0047	0.0075	0.0003316125578789226	-6.108652381980153e-05	9.075712110370512e-05	1.21867716	54.43808746	1.09056433	0.04547281014012146	0.0100994	0.00385
0.0153	0.0202	0.0225	0.0006771877497737998	-0.0003089232776029963	3.4906585039886588e-06	1.05897987	47.30443954	1.02924783	0.07073392041388943	0.00960034	0.00259
0.01	-0.037	0.0075	0.00042935099599060504	-0.00021642082724729686	-6.283185307179586e-05	1.06322587	47.49410629	1.04625764	0.09783308578573392	0.00905067	0.00293
0.0041	-0.0797	0.0276	-0.00037350045992678646	0.0001832595714594046	0.00016406094968746698	1.07398915	47.97490311	1.05068974	0.14017123286916777	0.00954151	0.00332
0.0105	-0.0431	0.014	0.0002722713633111154	-2.96705972839036e-05	-3.141592653589793e-05	1.04838359	46.83110428	1.02778429	0.10930894341022876	0.00915903	0.00266
-0.0022	-0.0124	-0.0002	0.0010576695267085637	-0.0002443460952792061	-4.886921905584123e-05	1.07781971	48.14601135	1.03843097	0.1084763476956347	0.00844151	0.00165
-0.0055	-0.0685	0.0345	8.901179185171081e-05	3.316125578789226e-05	0.00013264502315156904	1.06837237	47.72399902	1.03372073	0.16548396640656807	0.00887257	0.00238
-0.0022	-0.0392	0.0098	0.0004520402762665313	5.759586531581287e-05	0.00010471975511965978	1.04851949	46.83717346	1.01297534	0.07806941809873251	0.00906014	0.00254
-0.0094	0.0089	-0.0036	0.0012339477811599909	-0.000296705972839036	-0.0002303834612632515	1.07666469	48.09441757	1.03203347	0.142265627971561	0.00853962	0.00152
-0.0137	-0.0673	0.0267	0.0003700098014227979	-0.00015533430342749534	-5.93411945678072e-05	1.05263567	47.02104568	1.0241602	0.16961759579220892	0.00866991	0.00226
-0.0112	-0.0743	0.002	0.00021118483949131387	-2.6179938779914945e-05	-1.7453292519943296e-05	1.05901957	47.30621338	1.01700355	0.05069336143134643	0.00905532	0.00262
-0.014	-0.0065	-0.0008	0.001155407964820246	-0.00032812189937493397	-0.00028099800957108706	1.08006465	48.24629211	1.03191045	0.14888549014875477	0.00849527	0.00163
-0.0183	-0.0774	0.0197	0.000635299847725936	-0.0001884955592153876	-9.948376736367679e-05	1.05188715	46.98760605	1.02400338	0.1377624349730633	0.00848407	0.00191
-0.0218	-0.1156	0.0168	0.0001605702911834783	1.5707963267948964e-05	-3.4906585039886588e-06	1.05342257	47.05619431	1.01230768	0.0833463093942741	0.00868315	0.00225
-0.0125	-0.0744	0.0007	0.0003612831551628262	-5.585053606381854e-05	-2.96705972839036e-05	1.026757	45.86504745	1.00409368	0.08152256510455153	0.00875139	0.00215
-0.014	-0.0509	0.0037	0.0006387905062299246	-0.0001658062789394613	-8.028514559173915e-05	1.01987588	45.55767059	1.00023268	0.04990388211252883	0.00816691	0.00161
-0.016	-0.0544	0.0139	0.0007435102613495844	-0.00028274333882308137	-8.552113334772214e-05	0.99745148	44.55597687	0.98544166	0.027044640137963143	0.00788432	0.00144
-0.0209	-0.0578	0.0268	0.000853466004225227	-0.00034557519189487725	-5.061454830783555e-05	0.9849779	43.99878311	0.98944029	0.03158470904936626	0.00792474	0.00159
-0.0254	-0.0691	0.0377	0.000926769832808989	-0.0004415683007545654	-4.0142572795869576e-05	0.97991747	43.7727356	0.98265326	0.0356884456477708	0.00822347	0.00171
-0.0238	-0.0775	0.0439	0.0010419615634406148	-0.0005096361415823442	8.726646259971648e-06	0.97964239	43.76044846	0.97945977	0.027806439525762297	0.00822401	0.0016
-0.0231	-0.088	0.0481	0.0010297442586766543	-0.000577703982410123	5.4105206811824215e-05	0.97604394	43.59970474	0.97361823	0.02168318530717959	0.00806844	0.00169
-0.0239	-0.0906	0.0556	0.0010943214410004448	-0.0006771877497737998	0.00012740903539558605	0.97143936	43.39402008	0.97020989	0.022768238913561466	0.00801051	0.00181
-0.0241	-0.0959	0.0621	0.0010454522219446034	-0.0007417649320975902	0.00016231562043547262	0.97548479	43.57472992	0.97741373	0.01941764932097592	0.00773644	0.00152
-0.0279	-0.0911	0.0616	0.0011100294042683937	-0.0007731808586334879	0.0001884955592153876	0.98298198	43.90962601	0.97837105	0.01520865238198015	0.00747138	0.0016
-0.0296	-0.093	0.0599	0.0011327186845443199	-0.0008848819307611251	0.00016929693744344995	0.98658097	44.07039261	0.97930233	0.012979448708775048	0.00700963	0.00146
-0.0332	-0.0691	0.027	0.001933824811209717	-0.0009075712110370514	5.061454830783555e-05	1.00402021	44.84939957	1.00146047	0.10752388980384688	0.00682187	0.00124
-0.0409	-0.1045	0.0847	0.0010175269539126942	-0.0004904375198104066	0.00018500490071139895	1.06745863	47.68318176	1.0365572	0.17419109504636154	0.0072962	0.00177
-0.015	-0.0809	0.0298	0.0022113321622768156	-0.000609119908946021	0.0002129301687433082	1.09429407	48.88191605	1.05565037	0.17142064327658224	0.00721538	0.00154
-0.0164	-0.0729	-0.0049	0.0024242623310201236	-0.0008499753457212384	6.108652381980153e-05	1.12281108	50.15576935	1.07636018	0.0743814625221016	0.00698334	0.00155
-0.023	-0.1644	-0.0145	0.0017331119472303693	-0.0005480333851262194	0.00016231562043547262	1.11456752	49.78752899	1.04970817	0.1624160720500222	0.00735635	0.00146
-0.0162	-0.1218	-0.0354	0.0024434609527920616	-0.0006981317007977319	0.00010297442586766544	1.09064317	48.71883392	1.02970718	0.11628942579005055	0.00706667	0.00129
-0.0137	-0.0736	-0.0405	0.003120648702565861	-0.0010192722831646884	-1.7453292519943296e-05	1.07998991	48.24295425	1.02462416	0.11173780252641824	0.00661761	0.00123
-0.0118	-0.1832	-0.0196	0.002001892652037496	-0.000661479786505851	0.0001186823891356144	1.0884217	48.61959839	1.03324306	0.213034211442138	0.00670314	0.00105
-0.0105	-0.1687	-0.0419	0.0021275563581810873	-0.0005183627878423159	0.000307177948351002	1.07704914	48.11159134	1.00637634	0.06096381320112572	0.00728673	0.00171
0.0003	-0.0839	-0.0388	0.003157300616857742	-0.00091106186954104	0.00012042771838760874	1.14067388	50.95369339	1.04308316	0.1791596785169386	0.00680774	0.00116
-0.0089	-0.1467	-0.0173	0.002366666465704311	-0.0008395033702092724	0.00019547687622336493	1.06573403	47.60614395	1.02284506	0.14036209041604772	0.00667888	0.00119
-0.0119	-0.1832	-0.0209	0.0019198621771937623	-0.000577703982410123	0.00034906585039886593	1.09346092	48.84470367	1.03153228	0.08620963252425996	0.00714135	0.00152
-0.0013	-0.1091	-0.013	0.003113667385557884	-0.00091106186954104	0.00015009831567151235	1.12354827	50.18869781	1.05005636	0.1789065315111196	0.00710386	0.00141
-0.0132	-0.1516	-0.0211	0.0028623399732707008	-0.0008691739674931761	0.00017627825445142725	1.03466761	46.21841431	1.0040567	0.0784697626557481	0.00682342	0.00121
-0.0179	-0.1824	-0.0462	0.002804744107954888	-0.0009494591130849152	0.00012217304763960306	1.03845954	46.38780212	0.99209041	0.07019931088596879	0.00645036	0.00103
-0.0182	-0.1936	-0.0585	0.002960078411382383	-0.0009424777960769379	9.42477796076938e-05	1.00212097	44.7645607	0.98128756	0.03331204442336907	0.00680459	0.00088
-0.0199	-0.1962	-0.056	0.003001966313430246	-0.0010245082709206715	6.981317007977319e-05	0.96926737	43.29699707	0.96708518	0.01421764932097588	0.00667691	0.00086
-0.0244	-0.1926	-0.0528	0.0029530970943744054	-0.0011047934165124105	3.316125578789226e-05	0.95710564	42.75373459	0.9588124	0.019590313946973057	0.00660694	0.00095
-0.0247	-0.185	-0.047	0.0029722957161463434	-0.0011641346110802177	1.3962634015954635e-05	0.97040528	43.34782791	0.96177068	0.01858692190558413	0.0066542	0.00087
-0.0275	-0.1786	-0.0494	0.00301941960595019	-0.0011693705988362008	-3.4906585039886588e-06	0.95947295	42.85948181	0.96248443	0.015090658503988632	0.00672978	0.00089
-0.0319	-0.176	-0.0487	0.0029897490086662863	-0.0012793263417118436	-9.250245035569947e-05	0.96889448	43.2803421	0.96479569	0.01913190660056288	0.00647402	0.00082
-0.0371	-0.167	-0.0458	0.002946115777366428	-0.0013718287920675431	-0.00017802358370342162	0.96579361	43.14182663	0.96377562	0.028182840750163973	0.0061658	0.00068
-0.0454	-0.1616	-0.0461	0.002900737216814576	-0.0013718287920675431	-0.000296705972839036	0.96987516	43.32414627	0.9652069	0.02220304748437336	0.00605083	0.00077
-0.0526	-0.1582	-0.043	0.002879793265790644	-0.0015166911199830724	-0.00038397243543875244	0.97880352	43.72297668	0.9702468	0.026353637076958866	0.00558907	0.00062
-0.0586	-0.1647	-0.0471	0.0028693212902786776	-0.0016283921921107093	-0.00047123889803846896	0.978122	43.69253159	0.96345769	0.027071975511966002	0.00523484	0.00059
-0.0642	-0.168	-0.0488	0.0028763026072866553	-0.0017610372152622785	-0.0005497787143782138	0.98476726	43.98937607	0.9678806	0.02150830782496458	0.00517076	0.00062
-0.0633	-0.1767	0.0401	0.001637118838370681	-0.0013735741213195373	-0.00034208453339088857	1.19454229	53.35998917	1.04165315	0.19021705219230203	0.00597858	0.00133
-0.0556	-0.1283	0.0368	0.0016964600329384882	-0.0013788101090755204	-0.0001361356816555577	1.00612569	44.94345093	0.99887431	0.07292630170295605	0.00633866	0.00149
-0.0461	-0.059	0.0165	0.0026249751949994717	-0.001858775653373961	-0.00040666171571467877	1.06753695	47.68667984	1.04182845	0.18305033702092727	0.00669187	0.00183
-0.048	-0.119	0.0259	0.00204378055408536	-0.0018238690683340744	-0.0003769911184307752	1.06675589	47.65179062	1.03440479	0.10358859116189512	0.00751525	0.0022
-0.0392	-0.155	0.0216	0.0016598081186466073	-0.0014137166941154068	2.268928027592628e-05	1.0499891	46.9028244	1.02476556	0.10879026041820608	0.00729561	0.00167
-0.0339	-0.0895	0.0069	0.0029408797896104456	-0.0018081611050661253	-0.0002024581932313422	1.05170107	46.97929764	1.01940252	0.1805331777710913	0.00674802	0.00157
-0.0409	-0.1234	0.0131	0.0025324727446437724	-0.0018308503853420514	-0.00040666171571467877	1.02954364	45.98952866	1.00559411	0.0788649923862968	0.00659925	0.00135
-0.0414	-0.2004	-0.01	0.0018186330805780916	-0.0015358897417550098	-0.0003385938748868999	1.17045319	52.28393173	1.03287708	0.15444340742402507	0.00614053	0.00085
-0.0423	-0.1136	-0.021	0.0026249751949994717	-0.0017156586547104257	-0.0005183627878423159	1.10503209	49.36158371	1.02656101	0.15699399701661057	0.00592369	0.00093
-0.0517	-0.1193	-0.017	0.0028099800957108703	-0.00182212373908208	-0.0005707226654021458	1.0450139	46.68058014	1.00101618	0.036291493132144144	0.00559413	0.00082
-0.0467	-0.2174	-0.0469	0.0020699604928652747	-0.0014782938764391971	-0.0004572762640225143	1.17927194	52.67786407	1.03059753	0.19286479334340553	0.00547379	0.0008
-0.0455	-0.1511	-0.0554	0.0022776546738526	-0.001593485607070823	-0.0004537856055185257	1.06896043	47.75026703	1.02735513	0.092318828506147	0.0060994	0.00133
-0.0491	-0.0697	-0.0421	0.0031031954100459182	-0.0018692476288859267	-0.0005846852994181004	1.20358479	53.7639122	1.05682142	0.15991012259539983	0.00552613	0.00062
-0.0646	-0.1314	-0.066	0.003333578871309169	-0.0020298179200694054	-0.000710349005561692	1.04103243	46.50273132	0.99055166	0.12693087292951605	0.00501353	0.00057
-0.0678	-0.169	-0.0523	0.0031817352263856626	-0.0020717058221172693	-0.0008377580409572782	0.9899013	44.21871185	0.9747525	0.07055702911834785	0.0049386	0.0006
-0.0661	-0.1936	-0.0509	0.0031415926535897933	-0.0019617500792416262	-0.0008813912722571365	0.97291511	43.45994186	0.9642271	0.03738657734856851	0.00527918	0.00055
-0.0714	-0.2097	-0.0534	0.0031363566658338103	-0.0019617500792416262	-0.000874409955249159	0.96835762	43.2563591	0.96372614	0.02451086523819803	0.00523198	0.00053
-0.0791	-0.2061	-0.0492	0.0030665434957540365	-0.0020472712125893483	-0.000926769832808989	0.95773345	42.78178024	0.95731156	0.025884709049366284	0.00516999	0.00052
-0.0855	-0.2022	-0.0485	0.0029618237406343773	-0.0021101030656611444	-0.0009442231253289323	0.96366632	43.04679871	0.95461124	0.020250245035569943	0.00511396	0.00049
-0.0914	-0.1826	-0.0499	0.0029880036794142917	-0.0021799162357409173	-0.0009407324668249436	0.96250957	42.99512863	0.958117	0.031874188368183766	0.00485665	0.00039
-0.093	-0.1712	-0.0523	0.002981022362406315	-0.0021886428820008896	-0.0009930923443847736	0.96427011	43.07377243	0.96148916	0.01880339204138898	0.00475103	0.00042
-0.1009	-0.1559	-0.0537	0.002921681167838507	-0.002237512101056731	-0.0010978120995044332	0.97174519	43.40768051	0.96409353	0.035246508437165404	0.00455362	0.0005
-0.109	-0.1483	-0.0502	0.0027384215963791032	-0.002380629099720265	-0.0012217304763960308	0.97739667	43.66013336	0.9668724	0.041714747350726805	0.00424933	0.00031
-0.1143	-0.1521	-0.0448	0.0026057765732275338	-0.0024556782575560214	-0.001356120828799594	0.96999043	43.32929611	0.96492513	0.03160422666954448	0.00419229	0.00038
-0.1215	-0.1617	-0.0398	0.0023596851486963333	-0.0024766222085799536	-0.001467821900927231	0.97941917	43.75047684	0.96856558	0.04073682238413848	0.00420773	0.00033
-0.136	-0.1915	-0.0421	0.0022322761133007477	-0.002235766771804736	-0.001595230936322817	0.98291332	43.90655899	0.97571943	0.07138367537831944	0.00455624	0.00036
-0.1231	-0.219	-0.0543	0.0017226399717184032	-0.0019373154697137059	-0.0014067353771074296	1.03481293	46.22490692	0.99595099	0.10242915014443812	0.00484437	0.0005
-0.1189	-0.123	-0.0676	0.00239459173373622	-0.002331759880664424	-0.0015969762655748114	1.02680957	45.86739731	1.00661427	0.1763318530717958	0.00474739	0.00069
-0.1261	-0.1265	-0.0623	0.002356194490192345	-0.002581341963699613	-0.0017610372152622785	1.03112364	46.06010818	1.01232264	0.03860201381332656	0.00542265	0.0008
-0.1234	-0.2101	-0.0648	0.0017470745812463236	-0.0023788837704682713	-0.0017016960206944712	1.03799868	46.3672142	1.01176162	0.13234596483725852	0.00569314	0.00084
-0.1156	-0.1496	-0.0734	0.002129301687433082	-0.002567379329683659	-0.0017418385934903407	1.02028501	45.57594681	1.00012256	0.1074432619099008	0.0051738	0.00065
-0.127	-0.1282	-0.0526	0.002398082392240209	-0.0027925268031909274	-0.0018133970928221085	1.02066755	45.59303665	0.99752907	0.08187433388230816	0.00515735	0.0005
-0.1271	-0.2315	-0.0602	0.0016196655458507376	-0.0024975661596038853	-0.001762782544514273	1.05370891	47.0689888	1.01751847	0.16719960191421743	0.00558811	0.00059
-0.1217	-0.1767	-0.0663	0.0020245819323134223	-0.0026912977065752563	-0.0017418385934903407	1.048684	46.84452438	1.0117125	0.09727959422289939	0.00507498	0.00069
-0.1271	-0.1201	-0.0418	0.0023509585024363614	-0.002897246558310587	-0.0018971728969178364	1.06189239	47.43453979	1.00437543	0.12088298626428826	0.00438839	0.00037
-0.1292	-0.2261	-0.0463	0.0017924531417981763	-0.0025481807079117207	-0.001785471824790199	1.02930164	45.9787178	0.99802842	0.16356361415823445	0.00465941	0.00037
-0.1249	-0.1884	-0.059	0.0018273597268380628	-0.0026319565120074486	-0.0016231562043547262	1.0268079	45.86732101	0.99730099	0.06874990047855435	0.0046621	0.00067
-0.1228	-0.1154	-0.0341	0.002363175807200322	-0.0030997047515419294	-0.0017139133254584315	1.08272612	48.36517715	1.01158475	0.15471607205002225	0.00408107	0.00028
-0.1267	-0.2113	-0.0214	0.0014940018397071458	-0.002717477645355171	-0.0016441001553786586	1.04191911	46.54233932	1.00530129	0.17856071218798536	0.00432104	0.00029
-0.124	-0.1863	-0.0458	0.0016859880574265225	-0.0026563911215353696	-0.0015219271077390555	1.05119145	46.95653152	1.00741127	0.07086228945893908	0.0048359	0.00069
-0.1174	-0.1327	-0.0617	0.0024923301718479027	-0.002993239667170275	-0.0017016960206944712	1.0874064	48.57424927	1.02311559	0.14224797865058503	0.00440663	0.00031
-0.1254	-0.1822	-0.0599	0.002584832622203602	-0.003115412714809878	-0.0017435839227423352	0.96962994	43.31319427	0.96938044	0.07212817000215829	0.00412303	0.00028
-0.1363	-0.2064	-0.0475	0.002436479635784084	-0.0032009338481576006	-0.0019163715186897737	0.9694671	43.30591965	0.95988739	0.06783308578573395	0.00428027	0.00036
-0.1461	-0.2258	-0.0227	0.0022148228207808044	-0.0033684854563490563	-0.002045525883337354	0.97849834	43.70934296	0.96569457	0.07991813939211577	0.00429451	0.00029
-0.1551	-0.2294	-0.0081	0.0019355701404617114	-0.003569198320328404	-0.002190388211252884	0.96186286	42.96623993	0.95793779	0.05844139361069849	0.00442725	0.00031
-0.163	-0.2215	-0.0043	0.0017418385934903407	-0.0036599554414321086	-0.002281145332356589	0.95676315	42.73843765	0.95466656	0.03836228945893903	0.00444865	0.00024
-0.168	-0.2145	-0.0038	0.001811651763570114	-0.003733259270015871	-0.0023125612588924867	0.94802511	42.3481102	0.95094448	0.02122664625997168	0.00437415	0.00026
-0.1722	-0.2089	-0.0049	0.0018762289458939042	-0.003755948550291797	-0.002363175807200322	0.94832915	42.36169052	0.9520745	0.017794050545377568	0.00444418	0.00035
-0.1772	-0.1991	-0.0016	0.0019408061282176943	-0.0038117990863556156	-0.0024434609527920616	0.95265836	42.5550766	0.95087155	0.028135643198967403	0.00450659	0.00022
-0.1794	-0.1947	-0.0005	0.002061233846605303	-0.0037803831598197174	-0.0024923301718479027	0.95164305	42.50972366	0.95089773	0.017735643198967414	0.00453436	0.00028
-0.1826	-0.1928	0.002	0.002082177797629235	-0.003682644721708035	-0.0024836035255879313	0.96119505	42.936409	0.95360169	0.013970451769779296	0.00451595	0.00034
