trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0118274	0.02349
0.0001	-0.0141	0.0169	9.075712110370512e-05	-6.45771823237902e-05	-0.00010297442586766544	1.47587872	44.56256866	1.15060464	0.04401543646475804	0.00495285	0.00487
0.0067	-0.0304	0.0402	0.00014660765716752367	-0.0002129301687433082	-0.0002617993877991494	1.10620129	33.40055847	1.06754757	0.06435142422074103	0.00439268	0.00112
0.0068	-0.0723	0.0442	0.0001256637061435917	-0.00021118483949131387	-0.0002600540585471551	1.07309103	32.40082932	1.03832443	0.04722173047639605	0.00437695	0.00073
0.0116	-0.0819	0.0738	0.00019547687622336493	-0.00026878070480712676	-0.00027925268031909274	1.08498216	32.75986862	1.04809019	0.05133038285837619	0.00455678	0.00097
0.0139	-0.0948	0.0862	-0.00019896753472735358	-0.00020769418098732522	-0.000158824961931484	1.05040467	31.71583748	1.03354873	0.05639793265790642	0.00437027	0.00075
0.0139	-0.0922	0.1128	-0.0006928957130417488	-0.0002303834612632515	-0.00022863813201125715	0.99552953	30.05894279	1.0028736	0.05852153143350472	0.00427526	0.00068
0.018	-0.1018	0.1053	-0.0006911503837897545	-0.0002548180707911721	-0.00022863813201125715	1.05408442	31.82694435	1.03069662	0.02250899693899573	0.00392288	0.0006
0.0165	-0.1117	0.0631	-0.0008377580409572782	-0.0002530727415391778	-0.00020943951023931956	1.07557654	32.47587585	1.03641945	0.061977580409572776	0.00401247	0.00057
0.0233	-0.0617	0.0994	-0.0006126105674500097	-0.0003089232776029963	-0.0002251474735072685	1.10214305	33.27802277	1.05830062	0.10793529864195175	0.00421977	0.0008
0.0251	-0.0804	0.121	-0.0008674286382411819	-0.00011344640137963142	-0.00017278759594743863	1.09510505	33.06551743	1.04659287	0.06723274122871835	0.00401181	0.00051
0.0279	-0.0849	0.1256	-0.0007330382858376184	-0.00013264502315156904	-6.981317007977319e-05	1.02548552	30.9634304	1.01447676	0.02472817000215832	0.00384104	0.00054
0.0115	-0.108	0.123	-3.490658503988659e-05	-0.00017104226669544429	-0.0002373647782712288	1.0111239	30.52979851	1.01435435	0.08730402762665312	0.00386626	0.00058
0.0021	-0.0803	0.0799	0.0003298672286269283	-6.283185307179586e-05	-0.0002513274122871834	1.04491436	31.55006599	1.04231487	0.10454734306532087	0.00393999	0.00073
0.0026	-0.1152	0.101	0.0001675516081914556	-6.45771823237902e-05	-0.00018151424220741024	1.05499208	31.85434914	1.02912088	0.06819370598836201	0.00375617	0.00057
0.0134	-0.1235	0.1232	4.537856055185256e-05	-9.075712110370512e-05	-0.00011170107212763708	1.07659423	32.50660324	1.03036005	0.05220830782496456	0.00402927	0.00078
0.0171	-0.128	0.1313	-7.330382858376184e-05	-0.00015184364492350666	-5.759586531581287e-05	1.05442929	31.83735847	1.02881939	0.027993705988362007	0.00393057	0.00055
0.0205	-0.1474	0.1397	-0.0002548180707911721	-0.00015707963267948963	-3.4906585039886588e-06	0.96434921	29.11748695	0.97681707	0.04324277183876086	0.003712	0.00063
0.0233	-0.1417	0.1482	-0.00041189770347066176	-0.0001012290966156711	8.37758040957278e-05	0.97025841	29.29590797	0.98541854	0.032009831567151245	0.00376511	0.00063
0.0097	-0.1505	0.088	-0.0005235987755982988	0.00013264502315156904	0.00021118483949131387	1.08894539	32.87953568	1.05472862	0.10624921136452316	0.00382763	0.00057
0.0059	-0.0862	0.0554	-0.00041189770347066176	0.0002181661564992912	0.00028797932657906436	1.11384642	33.63139343	1.06188695	0.11440083462815547	0.00424373	0.00106
0.013	-0.0324	0.1165	-0.00012740903539558605	0.0002670353755551324	0.0003089232776029963	1.10406053	33.33591843	1.06067646	0.13971509190774242	0.00373983	0.0006
-0.0005	-0.0976	0.0705	-0.0002024581932313422	0.00018500490071139895	0.00026878070480712676	1.06937122	32.28851318	1.05028563	0.13456111027376796	0.00385499	0.00069
-0.0025	-0.0819	0.0362	-0.0003874630939427412	0.00019024088846738194	0.0003001966313430247	1.04165173	31.45155334	1.02275078	0.06308284075016399	0.0040713	0.00086
-0.0015	-0.0263	0.0919	5.93411945678072e-05	0.00022340214425527416	0.00029845130209103034	1.07381046	32.4225502	1.04675353	0.13638554367752173	0.00404167	0.00062
-0.0038	-0.0903	0.0788	3.665191429188092e-05	0.00021642082724729686	0.000312413936106985	1.07685256	32.5144043	1.04858275	0.08158166156499291	0.00420696	0.00079
-0.0058	-0.1234	0.0153	-0.00038571776469074686	0.00023561944901923448	0.0003193952531149623	1.18376303	35.74245071	1.0974615	0.12102748088812712	0.00869298	0.00118
0.0033	-0.0572	0.0881	-2.094395102393195e-05	0.0002705260340591211	0.00042236967898262774	1.10722792	33.4315567	1.0662501	0.17323274122871837	0.00401366	0.00061
-0.0019	-0.1356	0.0895	0.000158824961931484	0.000291469985083053	0.0003647738136668148	1.05646074	31.8986969	1.03383135	0.09791543646475805	0.00377727	0.00052
-0.0203	-0.0847	0.0463	0.0005637413483941684	0.000307177948351002	0.00039793506945470715	1.01717889	30.7126236	1.02126771	0.13518928027592628	0.00402337	0.00069
-0.0161	-0.1442	0.0628	0.0001012290966156711	0.0003385938748868999	0.00040317105721069014	1.02077079	30.82107544	1.01287611	0.1051582083035189	0.00372607	0.00041
-0.0121	-0.1188	0.0249	-0.00016929693744344995	0.0003385938748868999	0.0004049163864626844	1.06649375	32.20162964	1.04012775	0.08091356816555574	0.00426567	0.00127
