trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00990385	0.00165
-0.0022	-0.004	-0.035	-1.0471975511965975e-05	-5.235987755982988e-06	-0.00011170107212763708	1.38110411	54.96384048	1.07880343	0.047570451769779296	0.0143453	0.0018
-0.0221	-0.0041	-0.0089	9.42477796076938e-05	-5.759586531581287e-05	-5.4105206811824215e-05	1.01135576	40.24895477	1.00436081	0.05683377489976513	0.0139674	0.00164
0.0085	-0.0008	-0.0355	-0.00029845130209103034	-8.203047484373349e-05	-0.00017802358370342162	1.00720024	40.0835762	1.00394075	0.08755260340591212	0.014302	0.00188
-0.0509	-0.0097	-0.0264	0.00011519173063162575	4.18879020478639e-05	-0.00010297442586766544	1.00139797	39.85266113	1.00049632	0.10803052837250048	0.0143456	0.00175
0.0228	0.0051	-0.0175	-0.0003473205211468716	-0.00011170107212763708	-7.504915783575618e-05	1.00073302	39.82619858	0.99985609	0.12960132469929536	0.0142626	0.00177
-0.032	-0.0037	-0.0376	1.5707963267948964e-05	-4.363323129985824e-05	-0.0001884955592153876	1.01826751	40.52402115	1.00933494	0.11092713633111152	0.0143981	0.00185
-0.0185	0.0011	-0.0153	-2.96705972839036e-05	-6.632251157578452e-05	-0.00023561944901923448	1.00174463	39.86645889	0.99897302	0.04635958653158129	0.0142492	0.00176
-0.0054	0.002	-0.0374	-9.075712110370512e-05	-0.0001064650843716541	-0.00023212879051524583	1.0034306	39.9335556	1.00326197	0.04133598775598298	0.0144107	0.00172
-0.058	0.0031	-0.0303	0.00027750735106709843	-4.537856055185256e-05	-6.108652381980153e-05	0.9945758	39.5811615	0.995767	0.09081966313430247	0.01433	0.00173
0.0106	0.0125	-0.0294	-0.0002722713633111154	-0.0002495820830351891	-0.00032637657012293966	1.02600336	40.83188248	1.01421452	0.12986361415823444	0.0144246	0.00176
-0.0405	0.0069	-0.0414	-0.000317649923862968	-0.0001937315469713706	-0.0004572762640225143	1.01978588	40.58444595	1.01484015	0.08030643952576227	0.0145445	0.00176
-0.0537	0.0039	-0.0129	1.3962634015954635e-05	-0.00015707963267948963	-0.00037524578917878077	1.00869906	40.14322662	1.00506665	0.06721474735072686	0.0143729	0.00176
-0.0041	0.0221	-0.03	-0.0005969026041820607	-0.00030368728984701333	-0.0006178465552059926	1.01883864	40.54674911	1.01084827	0.13490368306963754	0.0146301	0.00177
-0.0788	0.0177	-0.0399	-0.00019198621771937622	-0.0001675516081914556	-0.0005393067388662478	1.02712965	40.87670517	1.01043888	0.11997959422289936	0.0143573	0.00165
-0.0338	0.0195	0.0096	-0.0004677482395344803	-0.00027576202181510406	-0.0005427973973702365	1.52592754	60.72737885	1.11136116	0.11567315469713704	0.0105776	0.00064
-0.0036	0.0272	-0.0024	-0.0009354964790689606	-0.00042760566673861073	-0.0008168140899333463	1.42471385	56.69937515	1.10344691	0.09458042885105485	0.0127395	0.00156
-0.0855	0.0191	0.0036	-0.0005218534463463045	-0.000317649923862968	-0.0008220500776893293	1.23955476	49.33059311	1.03298529	0.12244173816771407	0.0115432	0.00113
-0.041	0.0286	0.0179	-0.0007208209810736582	-0.00029321531433504735	-0.0007452555906015787	1.3049854	51.93453979	1.08367475	0.08330983156715124	0.00972384	0.00046
-0.0244	0.0394	-0.0263	-0.0008621926504851988	-0.0003193952531149623	-0.0008395033702092724	1.57838488	62.81502533	1.12100172	0.08468996938995747	0.0137877	0.00172
-0.0852	0.0338	-0.0098	-0.0001937315469713706	-0.0003054326190990077	-0.0006789330790257941	1.01816249	40.51984024	1.00867859	0.12504970143566305	0.0144173	0.0017
-0.0299	0.0367	0.0128	-0.0005567600313861911	-0.00037350045992678646	-0.0006789330790257941	1.54450524	61.46671677	1.11047972	0.10235481626212996	0.00957233	0.0005
-0.0248	0.0392	-0.0328	-0.000757472895365539	-0.00031415926535897925	-0.0007958701389094143	1.55168498	61.75244904	1.12154833	0.07204955592153876	0.0139749	0.00179
-0.0912	0.0292	-0.005	-0.0003159045946109737	-0.00030368728984701333	-0.0007504915783575615	1.02878916	40.94274902	1.0136811	0.1290709418409192	0.0132978	0.00166
-0.0234	0.044	-0.0239	-0.0007347836150896127	-0.0003944444109507184	-0.0008168140899333463	1.03642368	41.24658203	1.01388337	0.13029793265790643	0.0139793	0.00169
-0.0574	0.0334	-0.0323	-0.000609119908946021	-0.000317649923862968	-0.0009075712110370514	1.02340305	40.72840118	1.01354064	0.06766076571675236	0.0140289	0.00175
