trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0101571	0.00188
-0.0203	0.0006	0.0015	0.0004415683007545654	-0.0001291543646475804	2.6179938779914945e-05	1.11672807	56.78141022	1.04466685	0.05224513020910304	0.00945622	0.00116
0.0068	-0.0014	0.0101	-3.316125578789226e-05	-0.00013788101090755203	0.00012042771838760874	1.00378132	51.03849411	1.01317612	0.06658519912050616	0.00896484	0.00104
-0.0059	0.0086	0.0082	-3.839724354387525e-05	4.537856055185256e-05	0.00039095375244672985	0.99132365	50.40506744	1.00328338	0.04755107966372544	0.00880152	0.00079
-0.0062	0.0136	0.0665	-0.00024085543677521747	-0.0001186823891356144	0.0003682644721708035	0.98921949	50.29807663	1.00568415	0.08306042115973677	0.00806582	0.00072
0.0109	0.0353	0.1305	-0.0003193952531149623	9.42477796076938e-05	0.00042411500823462205	0.98872483	50.27292633	0.99930741	0.12016602605734358	0.00703043	0.00073
0.0069	0.0497	0.1188	-3.665191429188092e-05	0.00019024088846738194	0.0005009094953223725	0.98224449	49.94342422	0.99120393	0.052876546738526	0.00735581	0.0007
0.0257	0.0422	0.1409	-0.0003298672286269283	1.9198621771937625e-05	0.00033684854563490564	0.98278713	49.97101593	0.99510348	0.07981592653589792	0.0073809	0.00061
0.0266	0.034	0.1817	-0.000593411945678072	0.0004049163864626844	0.0007225663103256524	0.99039286	50.35773849	1.0013707	0.10164901232163188	0.00663328	0.0005
0.0331	0.0072	0.157	-0.0005497787143782138	0.00024085543677521747	0.0006230825429619757	1.01376307	51.54602432	1.01287573	0.0733588974175501	0.00728017	0.00061
-0.0054	0.0068	0.1171	-0.000322885911618951	-0.00014486232791552936	0.0007661995416255106	1.02068698	51.89808273	1.02040038	0.11658637830567724	0.00770938	0.00081
0.0181	0.0242	0.1431	-0.000645771823237902	0.000317649923862968	0.0008464846872172499	0.98893034	50.28337479	1.00108518	0.1101841654494594	0.00705141	0.00056
0.0318	0.0329	0.1415	-0.0008395033702092724	0.00033335788713091696	0.000705113017805709	0.9675895	49.19827271	0.98355471	0.04154055898254304	0.00714302	0.00064
0.0125	0.0503	0.1399	-0.0005602506898901797	0.0002024581932313422	0.0005305800926062762	0.99383783	50.53290176	1.00006186	0.067534264970905	0.00746709	0.00067
0.0533	0.061	0.1233	-0.0007801621756414653	0.00021642082724729686	0.0005899212871740833	0.99142194	50.4100647	0.99859329	0.08276076571675235	0.00733876	0.0007
0.0572	0.0645	0.1317	-0.000947713783832921	0.00020943951023931956	0.0007173303225696694	0.97754228	49.70433426	0.99221884	0.030897098029750963	0.0073207	0.00062
0.0075	0.0817	0.1239	-0.0005096361415823442	0.00013962634015954637	0.0003054326190990077	0.99556321	50.62063217	1.01117635	0.1206894257900506	0.00771189	0.00087
0.0357	0.0968	0.1246	-0.0007923794804054256	-0.00020420352248333657	9.773843811168246e-05	0.98840714	50.25677109	1.00369377	0.08571336912266447	0.00778407	0.00096
0.0269	0.0962	0.1405	-0.0007068583470577034	-0.00015009831567151235	0.0001186823891356144	0.98998219	50.33685684	0.99724895	0.033328514559173926	0.00735933	0.00069
0.0319	0.065	0.1329	-0.00039095375244672985	0.00029496064358704166	0.0004328416544945937	0.99853247	50.77160645	1.00649956	0.09755614096142537	0.00755692	0.00077
0.0725	0.044	0.1922	-0.0010943214410004448	0.0005358160803622592	0.0009634217471008699	1.01890743	51.8075943	1.0164529	0.19464016089676045	0.00706702	0.0008
0.1196	0.0503	0.1563	-0.0005201081170943102	0.0012339477811599909	0.0019792033717615696	1.07260513	54.53792191	1.06508427	0.20370633246822836	0.00975007	0.00193
0.0886	0.0146	0.161	-0.00040666171571467877	0.0015707963267948967	0.0017086773377024485	1.05150449	53.46503448	1.0422909	0.10744104905368292	0.0100408	0.00226
