trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0309755	0.00171
-0.0835	0.0008	0.007	-0.00014311699866353502	0.00035430183815484887	0.00029321531433504735	1.01163006	95.42358398	1.02728581	0.13083170755767157	0.0298065	0.0012
-0.0349	-0.0073	0.0232	0.00011170107212763708	3.665191429188092e-05	0.000312413936106985	0.99195611	93.56781006	1.0070049	0.10248333082130386	0.0299787	0.00124
-0.0326	-0.0009	0.0405	0.0006475171524898963	-0.00024609142453120044	0.00013439035240356338	1.05085015	99.12307739	1.04326401	0.07582915014443811	0.0306218	0.00188
-0.1067	0.0095	0.0412	-0.0003193952531149623	-1.0471975511965975e-05	0.00014311699866353502	1.07334113	101.24458313	1.0516582	0.1457629250442032	0.0289311	0.00108
-0.0131	-0.0135	0.0822	8.726646259971648e-05	-0.0002478367537831948	0.00020943951023931956	1.02693319	96.86707306	1.02699762	0.19311745027808463	0.0279777	0.00118
-0.0095	-0.0177	0.1313	-1.9198621771937625e-05	-0.0005707226654021458	6.283185307179586e-05	1.01433015	95.67827606	1.01788171	0.08569793265790643	0.0259688	0.00081
-0.0781	0.0173	0.0463	-5.93411945678072e-05	-0.000322885911618951	0.00042236967898262774	1.0554738	99.55921173	1.03523196	0.2209758576244948	0.0294517	0.00086
-0.0032	0.0073	0.0711	6.9813170079773176e-06	-0.0002722713633111154	0.0005026548245743669	1.04697585	98.75762939	1.02986203	0.11956111027376796	0.0291717	0.00098
0.0378	-0.0032	0.1107	7.853981633974481e-05	-0.00047647488579445195	0.00017802358370342162	1.0505054	99.09056091	1.02984203	0.12111966313430247	0.0274594	0.00094
-0.0588	0.0094	0.0836	0.00013439035240356338	-0.00019547687622336493	0.0004956735075663896	1.00530756	94.82720184	1.01354039	0.16902492347489367	0.0274512	0.00079
-0.0469	0.0359	0.0355	-7.155849933176751e-05	9.250245035569947e-05	0.000726056968829641	1.03834891	97.9438858	1.02494276	0.12271558197888233	0.0302845	0.00108
0.0354	-0.0023	0.1355	8.203047484373349e-05	-0.0002024581932313422	0.0005288347633542819	1.07817888	101.70090485	1.04609218	0.25278859116189506	0.0260707	0.00078
-0.0074	-0.0027	0.1477	6.981317007977319e-05	-0.000148352986419518	0.0006579891280018621	0.9701646	91.51229095	0.99228026	0.06517384381116824	0.0253294	0.00073
-0.0683	0.0256	0.0979	0.0001064650843716541	-8.028514559173915e-05	0.000752236907609556	1.03686845	97.80423737	1.02240454	0.1489483767363677	0.0278217	0.00094
0.017	0.0019	0.1395	0.0003351032163829112	-0.00021118483949131387	0.0007400196028455958	1.06963253	100.89476013	1.03634988	0.16918775653373963	0.0268917	0.00072
0.0249	-0.0037	0.1618	0.00035081117965086024	-0.00034557519189487725	0.000705113017805709	1.00173426	94.49015045	1.00354481	0.04505024503556994	0.0258392	0.00068
-0.0617	0.0027	0.1598	2.792526803190927e-05	-5.759586531581287e-05	0.000890117918517108	0.98466212	92.87979126	0.99756145	0.1347935069454707	0.0254498	0.00064
-0.0248	0.0078	0.1474	-0.00010471975511965978	-9.773843811168246e-05	0.0010175269539126942	1.00806761	95.0875473	1.00654343	0.06940983156715123	0.0263093	0.00069
0.0503	-0.0176	0.2247	5.4105206811824215e-05	-0.0002722713633111154	0.0009494591130849152	1.03258812	97.40048981	1.01568257	0.19787128639793483	0.0243046	0.00051
-0.0181	-0.0025	0.2353	-0.00026354471705114377	-0.00010297442586766544	0.0012164944886400475	0.98061144	92.49770355	0.99224072	0.13179911184307752	0.0231069	0.00058
0.0058	0.0018	0.2339	-0.00035430183815484887	-0.0001937315469713706	0.001361356816555577	0.97234786	91.7182312	0.98717655	0.045918828506147	0.0233438	0.00049
0.0331	0.0011	0.1881	1.7453292519943296e-05	-0.00017104226669544429	0.0011536626355682519	0.97667193	92.12610626	0.98969294	0.10390692959690216	0.0254086	0.00067
-0.0284	-0.0144	0.1492	0.0002897246558310587	7.504915783575618e-05	0.001541125729510993	0.97563785	92.02856445	0.99163812	0.16119129408925287	0.0258093	0.00067
0.0217	-0.0407	0.1877	-0.0002617993877991494	-0.0005445427266222308	0.0010786134777324957	1.00722003	95.00759888	1.00934769	0.19658140899333465	0.0250807	0.00062
-0.053	-0.0268	0.1676	-0.00017104226669544429	2.6179938779914945e-05	0.0012671090369478833	1.02945781	97.10520935	1.02152783	0.1511987672860619	0.0253264	0.00069
0.0237	-0.0232	0.1858	-0.00021118483949131387	0.0002740166925631097	0.001626646862858715	1.03518689	97.64562225	1.02144204	0.13087585762449477	0.0253267	0.00073
0.0648	-0.0257	0.1747	0.0008569566627292158	0.00019024088846738194	0.001574286985298885	1.12266159	105.89680481	1.07829005	0.11491385919380435	0.0278213	0.0017
-0.0658	-0.0389	0.2108	-9.42477796076938e-05	0.0006510078109938849	0.0013631021458075715	1.14425838	107.93395996	1.09447577	0.2610578102177364	0.0243394	0.00063
-0.0234	-0.0298	0.1907	-0.0005637413483941684	0.000726056968829641	0.00152367243699105	1.00249028	94.5614624	1.00247033	0.10685565089028543	0.0250651	0.00069
0.032	-0.0605	0.2465	-0.00023561944901923448	0.0003787364476827695	0.0011274826967883368	1.01642966	95.87631226	1.00698264	0.19548160803622597	0.0234761	0.00058
-0.0398	-0.0556	0.2404	-0.00022863813201125715	0.0004747295565424576	0.0013718287920675431	0.96816301	91.32348633	0.98619164	0.10016602605734357	0.0229109	0.00061
-0.0377	-0.0515	0.1715	-0.00013788101090755203	0.000736528944341607	0.0017959438003021652	1.02828705	96.99478149	1.01072558	0.11393357585687384	0.0258867	0.00069
0.0313	-0.0823	0.2587	6.9813170079773176e-06	0.00026878070480712676	0.0014049900478554352	1.05764091	99.76363373	1.0262424	0.23717821599483693	0.0236572	0.00051
-0.0615	-0.0452	0.2426	-1.7453292519943294e-06	0.0003577924966588376	0.001298524963483781	1.04282129	98.36574554	1.02201345	0.1562101761241668	0.0233227	0.00072
-0.0921	0.0206	0.1009	-4.18879020478639e-05	0.0005724679946541401	0.0018657569703819383	1.20566452	113.72618866	1.08767838	0.27920250388446644	0.0294607	0.00111
0.0584	-0.0254	0.201	-8.901179185171081e-05	0.0003316125578789226	0.001520181778487061	1.16553807	109.94119263	1.07609355	0.32827772592369714	0.024763	0.00059
-0.0131	0.0	0.1959	-0.0004747295565424576	0.0002583087292951608	0.0014608405839192536	1.07252264	101.16737366	1.0333393	0.12791813939211583	0.0251622	0.00075
-0.0443	0.03	0.1243	-0.00038397243543875244	0.0003211405823669566	0.0018081611050661253	1.14073074	107.60121155	1.06517289	0.15784547476611863	0.0286947	0.00096
0.065	-0.0078	0.2304	-0.0010192722831646884	-0.00012042771838760874	0.0012618730491919003	1.16997826	110.36003113	1.07414802	0.3343578102177363	0.0247169	0.00053
-0.09	0.046	0.1844	-0.0015184364492350666	-5.93411945678072e-05	0.0012671090369478833	1.09600282	103.38217163	1.04939211	0.28307433388230807	0.0261868	0.00064
